Pacific Island Countries and territories,Sex,Urbanization,Disability,TIME_PERIOD
tuvalu,total,urban,persons without disability,2017.0
tuvalu,female,rural,persons without disability,2017.0
tuvalu,female,national,persons with disability,2017.0
nauru,female,national,no breakdown by disability,2011.0
nauru,female,national,no breakdown by disability,2012.0
micronesia (federated states of),female,rural,no breakdown by disability,2013.0
micronesia (federated states of),female,urban,no breakdown by disability,2013.0
micronesia (federated states of),total,rural,no breakdown by disability,2013.0
micronesia (federated states of),total,national,no breakdown by disability,2013.0
palau,female,national,no breakdown by disability,2013.0
palau,female,national,no breakdown by disability,2015.0
palau,total,national,no breakdown by disability,2013.0
palau,total,national,no breakdown by disability,2015.0
samoa,female,national,no breakdown by disability,2013.0
samoa,male,urban,no breakdown by disability,2013.0
cook islands,total,urban,no breakdown by disability,2015.0
cook islands,female,rural,no breakdown by disability,2015.0
kiribati,total,national,persons without disability,2015.0
kiribati,total,national,persons without disability,2019.0
kiribati,female,rural,no breakdown by disability,2015.0
kiribati,female,rural,no breakdown by disability,2019.0
kiribati,female,national,no breakdown by disability,2015.0
kiribati,female,national,no breakdown by disability,2019.0
kiribati,male,rural,persons without disability,2015.0
kiribati,male,rural,persons without disability,2019.0
palau,male,rural,persons without disability,2015.0
palau,male,urban,persons without disability,2015.0
tonga,male,national,persons with disability,2016.0
tonga,male,national,persons with disability,2018.0
tonga,male,national,persons with disability,2021.0
tonga,female,rural,persons with disability,2016.0
tonga,female,rural,persons with disability,2018.0
niue,female,national,no breakdown by disability,2017.0
niue,total,national,no breakdown by disability,2017.0
tuvalu,male,national,persons without disability,2017.0
marshall islands,male,national,persons with disability,2019.0
vanuatu,female,rural,persons with disability,2019.0
vanuatu,total,national,no breakdown by disability,2019.0
vanuatu,male,rural,no breakdown by disability,2019.0
marshall islands,male,national,no breakdown by disability,2011.0
marshall islands,male,national,no breakdown by disability,2019.0
solomon islands,total,rural,no breakdown by disability,2012.0
solomon islands,total,urban,no breakdown by disability,2012.0
micronesia (federated states of),total,urban,no breakdown by disability,2013.0
samoa,male,rural,no breakdown by disability,2013.0
cook islands,total,rural,no breakdown by disability,2015.0
kiribati,female,rural,persons with disability,2015.0
kiribati,female,rural,persons with disability,2019.0
kiribati,total,national,no breakdown by disability,2015.0
kiribati,total,national,no breakdown by disability,2019.0
kiribati,female,national,persons without disability,2015.0
kiribati,female,national,persons without disability,2019.0
kiribati,female,urban,no breakdown by disability,2015.0
kiribati,female,urban,no breakdown by disability,2019.0
kiribati,total,urban,persons with disability,2015.0
kiribati,total,urban,persons with disability,2019.0
tuvalu,male,national,no breakdown by disability,2015.0
tuvalu,male,national,no breakdown by disability,2017.0
tonga,female,national,persons without disability,2016.0
tonga,female,national,persons without disability,2018.0
tonga,female,national,persons without disability,2021.0
tonga,female,urban,no breakdown by disability,2016.0
tonga,female,urban,no breakdown by disability,2018.0
tonga,female,urban,no breakdown by disability,2021.0
tonga,total,rural,persons with disability,2016.0
tonga,total,rural,persons with disability,2018.0
tonga,total,rural,persons with disability,2021.0
tonga,total,urban,persons with disability,2016.0
tonga,total,urban,persons with disability,2018.0
tonga,total,national,persons without disability,2016.0
tonga,total,national,persons without disability,2018.0
tonga,total,national,persons without disability,2021.0
tonga,total,national,no breakdown by disability,2016.0
tonga,total,national,no breakdown by disability,2018.0
tonga,total,national,no breakdown by disability,2021.0
niue,female,national,persons without disability,2017.0
niue,total,national,persons without disability,2017.0
tuvalu,total,rural,persons without disability,2017.0
vanuatu,female,national,no breakdown by disability,2019.0
vanuatu,male,rural,persons without disability,2019.0
vanuatu,total,national,persons with disability,2019.0
marshall islands,male,rural,no breakdown by disability,2011.0
marshall islands,male,rural,no breakdown by disability,2019.0
cook islands,total,national,no breakdown by disability,2015.0
kiribati,total,national,persons with disability,2015.0
kiribati,total,national,persons with disability,2019.0
tokelau,total,national,no breakdown by disability,2015.0
tuvalu,female,rural,no breakdown by disability,2015.0
tuvalu,female,rural,no breakdown by disability,2017.0
tonga,female,rural,no breakdown by disability,2016.0
tonga,female,rural,no breakdown by disability,2018.0
tonga,female,rural,no breakdown by disability,2021.0
tonga,total,urban,persons without disability,2016.0
tonga,total,urban,persons without disability,2018.0
tonga,total,urban,persons without disability,2021.0
tuvalu,total,national,persons with disability,2017.0
tuvalu,total,national,persons without disability,2017.0
marshall islands,female,rural,persons without disability,2019.0
marshall islands,total,national,persons with disability,2019.0
marshall islands,total,national,persons without disability,2019.0
solomon islands,total,national,no breakdown by disability,2012.0
samoa,female,urban,no breakdown by disability,2013.0
kiribati,male,rural,no breakdown by disability,2015.0
kiribati,male,rural,no breakdown by disability,2019.0
palau,female,national,persons without disability,2015.0
palau,male,national,persons without disability,2015.0
tuvalu,male,rural,no breakdown by disability,2015.0
tuvalu,male,rural,no breakdown by disability,2017.0
tonga,total,national,persons with disability,2016.0
tonga,total,national,persons with disability,2018.0
tonga,total,national,persons with disability,2021.0
vanuatu,total,national,persons without disability,2019.0
vanuatu,female,rural,no breakdown by disability,2019.0
marshall islands,female,urban,no breakdown by disability,2011.0
marshall islands,female,urban,no breakdown by disability,2019.0
palau,female,rural,no breakdown by disability,2013.0
palau,female,rural,no breakdown by disability,2015.0
palau,total,urban,no breakdown by disability,2013.0
palau,total,urban,no breakdown by disability,2015.0
kiribati,total,rural,no breakdown by disability,2015.0
kiribati,total,rural,no breakdown by disability,2019.0
kiribati,male,national,persons without disability,2015.0
kiribati,male,national,persons without disability,2019.0
tonga,male,rural,no breakdown by disability,2016.0
tonga,male,rural,no breakdown by disability,2018.0
tonga,male,rural,no breakdown by disability,2021.0
tonga,female,national,persons with disability,2016.0
tonga,female,national,persons with disability,2018.0
vanuatu,male,national,persons with disability,2019.0
vanuatu,male,national,persons without disability,2019.0
micronesia (federated states of),male,rural,no breakdown by disability,2013.0
samoa,total,rural,no breakdown by disability,2013.0
palau,total,urban,persons without disability,2015.0
tonga,male,national,persons without disability,2016.0
tonga,male,national,persons without disability,2018.0
tonga,male,national,persons without disability,2021.0
