fuel_type,transmission,owner,kilometers_driven,new_price,price
Diesel,Manual,Third,90152,18.94,17.95
Diesel,Manual,Third,45733,19.77,19.21
Diesel,Manual,First,180948,24.01,12.39
Diesel,Automatic,Third,30323,25.41,20.95
Diesel,Manual,Second,26428,14.33,22.21
Diesel,Automatic,First,96486,14.94,14.44
Diesel,Automatic,First,176421,16.17,15.47
Diesel,Automatic,Fourth & Above,141763,21.35,18.95
Diesel,Automatic,Third,51347,21.36,14.43
Diesel,Automatic,Fourth & Above,38164,25.48,15.26
Diesel,Manual,Fourth & Above,13748,19.71,15.0
Diesel,Manual,First,130617,22.46,2.03
Diesel,Automatic,First,187758,25.36,17.88
Diesel,Manual,Second,87986,26.32,23.52
Diesel,Manual,First,110766,19.19,15.12
Diesel,Manual,Fourth & Above,56418,10.88,12.17
Diesel,Automatic,Fourth & Above,32337,14.91,16.99
Diesel,Automatic,Third,161738,8.86,6.34
Diesel,Automatic,Second,108064,34.17,9.32
Diesel,Manual,First,179823,9.51,10.46
Diesel,Manual,Third,167699,32.62,16.17
Diesel,Manual,Third,98774,19.01,18.79
Diesel,Automatic,First,83034,32.65,10.02
Diesel,Manual,Second,50130,27.49,19.4
Diesel,Automatic,First,99904,8.07,14.56
Diesel,Manual,Second,155281,31.86,11.91
Diesel,Manual,Second,124456,23.15,10.82
Diesel,Automatic,Fourth & Above,74892,18.81,12.53
Diesel,Automatic,Third,80409,26.63,2.58
Diesel,Manual,First,43065,11.53,13.66
Diesel,Automatic,Fourth & Above,43783,29.64,9.44
Diesel,Automatic,Fourth & Above,44152,9.9,13.87
Diesel,Manual,Third,117049,12.72,4.16
Diesel,Automatic,Second,192574,24.1,16.28
Diesel,Automatic,Second,96483,21.98,20.89
Diesel,Automatic,Second,189359,22.71,23.55
Diesel,Automatic,First,120168,31.48,12.77
Diesel,Automatic,Third,123985,26.25,7.76
Diesel,Manual,Second,197464,10.49,11.27
Diesel,Automatic,Third,55256,18.67,8.83
Diesel,Automatic,Third,128843,22.09,20.01
Diesel,Manual,Second,119975,8.84,16.57
Diesel,Automatic,First,154282,32.18,22.48
Diesel,Manual,First,36270,9.36,9.86
Diesel,Manual,First,157735,13.16,23.96
Diesel,Manual,Second,29053,19.29,15.0
Diesel,Automatic,First,162225,22.31,21.54
Diesel,Automatic,Third,148261,20.45,11.55
Diesel,Automatic,Second,86623,28.86,12.81
Diesel,Automatic,Third,63687,28.72,18.87
Diesel,Automatic,First,78312,28.24,11.61
Diesel,Manual,Second,140976,31.38,4.64
Diesel,Manual,First,17697,20.13,16.6
Diesel,Manual,Second,90165,19.4,15.37
Diesel,Automatic,Second,130562,25.58,17.34
Diesel,Manual,First,81117,13.98,22.7
Diesel,Automatic,Fourth & Above,44782,10.21,8.56
Diesel,Manual,Fourth & Above,88533,16.12,22.71
Diesel,Manual,First,197990,17.65,14.6
Diesel,Manual,Second,91422,34.02,9.15
Diesel,Automatic,Third,171077,29.47,5.72
Diesel,Automatic,First,16638,8.36,10.49
Diesel,Manual,Second,47419,22.79,4.27
Diesel,Automatic,Fourth & Above,184188,9.65,5.69
Diesel,Automatic,First,177706,12.21,3.97
Diesel,Automatic,Fourth & Above,163466,18.28,22.86
Diesel,Automatic,Second,181294,28.76,17.34
Diesel,Manual,Fourth & Above,162027,27.83,10.99
Diesel,Manual,Third,137775,23.89,12.89
Diesel,Automatic,Second,44753,16.6,10.87
Diesel,Automatic,Second,31316,25.12,15.77
Diesel,Automatic,Second,94698,8.65,23.52
Diesel,Automatic,First,35216,20.6,6.01
Diesel,Automatic,First,74427,33.73,18.98
Diesel,Automatic,Second,122470,19.43,18.24
Diesel,Automatic,Fourth & Above,60519,33.26,15.26
Diesel,Automatic,Third,105961,17.94,15.0
Diesel,Manual,Fourth & Above,99524,31.39,9.41
Diesel,Manual,Fourth & Above,91006,28.05,14.94
Diesel,Automatic,First,17493,20.07,6.0
Diesel,Manual,First,57234,29.22,15.06
Diesel,Automatic,Fourth & Above,138674,11.14,8.27
Diesel,Automatic,Fourth & Above,15594,13.52,5.64
Diesel,Manual,Third,17371,10.28,3.2
Diesel,Manual,First,57315,24.74,7.54
Diesel,Automatic,Second,96005,29.12,21.67
Diesel,Manual,Second,147900,27.97,3.1
Diesel,Manual,Third,184004,28.44,23.26
Diesel,Automatic,Third,85986,9.29,13.62
Diesel,Manual,Third,95959,33.9,7.69
Diesel,Manual,Second,186022,14.09,21.83
Diesel,Manual,First,128920,24.9,13.13
Diesel,Manual,First,96226,24.81,15.87
Diesel,Automatic,Third,73014,17.15,10.74
Diesel,Automatic,Third,195550,18.05,18.59
Diesel,Automatic,Second,56121,13.38,4.95
Diesel,Manual,First,183503,16.8,10.6
Diesel,Manual,Second,153687,26.51,6.92
Diesel,Manual,Fourth & Above,11466,28.1,18.48
Diesel,Automatic,Second,40771,30.53,7.24
Diesel,Manual,Third,83369,23.36,7.77
Diesel,Manual,Fourth & Above,106907,16.15,8.54
Diesel,Automatic,Fourth & Above,181946,21.84,18.86
Diesel,Manual,First,174439,28.56,3.05
Diesel,Automatic,Fourth & Above,96133,14.91,12.96
Diesel,Automatic,Fourth & Above,38931,34.94,11.35
Diesel,Manual,Third,179439,9.04,16.73
Diesel,Automatic,Fourth & Above,136299,9.54,19.91
Diesel,Automatic,Second,171205,9.42,3.3
Diesel,Automatic,Second,106622,21.33,2.48
Diesel,Automatic,Second,46386,25.76,14.87
Diesel,Automatic,Second,88543,20.49,18.89
Diesel,Manual,Third,28157,22.68,23.87
Diesel,Automatic,Second,45932,8.52,2.13
Diesel,Manual,Second,166153,23.65,20.44
Diesel,Automatic,Second,107557,30.39,17.35
Diesel,Automatic,First,11539,31.4,6.45
Diesel,Automatic,Third,121048,32.1,2.0
Diesel,Manual,Third,103948,24.61,17.99
Diesel,Automatic,Fourth & Above,26122,16.28,19.25
Diesel,Manual,Second,119598,16.34,10.78
Diesel,Automatic,Third,38633,27.56,19.12
Diesel,Automatic,Third,34495,25.42,19.6
Diesel,Automatic,First,74550,15.62,5.65
Diesel,Automatic,Second,44069,34.67,4.5
Diesel,Automatic,Second,126843,27.89,16.06
Diesel,Automatic,Fourth & Above,81947,16.03,4.31
Diesel,Manual,Third,105761,11.85,13.67
Diesel,Automatic,Third,123753,30.63,24.9
Diesel,Automatic,Fourth & Above,147605,25.16,9.32
Diesel,Automatic,Third,127333,30.31,4.31
Diesel,Manual,Second,50696,21.58,14.8
Diesel,Automatic,First,147161,12.26,17.83
Diesel,Manual,Fourth & Above,167195,28.06,12.54
Diesel,Automatic,Fourth & Above,149418,21.77,22.51
Diesel,Automatic,First,175565,24.11,14.36
Diesel,Manual,Fourth & Above,26555,11.44,15.01
Diesel,Manual,First,68502,16.64,17.03
Diesel,Manual,Second,101321,13.19,19.97
Diesel,Automatic,Second,108234,33.3,21.62
Diesel,Manual,Fourth & Above,158929,23.6,3.42
Diesel,Automatic,Third,193320,11.65,24.21
Diesel,Automatic,Third,97902,31.45,8.96
Diesel,Automatic,First,169629,18.35,8.81
Diesel,Automatic,First,183686,27.57,24.14
Diesel,Manual,Fourth & Above,115924,24.58,14.92
Diesel,Manual,First,106452,16.41,11.46
Diesel,Automatic,First,97593,34.75,18.45
Diesel,Manual,Second,116975,25.12,11.78
Diesel,Manual,Third,126041,27.79,22.05
Diesel,Automatic,Fourth & Above,136202,15.27,11.09
Diesel,Manual,Second,133769,31.84,9.79
Diesel,Automatic,Fourth & Above,110699,32.03,15.39
Diesel,Automatic,First,46133,30.21,11.25
Diesel,Manual,Fourth & Above,97939,14.93,18.37
Diesel,Automatic,Second,21279,23.91,2.27
Diesel,Manual,First,160952,19.51,16.3
Diesel,Manual,Second,24308,32.32,14.19
Diesel,Manual,First,191455,16.08,20.33
Diesel,Automatic,Third,193223,25.09,6.75
Diesel,Automatic,Fourth & Above,128128,22.96,4.54
Diesel,Manual,Fourth & Above,174145,19.27,18.0
Diesel,Automatic,First,179489,23.15,14.28
Diesel,Automatic,Fourth & Above,75066,23.03,24.46
Diesel,Automatic,Fourth & Above,96126,12.17,21.97
Diesel,Automatic,Second,88291,18.99,5.7
Diesel,Automatic,Fourth & Above,17235,29.16,3.21
Diesel,Manual,First,92733,23.53,8.75
Diesel,Manual,Fourth & Above,72712,11.11,23.19
Diesel,Automatic,Second,79806,11.69,23.17
Diesel,Manual,Second,52814,17.39,23.5
Diesel,Manual,Second,180956,11.01,24.77
Diesel,Manual,Third,110088,26.82,15.16
Diesel,Manual,Fourth & Above,48196,17.59,7.44
Diesel,Manual,First,180521,10.95,22.17
Diesel,Manual,Fourth & Above,180733,33.62,20.85
Diesel,Automatic,Second,39709,21.19,16.21
Diesel,Manual,Second,118369,33.27,7.67
Diesel,Manual,Fourth & Above,161990,27.14,20.67
Diesel,Manual,Third,186819,14.82,7.87
Diesel,Manual,Fourth & Above,62349,34.02,4.59
Diesel,Manual,Third,29023,17.45,9.43
Diesel,Manual,Second,51979,28.08,12.49
Diesel,Automatic,Second,114975,10.75,24.44
Diesel,Automatic,First,18876,16.14,22.97
Diesel,Manual,Third,112484,23.29,5.46
Diesel,Manual,Second,38756,30.73,15.0
Diesel,Automatic,First,128248,28.55,5.23
Diesel,Automatic,First,158082,21.24,7.66
Diesel,Manual,Fourth & Above,141562,11.0,7.36
Diesel,Automatic,First,95216,31.98,13.65
Diesel,Manual,Fourth & Above,93860,29.83,8.18
Diesel,Automatic,First,13159,11.45,24.52
Diesel,Manual,Third,112834,23.44,17.93
Diesel,Manual,Second,181097,17.05,4.28
Diesel,Automatic,First,164536,15.18,19.37
Diesel,Automatic,Fourth & Above,10901,9.48,19.62
Diesel,Manual,Third,142450,10.37,23.78
Diesel,Manual,First,112552,18.76,17.06
Diesel,Manual,Second,95473,29.36,22.96
Diesel,Manual,Second,171679,23.47,10.32
Diesel,Automatic,First,101873,20.38,5.93
Diesel,Manual,First,37464,11.92,2.63
Diesel,Automatic,Second,131897,8.61,18.34
Diesel,Manual,Third,130209,30.21,12.87
Diesel,Manual,Third,100456,31.91,23.96
Diesel,Automatic,Second,57645,21.53,8.91
Diesel,Automatic,Third,102759,19.59,4.35
Diesel,Automatic,Second,56216,13.83,14.52
Diesel,Automatic,First,68755,16.25,14.35
Diesel,Manual,Fourth & Above,37856,26.79,22.88
Diesel,Manual,First,17987,31.87,17.19
Diesel,Automatic,Second,144404,34.79,18.69
Diesel,Automatic,Second,48498,27.82,11.91
Diesel,Manual,Second,42966,20.64,15.38
Diesel,Automatic,Second,154870,18.32,14.46
Diesel,Automatic,Second,185309,14.91,22.8
Diesel,Automatic,Second,141250,13.31,3.97
Diesel,Automatic,First,32616,22.5,21.42
Diesel,Automatic,Second,12795,25.61,6.82
Diesel,Automatic,First,13084,28.34,7.5
Diesel,Manual,Third,142201,8.51,2.14
Diesel,Manual,Second,11605,13.22,8.39
Diesel,Automatic,First,87506,30.2,15.12
Diesel,Automatic,Second,173402,11.51,21.55
Diesel,Automatic,Second,156259,19.0,5.35
Diesel,Manual,Third,109694,30.5,10.83
Diesel,Manual,Fourth & Above,78968,16.38,9.78
Diesel,Automatic,Third,11515,9.03,9.8
Diesel,Manual,Fourth & Above,155677,32.1,16.55
Diesel,Automatic,First,97029,33.27,22.62
Diesel,Manual,Second,64962,16.98,3.08
Diesel,Automatic,First,30039,10.28,23.8
Diesel,Manual,Third,20785,25.26,8.62
Diesel,Manual,Second,156583,31.46,21.55
Diesel,Manual,Fourth & Above,185486,12.32,5.3
Diesel,Automatic,Fourth & Above,91010,18.37,22.73
Diesel,Manual,Fourth & Above,82573,13.92,6.01
Diesel,Manual,Fourth & Above,134069,27.23,20.17
Diesel,Manual,Fourth & Above,64460,10.56,20.45
Diesel,Automatic,Fourth & Above,147293,27.77,18.55
Diesel,Automatic,First,125375,25.81,14.99
Diesel,Manual,First,162117,19.42,12.23
Diesel,Manual,First,163778,23.86,3.44
Diesel,Automatic,Second,185138,26.01,22.3
Diesel,Automatic,Third,161285,32.19,7.4
Diesel,Automatic,Fourth & Above,81916,23.6,8.03
Diesel,Automatic,Third,60906,22.24,18.19
Diesel,Manual,First,173045,27.32,12.68
Diesel,Automatic,Second,161723,34.11,5.24
Diesel,Automatic,Fourth & Above,78694,16.11,17.61
Diesel,Automatic,Second,48185,23.08,7.24
Diesel,Manual,Second,97924,30.04,4.27
Diesel,Automatic,Second,44980,13.99,11.97
Diesel,Manual,Second,64970,28.88,12.06
Diesel,Automatic,First,152767,23.84,17.5
Diesel,Automatic,Fourth & Above,158868,32.56,23.34
Diesel,Manual,Fourth & Above,183615,13.09,9.99
Diesel,Manual,Third,40480,27.97,22.55
Diesel,Automatic,Fourth & Above,138023,25.12,19.95
Diesel,Automatic,Fourth & Above,124165,19.74,3.27
Diesel,Manual,Fourth & Above,114718,24.9,14.76
Diesel,Automatic,First,116337,33.76,21.65
Diesel,Manual,Third,166536,23.78,2.74
Diesel,Manual,First,37388,20.63,14.79
Diesel,Manual,Second,133800,8.9,21.71
Diesel,Manual,Third,63639,31.93,6.12
Diesel,Manual,First,112739,30.94,10.29
Diesel,Manual,First,155698,25.4,17.08
Diesel,Automatic,Second,111503,29.48,23.57
Diesel,Automatic,Fourth & Above,115072,14.5,18.65
Diesel,Manual,Fourth & Above,147126,22.22,16.02
Diesel,Manual,First,110963,9.3,13.75
Diesel,Automatic,First,197669,26.53,8.56
Diesel,Manual,Third,139553,24.03,17.78
Diesel,Manual,Second,164560,28.07,6.69
Diesel,Automatic,Third,21523,18.24,6.65
Diesel,Automatic,Third,78689,28.83,10.92
Diesel,Manual,Third,44474,27.02,8.79
Diesel,Manual,First,15583,12.68,16.4
Diesel,Automatic,Fourth & Above,145969,10.66,20.81
Diesel,Manual,Third,154401,11.17,13.36
Diesel,Manual,Fourth & Above,81792,30.8,16.23
Diesel,Manual,Second,182857,23.91,18.88
Diesel,Automatic,Third,81927,19.4,12.25
Diesel,Automatic,First,89465,24.7,3.2
Diesel,Automatic,Fourth & Above,123221,19.98,8.91
Diesel,Automatic,First,47333,14.64,14.12
Diesel,Manual,Fourth & Above,26576,31.58,24.99
Diesel,Manual,First,102850,18.84,15.33
CNG,Automatic,Fourth & Above,25641,22.41,2.44
CNG,Automatic,Fourth & Above,77766,20.49,14.64
CNG,Manual,First,16511,24.24,3.63
CNG,Automatic,Third,124816,29.32,14.44
CNG,Automatic,Third,14765,9.78,17.64
CNG,Automatic,Third,33929,9.68,3.95
CNG,Manual,First,121576,27.42,4.93
CNG,Automatic,First,16589,29.81,23.34
CNG,Manual,Second,192565,16.91,8.06
CNG,Manual,Third,29309,33.41,9.57
CNG,Manual,First,172580,11.42,8.82
CNG,Automatic,Third,105082,31.42,18.01
CNG,Manual,Second,66683,23.5,24.03
CNG,Manual,Second,166177,29.48,3.12
CNG,Manual,Second,154098,8.09,20.08
CNG,Manual,Third,78309,33.91,19.31
CNG,Manual,Third,136503,9.79,12.54
CNG,Manual,Fourth & Above,96207,20.64,14.03
CNG,Manual,Fourth & Above,196233,25.54,18.71
CNG,Manual,First,175100,23.39,2.4
CNG,Automatic,First,180091,14.79,24.37
CNG,Manual,Second,20956,13.18,7.66
CNG,Manual,First,191114,14.07,12.96
CNG,Manual,First,147150,15.33,23.17
CNG,Automatic,Fourth & Above,131724,31.12,12.15
CNG,Manual,First,117227,12.96,2.74
CNG,Manual,Second,142659,14.07,12.13
CNG,Manual,First,125584,21.01,19.15
CNG,Manual,First,180685,32.93,17.8
CNG,Manual,Fourth & Above,149920,16.27,24.27
CNG,Manual,Fourth & Above,52222,24.04,22.6
CNG,Manual,First,59223,29.63,7.44
CNG,Automatic,Fourth & Above,132650,32.6,11.76
CNG,Automatic,Third,59420,33.19,21.26
CNG,Manual,Fourth & Above,12462,8.18,8.89
CNG,Automatic,Third,150347,8.64,9.69
CNG,Manual,Fourth & Above,132672,27.29,15.32
CNG,Manual,Third,32553,21.2,6.76
CNG,Manual,First,80021,26.43,22.21
CNG,Automatic,Third,98209,27.37,20.5
CNG,Automatic,Fourth & Above,15368,12.53,4.32
CNG,Automatic,Third,39227,15.85,12.42
CNG,Manual,Second,119430,26.56,5.59
CNG,Automatic,Second,148638,20.7,24.02
CNG,Manual,Fourth & Above,22306,20.39,19.91
CNG,Automatic,First,99424,21.41,20.47
CNG,Automatic,First,192690,24.2,6.95
CNG,Manual,Third,159395,12.88,9.45
CNG,Automatic,First,50863,27.73,21.29
CNG,Manual,Fourth & Above,151355,27.3,11.27
CNG,Automatic,First,159351,27.72,23.77
CNG,Manual,Third,110706,20.47,4.4
CNG,Automatic,Third,132019,27.65,9.99
CNG,Manual,Fourth & Above,187871,11.86,15.89
CNG,Automatic,Fourth & Above,145899,32.97,12.06
CNG,Automatic,Second,106143,10.81,20.93
CNG,Automatic,First,124527,14.1,16.7
CNG,Automatic,Fourth & Above,13558,29.9,24.2
CNG,Manual,Third,62999,9.93,23.0
CNG,Automatic,Third,178038,8.6,13.56
CNG,Manual,Third,85209,17.96,22.06
CNG,Automatic,Second,107137,27.65,22.56
CNG,Manual,Third,91780,25.8,18.52
CNG,Automatic,First,47034,28.24,16.29
CNG,Automatic,Second,198868,17.53,4.94
CNG,Manual,Fourth & Above,11657,17.88,14.65
CNG,Manual,Second,13164,15.23,9.73
CNG,Manual,First,155263,15.69,2.18
CNG,Automatic,Second,64786,21.46,24.0
CNG,Manual,Fourth & Above,45739,26.03,22.35
CNG,Automatic,Fourth & Above,95016,19.95,23.73
CNG,Manual,Second,169213,16.57,16.85
CNG,Manual,Second,171081,17.74,24.67
CNG,Automatic,Second,109352,32.23,9.8
CNG,Manual,First,167005,31.3,10.73
CNG,Automatic,Second,87154,21.75,22.42
CNG,Manual,First,48346,27.1,22.45
CNG,Automatic,Fourth & Above,122138,26.13,6.83
CNG,Automatic,Second,114501,12.48,9.54
CNG,Automatic,Third,165888,16.67,20.86
CNG,Automatic,Second,57365,27.5,12.59
CNG,Manual,Second,89211,27.49,22.86
CNG,Automatic,Fourth & Above,166078,25.99,22.56
CNG,Manual,Third,163903,19.02,22.36
CNG,Manual,Third,157531,30.05,16.75
CNG,Manual,Third,132778,34.17,3.13
CNG,Manual,Second,113119,34.44,3.19
CNG,Automatic,Fourth & Above,103846,15.75,13.42
CNG,Manual,Fourth & Above,125657,21.79,20.17
CNG,Automatic,First,193419,11.13,7.8
CNG,Manual,Second,130243,25.44,11.67
CNG,Automatic,First,22748,30.84,19.6
CNG,Automatic,Third,134954,28.1,5.8
CNG,Automatic,Third,186968,33.81,7.99
CNG,Automatic,Second,67062,29.61,14.38
CNG,Manual,Third,98302,22.53,16.67
CNG,Manual,Second,164237,12.86,4.82
CNG,Manual,Fourth & Above,36553,29.79,8.21
CNG,Manual,Third,126547,15.94,11.03
CNG,Manual,Third,145747,34.22,18.12
CNG,Manual,Third,100071,19.36,2.36
CNG,Manual,Second,155830,31.17,24.53
CNG,Automatic,First,41831,8.08,8.1
CNG,Manual,Fourth & Above,174726,34.08,5.53
CNG,Manual,Fourth & Above,122025,30.3,15.26
CNG,Automatic,Third,100417,32.46,2.98
CNG,Manual,Fourth & Above,21984,15.04,20.19
CNG,Manual,First,99312,22.77,12.76
CNG,Manual,Third,17135,8.88,20.2
CNG,Automatic,Third,10320,33.54,14.87
CNG,Manual,First,196985,12.39,3.97
CNG,Automatic,Fourth & Above,108071,25.85,24.31
CNG,Manual,Third,119863,33.01,19.97
CNG,Manual,Third,51777,18.23,11.94
CNG,Manual,Third,13009,32.91,17.59
CNG,Automatic,Third,198069,14.83,20.3
CNG,Manual,First,112171,28.49,10.92
CNG,Automatic,First,72559,16.11,2.36
CNG,Automatic,First,117340,14.85,15.38
CNG,Manual,First,181541,28.33,16.41
CNG,Manual,First,131585,32.05,13.77
CNG,Manual,Second,69754,23.88,18.51
CNG,Automatic,Second,104543,21.66,17.35
CNG,Manual,Second,96803,31.24,24.74
CNG,Manual,Fourth & Above,51486,27.07,8.27
CNG,Automatic,Second,24859,8.92,23.06
CNG,Automatic,Third,168308,30.75,21.06
CNG,Automatic,First,42083,10.52,9.46
CNG,Manual,Second,152157,10.31,11.28
CNG,Manual,First,158118,14.82,20.06
CNG,Manual,First,19615,14.79,10.8
CNG,Manual,First,146132,15.34,11.46
CNG,Automatic,First,166328,19.98,13.59
CNG,Manual,Third,116244,13.86,4.2
CNG,Automatic,Fourth & Above,197135,21.67,21.37
CNG,Manual,First,120674,20.71,4.06
CNG,Manual,Fourth & Above,79590,33.87,8.33
CNG,Manual,Second,89788,19.07,14.2
CNG,Manual,Third,57014,30.02,14.01
CNG,Automatic,First,145150,18.89,21.01
CNG,Automatic,Third,78111,25.45,18.63
CNG,Automatic,First,103715,32.0,4.22
CNG,Manual,Third,44754,25.38,13.02
CNG,Manual,Fourth & Above,34704,33.62,8.41
CNG,Manual,First,64383,25.84,8.54
CNG,Manual,First,144066,17.84,18.44
CNG,Manual,Fourth & Above,67514,19.71,3.41
CNG,Automatic,Third,184131,12.82,21.43
CNG,Automatic,First,181817,32.36,22.15
CNG,Manual,Second,66396,9.75,5.66
CNG,Manual,First,94719,13.68,14.85
CNG,Manual,Second,49346,23.17,21.86
CNG,Manual,Fourth & Above,80411,24.01,17.18
CNG,Manual,Fourth & Above,75911,9.7,14.88
CNG,Manual,Second,98422,13.09,4.72
CNG,Automatic,Third,40573,29.16,10.97
CNG,Automatic,Third,109956,24.77,4.5
CNG,Manual,Second,162271,34.68,6.65
CNG,Automatic,First,131136,15.43,12.04
CNG,Automatic,Second,100477,15.94,23.07
CNG,Manual,Third,50475,19.53,16.1
CNG,Automatic,Third,117573,30.73,4.78
CNG,Automatic,Fourth & Above,168477,16.06,11.0
CNG,Automatic,Third,45315,26.12,3.92
CNG,Manual,Fourth & Above,155486,23.88,14.96
CNG,Automatic,First,155399,17.27,19.55
CNG,Manual,Fourth & Above,37241,33.99,4.18
CNG,Manual,Second,125194,17.4,9.4
CNG,Manual,Third,105790,17.36,2.45
CNG,Manual,Third,66809,23.4,17.43
CNG,Automatic,Third,41728,30.17,18.79
CNG,Manual,Fourth & Above,154101,25.19,9.11
CNG,Automatic,Fourth & Above,32490,31.8,5.72
CNG,Automatic,Second,90820,28.6,16.1
CNG,Manual,Fourth & Above,109515,25.94,20.87
CNG,Manual,Second,137402,9.19,18.85
CNG,Manual,Fourth & Above,151382,11.98,4.78
CNG,Manual,Third,193846,11.14,11.91
CNG,Automatic,First,123181,33.52,22.61
CNG,Manual,First,180205,9.58,11.12
CNG,Manual,Second,114700,25.28,6.61
CNG,Manual,Fourth & Above,136700,27.09,24.98
