day,sex,total_bill,tip
Sun,Male,43.32,9.08
Fri,Male,10.74,9.52
Sun,Female,45.22,9.24
Thur,Male,27.34,7.79
Sun,Female,24.17,3.22
Sun,Female,18.75,4.47
Sat,Male,46.26,3.52
Thur,Male,28.29,6.92
Sat,Female,41.18,3.92
Sat,Male,43.59,7.79
Thur,Female,46.51,2.02
Sat,Female,18.65,7.98
Sun,Female,20.29,6.27
Thur,Female,31.78,8.52
Sun,Male,24.86,4.88
Sun,Female,46.98,6.62
Sun,Male,22.89,5.99
Sun,Female,26.5,9.78
Thur,Male,32.77,7.8
Fri,Male,23.21,5.9
Sun,Female,49.66,2.57
Sat,Female,9.45,9.14
Fri,Male,14.93,2.85
Thur,Female,19.52,6.85
Sat,Female,11.65,9.43
Sun,Female,17.79,3.01
Sat,Male,40.07,3.03
Thur,Female,28.53,8.67
Thur,Female,6.53,8.45
Sat,Female,49.22,4.17
Thur,Female,32.72,3.39
Fri,Male,7.65,2.15
Sun,Male,34.75,9.89
Sat,Female,22.03,8.52
Sun,Female,11.11,9.09
Thur,Male,30.36,5.62
Sun,Male,37.72,2.03
Sun,Female,35.2,1.47
Fri,Male,16.14,3.98
Sun,Male,28.62,9.28
Fri,Male,29.19,9.53
Thur,Female,37.26,8.57
Thur,Male,21.19,2.43
Fri,Female,40.9,4.78
Sat,Female,33.26,3.22
Thur,Male,6.72,2.85
Sun,Male,29.59,7.16
Sat,Male,43.79,5.38
Thur,Female,30.54,3.92
Sun,Male,12.91,1.9
Sun,Male,27.97,5.9
Sun,Female,39.06,4.12
Thur,Male,9.95,4.52
Thur,Male,41.77,3.79
Sun,Female,12.54,4.48
Thur,Male,29.03,6.0
Fri,Male,22.36,1.13
Sat,Female,16.19,8.63
Sat,Male,34.13,9.3
Sat,Male,6.68,5.95
Sun,Male,39.2,3.41
Sun,Male,28.71,9.91
Sun,Female,44.41,4.45
Sun,Male,28.43,7.24
Thur,Female,6.58,7.21
Fri,Female,11.46,4.91
Sat,Male,40.8,2.79
Sun,Male,27.14,9.7
Thur,Male,24.88,1.57
Thur,Female,19.33,5.37
Thur,Male,17.8,2.99
Sun,Male,48.46,3.65
Sat,Male,24.48,8.46
Sun,Female,44.78,4.31
Sun,Male,34.17,1.75
Fri,Male,43.63,2.77
Sat,Male,43.36,8.74
Sat,Female,48.03,9.79
Sun,Male,36.41,3.41
Sat,Female,41.24,7.08
Sun,Female,37.99,1.73
Thur,Female,32.24,7.51
Fri,Female,37.28,4.75
Fri,Male,37.21,9.26
Fri,Female,6.84,3.8
Sun,Female,28.22,9.47
Sat,Female,40.67,5.53
Sun,Female,15.93,4.14
Thur,Male,25.93,6.82
Sat,Male,24.57,3.25
Sat,Female,23.13,3.07
Sun,Female,10.48,2.77
Thur,Female,28.66,9.64
Fri,Female,25.08,5.44
Thur,Female,34.85,7.76
Fri,Male,29.72,5.27
Sun,Male,6.24,6.29
Sat,Female,6.44,6.26
Thur,Female,36.56,9.82
Fri,Female,36.84,7.02
Thur,Male,48.2,3.16
Thur,Female,44.45,1.14
Sun,Male,26.06,2.97
Sun,Male,33.17,5.1
Fri,Male,25.57,4.54
Sun,Female,15.03,8.31
Fri,Female,21.95,8.07
Sat,Female,9.67,1.8
