Studio,Type,Year,Worldwide $m
Fox,Action,2009,373.1
WB,Action,2005,372.7
NL,Drama,2007,372.2
WB,Action,2009,371.4
Fox,Comedy,1998,369.9
WB,Drama,1993,368.9
Uni.,Action,2001,368.8
IFC,Drama,2002,368.7
Sony,Drama,2005,368.1
DW,Family,2004,367.3
Fox,Action,1995,366.1
Uni.,Drama,1999,363.9
BV,Family,1998,363.4
WB,Drama,2004,362.7
Fox,Drama,2001,362.2
BV,Family,1995,362.0
MGM,Drama,1999,361.8
Fox,Family,2007,361.3
Fox,Family,1992,359.0
Fox,Mystery/Suspense,2002,358.4
DW,Drama,1999,356.3
Uni.,Drama,1995,355.2
MGM,Drama,1988,354.8
Par.,Action,1986,353.8
Uni.,Action,2009,353.2
TriS,Drama,1992,352.9
MGM,Drama,1995,352.2
DW,Drama,2002,352.1
MGM,Drama,2001,351.7
NL,Comedy,1994,351.6
Fox,Action,1994,350.4
BV,Family,2000,349.8
Par.,Drama,1998,349.5
BV,Drama,2004,347.5
NL,Comedy,2001,347.3
Fox,Drama,2004,347.2
BV,Family,1995,346.1
Uni.,Family,2000,345.1
Uni.,Family,1994,341.6
Uni.,Action,2008,341.4
BV,Family,2007,340.5
WB,Action,1995,336.5
P/DW,Family,2006,336.0
BV,Action,1996,335.1
Par.,Drama,2008,333.9
Par.,Action,1984,333.1
MGM,Drama,1997,333.0
Uni.,Family,1989,332.0
Fox,Action,2005,330.6
Uni.,Comedy,2000,330.4
BV,Family,1988,329.8
WB,Drama,2000,328.7
Par.,Comedy,1986,328.2
NL,Mystery/Suspense,1995,327.3
Fox,Drama,2006,326.6
BV,Family,1996,325.3
BV,Family,2009,325.2
WB,Action,1992,321.7
Uni.,Drama,1993,321.3
BV,Family,1996,320.7
Par.,Drama,1987,320.1
