month,holiday,weather,total_user
Jul,No,Clear,4458
Jul,No,Clear,4541
Jul,No,Clear,4332
Jul,No,Mist,3784
Jul,No,Clear,3387
Jul,No,Clear,3285
Jul,No,Clear,3606
Jul,No,Clear,3840
Jul,No,Clear,4590
Jul,No,Clear,4656
Jul,No,Clear,4390
Jul,No,Clear,3846
Jul,No,Clear,4475
Jul,No,Clear,4302
Aug,No,Clear,4266
Aug,No,Clear,4845
Aug,No,Mist,3574
Aug,No,Mist,4576
Aug,No,Clear,4866
Aug,No,Mist,4294
Aug,No,Clear,3785
Aug,No,Clear,4326
Aug,No,Clear,4602
Aug,No,Clear,4780
Aug,No,Clear,4792
Aug,No,Clear,4905
Aug,No,Mist,4150
Aug,No,Mist,3820
Aug,No,Clear,4338
Aug,No,Clear,4725
Aug,No,Clear,4694
Aug,No,Clear,3805
Aug,No,Mist,4153
Aug,No,Clear,5191
Aug,No,Clear,3873
Aug,No,Clear,4758
Aug,No,Clear,5895
Aug,No,Clear,5130
Aug,No,Mist,3542
Aug,No,Clear,4661
Aug,No,Mist,1115
Aug,No,Clear,4334
Aug,No,Clear,4634
Aug,No,Clear,5204
Aug,No,Clear,5058
Sep,No,Clear,5115
Sep,No,Mist,4727
Sep,No,Clear,4484
Sep,No,Clear,4940
Sep,Yes,Mist,3351
Sep,No,Light Rain/Snow,2710
Sep,No,Light Rain/Snow,1996
Sep,No,Light Rain/Snow,1842
Sep,No,Mist,3544
Sep,No,Clear,5345
Sep,No,Clear,5046
Sep,No,Clear,4713
Sep,No,Clear,4763
Sep,No,Clear,4785
Sep,No,Mist,3659
Sep,No,Mist,4760
Sep,No,Mist,4511
Sep,No,Clear,4274
Sep,No,Mist,4539
Sep,No,Mist,3641
Sep,No,Mist,4352
Sep,No,Mist,4795
Sep,No,Mist,2395
Sep,No,Mist,5423
Sep,No,Mist,5010
Sep,No,Mist,4630
Sep,No,Mist,4120
Sep,No,Mist,3907
Sep,No,Clear,4839
Sep,No,Clear,5202
Oct,No,Mist,2429
Oct,No,Mist,2918
Oct,No,Mist,3570
Oct,No,Clear,4456
Oct,No,Clear,4826
Oct,No,Clear,4765
Oct,No,Clear,4985
Oct,No,Clear,5409
Oct,No,Clear,5511
Oct,Yes,Clear,5117
Oct,No,Mist,4563
Oct,No,Light Rain/Snow,2416
Oct,No,Mist,2913
Oct,No,Mist,3644
Oct,No,Clear,5217
Oct,No,Clear,5041
Oct,No,Clear,4570
Oct,No,Mist,4748
Oct,No,Light Rain/Snow,2424
Oct,No,Clear,4195
Oct,No,Clear,4304
Oct,No,Clear,4308
Oct,No,Clear,4381
Oct,No,Clear,4187
Oct,No,Clear,4687
Oct,No,Mist,3894
Oct,No,Mist,2659
Oct,No,Mist,3747
Oct,No,Light Rain/Snow,627
Oct,No,Clear,3331
Oct,No,Clear,3669
Nov,No,Clear,4068
Nov,No,Clear,4186
Nov,No,Clear,3974
Nov,No,Mist,4046
Nov,No,Clear,3926
Nov,No,Clear,3649
Nov,No,Clear,4035
Nov,No,Clear,4205
Nov,No,Clear,4109
Nov,No,Mist,2933
Nov,Yes,Clear,3368
Nov,No,Clear,4067
Nov,No,Clear,3717
Nov,No,Clear,4486
Nov,No,Mist,4195
Nov,No,Light Rain/Snow,1817
Nov,No,Mist,3053
Nov,No,Clear,3392
Nov,No,Clear,3663
Nov,No,Mist,3520
Nov,No,Light Rain/Snow,2765
Nov,No,Light Rain/Snow,1607
Nov,No,Mist,2566
Nov,Yes,Clear,1495
Nov,No,Clear,2792
Nov,No,Clear,3068
Nov,No,Clear,3071
Nov,No,Clear,3867
Nov,No,Mist,2914
Nov,No,Clear,3613
Dec,No,Clear,3727
Dec,No,Clear,3940
Dec,No,Clear,3614
Dec,No,Clear,3485
Dec,No,Mist,3811
Dec,No,Light Rain/Snow,2594
Dec,No,Light Rain/Snow,705
Dec,No,Clear,3322
Dec,No,Clear,3620
Dec,No,Clear,3190
Dec,No,Clear,2743
Dec,No,Clear,3310
Dec,No,Clear,3523
Dec,No,Mist,3740
Dec,No,Mist,3709
Dec,No,Mist,3577
Dec,No,Mist,2739
Dec,No,Clear,2431
Dec,No,Clear,3403
Dec,No,Mist,3750
Dec,No,Mist,2660
Dec,No,Mist,3068
Dec,No,Clear,2209
Dec,No,Clear,1011
Dec,No,Clear,754
Dec,Yes,Clear,1317
Dec,No,Mist,1162
Dec,No,Clear,2302
Dec,No,Clear,2423
Dec,No,Clear,2999
Dec,No,Clear,2485
