region,industry,gender,worth in billions
North America,Technology-Computer,male,2.0
North America,Technology-Computer,male,1.9
East Asia,Technology-Computer,male,1.9
Europe,Technology-Computer,male,1.9
East Asia,Technology-Computer,male,1.9
North America,Technology-Computer,male,1.8
Middle East,Technology-Computer,male,1.8
North America,Technology-Computer,male,1.8
North America,Technology-Computer,male,1.8
Europe,Technology-Computer,male,1.8
Europe,Technology-Computer,male,1.7
East Asia,Technology-Computer,male,1.7
East Asia,Technology-Computer,male,1.7
East Asia,Technology-Computer,male,1.7
South Asia,Technology-Computer,male,1.7
Europe,Technology-Computer,female,1.6
North America,Technology-Computer,male,1.6
North America,Technology-Computer,male,1.6
East Asia,Technology-Computer,male,1.6
South Asia,Technology-Computer,male,1.6
East Asia,Technology-Computer,male,1.6
East Asia,Technology-Computer,male,1.5
East Asia,Technology-Computer,male,1.5
South Asia,Technology-Computer,male,1.5
East Asia,Technology-Computer,female,1.4
North America,Technology-Computer,male,1.4
Middle East,Technology-Computer,male,1.4
South Asia,Technology-Computer,male,1.4
North America,Technology-Computer,male,1.4
East Asia,Technology-Computer,male,1.3
North America,Technology-Computer,male,1.3
East Asia,Technology-Computer,male,1.3
North America,Technology-Computer,male,1.3
North America,Technology-Computer,male,1.3
East Asia,Technology-Computer,female,1.3
North America,Technology-Computer,male,1.3
Middle East,Technology-Computer,male,1.3
East Asia,Technology-Computer,male,1.3
East Asia,Technology-Computer,male,1.3
East Asia,Technology-Computer,male,1.3
North America,Technology-Computer,male,1.2
North America,Technology-Computer,male,1.2
East Asia,Technology-Computer,male,1.2
North America,Technology-Computer,male,1.2
East Asia,Technology-Computer,male,1.2
East Asia,Technology-Computer,female,1.2
East Asia,Technology-Computer,male,1.2
East Asia,Technology-Computer,male,1.1
East Asia,Technology-Computer,male,1.1
North America,Technology-Computer,male,1.1
South Asia,Technology-Computer,male,1.1
North America,Technology-Computer,female,1.1
East Asia,Technology-Computer,female,1.1
East Asia,Technology-Computer,male,1.1
East Asia,Technology-Computer,male,1.1
Europe,Technology-Computer,male,1.0
North America,Technology-Computer,male,1.0
Europe,Technology-Computer,male,1.0
Middle East,Technology-Computer,male,1.0
Latin America,Media,male,72.0
North America,Media,male,33.0
North America,Media,male,22.6
North America,Media,female,15.5
North America,Media,male,15.0
North America,Media,male,13.5
East Asia,Media,male,11.3
North America,Media,male,9.3
Latin America,Media,male,9.1
Latin America,Media,male,9.1
Latin America,Media,male,9.1
Europe,Media,male,9.0
Europe,Media,male,9.0
North America,Media,male,8.5
North America,Media,female,7.7
Europe,Media,male,7.7
North America,Media,male,7.7
North America,Media,male,7.5
Europe,Media,male,6.3
North America,Media,male,6.2
North America,Media,male,6.1
Europe,Media,male,6.0
North America,Media,male,5.7
South Asia,Media,male,5.7
Europe,Media,male,5.0
North America,Media,male,4.9
Middle East,Media,male,4.7
Sub-Saharan Africa,Media,male,4.6
Europe,Media,female,4.2
Europe,Media,female,4.2
Europe,Media,male,4.0
Latin America,Media,male,4.0
North America,Media,male,3.9
North America,Media,male,3.7
Europe,Media,male,3.6
Europe,Media,female,3.5
Europe,Media,male,3.5
North America,Media,male,3.4
North America,Media,male,3.4
North America,Media,male,3.1
Middle East,Media,male,3.1
Middle East,Media,male,3.1
North America,Media,male,3.0
North America,Media,female,2.9
East Asia,Media,male,2.8
Middle East,Media,male,2.8
North America,Media,male,2.6
Latin America,Media,male,2.6
North America,Media,male,2.6
East Asia,Media,male,2.6
Europe,Media,male,2.5
Europe,Media,male,2.5
North America,Media,male,2.4
Europe,Media,male,2.4
South Asia,Media,female,2.3
East Asia,Media,male,2.3
North America,Media,male,2.3
East Asia,Media,male,2.3
Europe,Media,male,2.2
South Asia,Media,male,2.2
North America,Media,male,2.2
East Asia,Media,male,1.9
Europe,Media,male,1.9
East Asia,Media,male,1.9
South Asia,Media,male,1.9
North America,Media,male,1.8
Europe,Media,female,1.8
North America,Media,male,1.8
North America,Media,male,1.8
North America,Media,male,1.8
North America,Media,male,1.7
Europe,Media,male,1.7
North America,Media,male,1.7
North America,Media,male,1.7
East Asia,Media,male,1.6
Middle East,Media,male,1.5
North America,Media,male,1.4
North America,Media,male,1.4
Europe,Media,male,1.4
North America,Media,male,1.4
East Asia,Media,male,1.4
North America,Media,male,1.4
East Asia,Media,female,1.4
Europe,Media,male,1.4
North America,Media,male,1.3
North America,Media,male,1.3
Sub-Saharan Africa,Media,male,1.3
East Asia,Media,male,1.3
North America,Media,male,1.3
North America,Media,male,1.2
East Asia,Media,male,1.2
Europe,Media,male,1.2
Middle East,Media,male,1.1
Latin America,Media,male,1.1
Europe,Media,male,1.1
North America,Media,male,1.1
Latin America,Media,male,1.1
Latin America,Media,female,1.1
Latin America,Media,male,1.1
Europe,Media,female,1.0
Middle East,Media,male,1.0
Sub-Saharan Africa,Media,male,1.0
North America,Media,male,1.0
Europe,Media,male,1.0
Europe,"Retail, Restaurant",male,64.0
North America,"Retail, Restaurant",female,36.7
North America,"Retail, Restaurant",male,34.7
North America,"Retail, Restaurant",female,34.3
North America,"Retail, Restaurant",male,34.2
North America,"Retail, Restaurant",male,32.0
Europe,"Retail, Restaurant",male,25.0
Europe,"Retail, Restaurant",male,21.1
Europe,"Retail, Restaurant",male,19.3
Europe,"Retail, Restaurant",male,18.4
East Asia,"Retail, Restaurant",male,17.9
Europe,"Retail, Restaurant",male,15.5
North America,"Retail, Restaurant",male,12.8
Europe,"Retail, Restaurant",male,10.4
Europe,"Retail, Restaurant",male,10.3
North America,"Retail, Restaurant",male,10.1
East Asia,"Retail, Restaurant",male,9.3
North America,"Retail, Restaurant",male,8.5
North America,"Retail, Restaurant",male,8.5
Latin America,"Retail, Restaurant",male,8.3
North America,"Retail, Restaurant",male,7.5
Europe,"Retail, Restaurant",male,7.2
North America,"Retail, Restaurant",male,6.5
North America,"Retail, Restaurant",male,6.2
Europe,"Retail, Restaurant",male,5.5
Europe,"Retail, Restaurant",male,5.3
Europe,"Retail, Restaurant",male,5.2
North America,"Retail, Restaurant",male,5.0
South Asia,"Retail, Restaurant",male,5.0
Europe,"Retail, Restaurant",male,5.0
Europe,"Retail, Restaurant",male,4.9
East Asia,"Retail, Restaurant",male,4.9
North America,"Retail, Restaurant",female,4.8
Europe,"Retail, Restaurant",male,4.8
Europe,"Retail, Restaurant",male,4.8
Latin America,"Retail, Restaurant",male,4.7
Middle East,"Retail, Restaurant",female,4.7
Europe,"Retail, Restaurant",male,4.6
Latin America,"Retail, Restaurant",male,4.2
Europe,"Retail, Restaurant",male,4.1
North America,"Retail, Restaurant",female,4.1
Europe,"Retail, Restaurant",male,4.0
North America,"Retail, Restaurant",male,4.0
Europe,"Retail, Restaurant",male,4.0
East Asia,"Retail, Restaurant",male,4.0
Europe,"Retail, Restaurant",male,3.9
North America,"Retail, Restaurant",female,3.9
North America,"Retail, Restaurant",male,3.8
Europe,"Retail, Restaurant",male,3.8
Europe,"Retail, Restaurant",male,3.7
Sub-Saharan Africa,"Retail, Restaurant",male,3.7
East Asia,"Retail, Restaurant",male,3.7
North America,"Retail, Restaurant",male,3.6
North America,"Retail, Restaurant",male,3.6
North America,"Retail, Restaurant",male,3.5
East Asia,"Retail, Restaurant",male,3.5
East Asia,"Retail, Restaurant",male,3.4
North America,"Retail, Restaurant",female,3.4
North America,"Retail, Restaurant",male,3.3
Sub-Saharan Africa,"Retail, Restaurant",male,3.2
North America,"Retail, Restaurant",male,3.2
Europe,"Retail, Restaurant",female,3.2
North America,"Retail, Restaurant",male,3.1
Europe,"Retail, Restaurant",male,3.1
North America,"Retail, Restaurant",male,3.0
North America,"Retail, Restaurant",male,3.0
North America,"Retail, Restaurant",male,3.0
East Asia,"Retail, Restaurant",male,3.0
East Asia,"Retail, Restaurant",male,2.9
Latin America,"Retail, Restaurant",male,2.8
Europe,"Retail, Restaurant",male,2.8
Europe,"Retail, Restaurant",male,2.8
East Asia,"Retail, Restaurant",male,2.8
Europe,"Retail, Restaurant",male,2.8
Europe,"Retail, Restaurant",male,2.8
Europe,"Retail, Restaurant",male,2.7
North America,"Retail, Restaurant",male,2.7
East Asia,"Retail, Restaurant",male,2.7
North America,"Retail, Restaurant",male,2.7
Europe,"Retail, Restaurant",female,2.6
Latin America,"Retail, Restaurant",female,2.6
Europe,"Retail, Restaurant",male,2.6
Middle East,"Retail, Restaurant",male,2.5
Europe,"Retail, Restaurant",male,2.5
Europe,"Retail, Restaurant",male,2.5
North America,"Retail, Restaurant",male,2.5
Middle East,"Retail, Restaurant",male,2.5
North America,"Retail, Restaurant",male,2.4
North America,"Retail, Restaurant",male,2.4
Europe,"Retail, Restaurant",male,2.4
North America,"Retail, Restaurant",male,2.4
Europe,"Retail, Restaurant",male,2.3
North America,"Retail, Restaurant",male,2.3
Europe,"Retail, Restaurant",male,2.2
North America,"Retail, Restaurant",male,2.2
Europe,"Retail, Restaurant",male,2.2
North America,"Retail, Restaurant",male,2.1
North America,"Retail, Restaurant",male,2.1
East Asia,"Retail, Restaurant",male,2.1
Europe,"Retail, Restaurant",male,2.1
Europe,"Retail, Restaurant",male,2.0
North America,"Retail, Restaurant",male,2.0
Europe,"Retail, Restaurant",male,2.0
East Asia,"Retail, Restaurant",male,2.0
Latin America,"Retail, Restaurant",male,2.0
East Asia,"Retail, Restaurant",male,2.0
Latin America,"Retail, Restaurant",male,1.9
North America,"Retail, Restaurant",male,1.9
Europe,"Retail, Restaurant",male,1.9
North America,"Retail, Restaurant",male,1.8
Europe,"Retail, Restaurant",male,1.8
South Asia,"Retail, Restaurant",male,1.8
Europe,"Retail, Restaurant",male,1.8
North America,"Retail, Restaurant",male,1.8
North America,"Retail, Restaurant",female,1.8
North America,"Retail, Restaurant",female,1.8
North America,"Retail, Restaurant",male,1.8
East Asia,"Retail, Restaurant",male,1.8
North America,"Retail, Restaurant",male,1.8
Europe,"Retail, Restaurant",male,1.7
East Asia,"Retail, Restaurant",female,1.7
East Asia,"Retail, Restaurant",male,1.7
East Asia,"Retail, Restaurant",male,1.6
North America,"Retail, Restaurant",female,1.6
Europe,"Retail, Restaurant",male,1.6
East Asia,"Retail, Restaurant",male,1.6
East Asia,"Retail, Restaurant",male,1.6
North America,"Retail, Restaurant",male,1.5
East Asia,"Retail, Restaurant",male,1.5
Europe,"Retail, Restaurant",male,1.5
Europe,"Retail, Restaurant",male,1.5
Europe,"Retail, Restaurant",male,1.4
Europe,"Retail, Restaurant",female,1.4
East Asia,"Retail, Restaurant",male,1.4
Europe,"Retail, Restaurant",male,1.4
Europe,"Retail, Restaurant",male,1.4
East Asia,"Retail, Restaurant",male,1.4
North America,"Retail, Restaurant",male,1.4
North America,"Retail, Restaurant",female,1.4
North America,"Retail, Restaurant",female,1.4
East Asia,"Retail, Restaurant",male,1.3
North America,"Retail, Restaurant",male,1.3
Europe,"Retail, Restaurant",male,1.3
North America,"Retail, Restaurant",male,1.3
North America,"Retail, Restaurant",male,1.3
Europe,"Retail, Restaurant",male,1.3
East Asia,"Retail, Restaurant",male,1.3
East Asia,"Retail, Restaurant",male,1.3
North America,"Retail, Restaurant",female,1.2
North America,"Retail, Restaurant",male,1.2
North America,"Retail, Restaurant",male,1.2
North America,"Retail, Restaurant",male,1.2
East Asia,"Retail, Restaurant",male,1.2
North America,"Retail, Restaurant",male,1.2
Europe,"Retail, Restaurant",male,1.2
Europe,"Retail, Restaurant",male,1.2
North America,"Retail, Restaurant",male,1.1
East Asia,"Retail, Restaurant",male,1.1
North America,"Retail, Restaurant",male,1.1
North America,"Retail, Restaurant",male,1.1
North America,"Retail, Restaurant",male,1.1
North America,"Retail, Restaurant",female,1.1
East Asia,"Retail, Restaurant",male,1.0
Europe,"Retail, Restaurant",male,1.0
Europe,"Retail, Restaurant",male,1.0
North America,"Retail, Restaurant",male,1.0
Europe,"Retail, Restaurant",male,1.0
North America,"Retail, Restaurant",male,1.0
East Asia,"Retail, Restaurant",male,1.0
East Asia,"Retail, Restaurant",female,1.0
North America,"Retail, Restaurant",male,1.0
Europe,"Retail, Restaurant",male,1.0
Europe,"Retail, Restaurant",male,1.0
East Asia,"Retail, Restaurant",male,1.0
North America,Consumer,male,58.2
Europe,Consumer,female,34.5
Europe,Consumer,male,34.4
Europe,Consumer,male,33.5
Europe,Consumer,male,26.5
North America,Consumer,male,20.0
North America,Consumer,female,20.0
North America,Consumer,male,20.0
Latin America,Consumer,male,19.7
Europe,Consumer,male,19.2
North America,Consumer,male,18.4
Europe,Consumer,female,17.4
Europe,Consumer,male,14.9
Europe,Consumer,female,12.8
Europe,Consumer,male,12.0
East Asia,Consumer,male,11.6
East Asia,Consumer,male,11.4
Latin America,Consumer,male,11.1
Europe,Consumer,female,11.1
Europe,Consumer,female,10.4
Europe,Consumer,male,10.2
Latin America,Consumer,male,10.2
Europe,Consumer,male,9.9
East Asia,Consumer,male,9.5
Europe,Consumer,male,9.2
Europe,Consumer,male,9.0
East Asia,Consumer,male,9.0
Europe,Consumer,male,9.0
Latin America,Consumer,male,8.9
Europe,Consumer,male,8.8
North America,Consumer,male,8.4
Europe,Consumer,male,8.0
Europe,Consumer,male,7.9
Sub-Saharan Africa,Consumer,male,7.6
North America,Consumer,male,7.5
East Asia,Consumer,male,7.3
Europe,Consumer,male,7.2
Europe,Consumer,male,7.2
East Asia,Consumer,male,7.1
North America,Consumer,male,7.0
North America,Consumer,male,6.9
East Asia,Consumer,male,6.9
East Asia,Consumer,male,6.8
Latin America,Consumer,female,6.4
Europe,Consumer,female,6.1
Europe,Consumer,male,6.0
Europe,Consumer,male,5.7
North America,Consumer,male,5.7
East Asia,Consumer,male,5.5
Middle East,Consumer,male,5.3
Latin America,Consumer,female,5.2
Europe,Consumer,female,5.1
North America,Consumer,male,5.0
Europe,Consumer,male,4.9
Europe,Consumer,male,4.8
Europe,Consumer,female,4.8
Europe,Consumer,male,4.5
Europe,Consumer,male,4.5
Europe,Consumer,male,4.5
Europe,Consumer,male,4.4
East Asia,Consumer,male,4.4
North America,Consumer,male,4.3
East Asia,Consumer,male,4.3
North America,Consumer,male,4.2
Latin America,Consumer,male,4.1
North America,Consumer,male,4.1
East Asia,Consumer,male,4.0
Latin America,Consumer,male,3.8
Europe,Consumer,male,3.7
Europe,Consumer,male,3.7
Middle East,Consumer,male,3.7
North America,Consumer,male,3.7
South Asia,Consumer,male,3.5
South Asia,Consumer,male,3.5
East Asia,Consumer,male,3.5
Latin America,Consumer,male,3.5
Middle East,Consumer,male,3.5
Europe,Consumer,female,3.5
Europe,Consumer,male,3.4
East Asia,Consumer,male,3.4
Europe,Consumer,female,3.4
North America,Consumer,male,3.4
North America,Consumer,female,3.3
Europe,Consumer,male,3.3
Europe,Consumer,male,3.3
Europe,Consumer,female,3.3
Europe,Consumer,male,3.3
Europe,Consumer,male,3.3
Europe,Consumer,male,3.3
Middle East,Consumer,male,3.2
East Asia,Consumer,male,3.2
East Asia,Consumer,male,3.2
Europe,Consumer,male,3.1
North America,Consumer,male,3.1
North America,Consumer,male,3.1
Europe,Consumer,male,3.1
North America,Consumer,male,3.0
North America,Consumer,male,3.0
North America,Consumer,male,3.0
North America,Consumer,female,3.0
North America,Consumer,female,3.0
North America,Consumer,male,3.0
North America,Consumer,male,3.0
Europe,Consumer,male,3.0
North America,Consumer,male,3.0
North America,Consumer,male,3.0
North America,Consumer,female,3.0
Europe,Consumer,male,2.9
North America,Consumer,male,2.9
Europe,Consumer,male,2.9
Europe,Consumer,female,2.9
North America,Consumer,male,2.9
North America,Consumer,female,2.9
North America,Consumer,male,2.9
North America,Consumer,female,2.9
Europe,Consumer,male,2.9
Europe,Consumer,male,2.9
Europe,Consumer,male,2.8
North America,Consumer,male,2.8
North America,Consumer,female,2.8
East Asia,Consumer,male,2.8
East Asia,Consumer,male,2.8
Europe,Consumer,female,2.7
Europe,Consumer,male,2.7
Europe,Consumer,female,2.7
Latin America,Consumer,male,2.7
East Asia,Consumer,male,2.6
East Asia,Consumer,male,2.6
East Asia,Consumer,male,2.6
Latin America,Consumer,male,2.5
Europe,Consumer,male,2.5
East Asia,Consumer,male,2.5
Latin America,Consumer,male,2.5
Latin America,Consumer,male,2.5
Europe,Consumer,male,2.5
East Asia,Consumer,male,2.5
Latin America,Consumer,female,2.5
East Asia,Consumer,male,2.5
Europe,Consumer,male,2.5
North America,Consumer,male,2.5
Europe,Consumer,male,2.4
South Asia,Consumer,male,2.4
Latin America,Consumer,male,2.4
Europe,Consumer,female,2.4
Europe,Consumer,female,2.4
North America,Consumer,male,2.4
East Asia,Consumer,male,2.4
East Asia,Consumer,male,2.4
East Asia,Consumer,male,2.4
North America,Consumer,male,2.3
Latin America,Consumer,male,2.3
Europe,Consumer,male,2.3
North America,Consumer,male,2.2
East Asia,Consumer,male,2.2
Latin America,Consumer,male,2.1
North America,Consumer,male,2.1
North America,Consumer,male,2.1
Europe,Consumer,male,2.1
Europe,Consumer,female,2.1
North America,Consumer,male,2.0
North America,Consumer,male,2.0
East Asia,Consumer,male,2.0
North America,Consumer,male,2.0
North America,Consumer,female,2.0
North America,Consumer,female,2.0
Latin America,Consumer,male,2.0
Europe,Consumer,male,2.0
North America,Consumer,male,2.0
East Asia,Consumer,male,2.0
Europe,Consumer,male,2.0
North America,Consumer,male,2.0
North America,Consumer,male,2.0
Europe,Consumer,male,1.9
Europe,Consumer,male,1.9
East Asia,Consumer,male,1.9
East Asia,Consumer,male,1.9
East Asia,Consumer,male,1.9
East Asia,Consumer,male,1.9
East Asia,Consumer,male,1.9
South Asia,Consumer,male,1.9
East Asia,Consumer,female,1.8
South Asia,Consumer,male,1.8
North America,Consumer,male,1.8
Europe,Consumer,male,1.8
Europe,Consumer,male,1.8
North America,Consumer,female,1.8
North America,Consumer,male,1.8
East Asia,Consumer,male,1.7
North America,Consumer,male,1.7
Europe,Consumer,male,1.7
Europe,Consumer,male,1.7
East Asia,Consumer,male,1.7
Europe,Consumer,male,1.7
Europe,Consumer,male,1.7
Europe,Consumer,female,1.7
Europe,Consumer,male,1.7
Europe,Consumer,male,1.7
Europe,Consumer,male,1.7
Europe,Consumer,female,1.7
Europe,Consumer,male,1.7
Europe,Consumer,female,1.7
Europe,Consumer,male,1.7
Europe,Consumer,male,1.6
East Asia,Consumer,male,1.6
Europe,Consumer,male,1.6
Middle East,Consumer,female,1.6
Europe,Consumer,male,1.6
Latin America,Consumer,male,1.5
Europe,Consumer,female,1.5
Europe,Consumer,male,1.5
North America,Consumer,male,1.5
South Asia,Consumer,male,1.5
North America,Consumer,male,1.5
Europe,Consumer,male,1.5
Europe,Consumer,male,1.4
North America,Consumer,male,1.4
Middle East,Consumer,male,1.4
Latin America,Consumer,male,1.4
North America,Consumer,male,1.4
Latin America,Consumer,male,1.4
Europe,Consumer,male,1.4
Europe,Consumer,male,1.4
Europe,Consumer,male,1.4
Europe,Consumer,male,1.4
North America,Consumer,male,1.4
Europe,Consumer,male,1.4
Europe,Consumer,male,1.4
North America,Consumer,male,1.4
North America,Consumer,male,1.4
Europe,Consumer,male,1.3
North America,Consumer,female,1.3
North America,Consumer,male,1.3
Europe,Consumer,male,1.3
East Asia,Consumer,male,1.3
Middle East,Consumer,male,1.3
Europe,Consumer,male,1.3
Europe,Consumer,male,1.3
East Asia,Consumer,male,1.3
Europe,Consumer,male,1.3
Europe,Consumer,male,1.3
South Asia,Consumer,male,1.3
Europe,Consumer,male,1.3
Sub-Saharan Africa,Consumer,male,1.2
Europe,Consumer,male,1.2
Europe,Consumer,female,1.2
East Asia,Consumer,male,1.2
East Asia,Consumer,male,1.2
North America,Consumer,male,1.2
Latin America,Consumer,male,1.2
Europe,Consumer,male,1.2
Latin America,Consumer,male,1.2
South Asia,Consumer,male,1.2
East Asia,Consumer,male,1.2
East Asia,Consumer,male,1.2
North America,Consumer,female,1.2
North America,Consumer,male,1.2
North America,Consumer,female,1.1
North America,Consumer,male,1.1
North America,Consumer,male,1.1
East Asia,Consumer,male,1.1
North America,Consumer,male,1.1
Europe,Consumer,male,1.1
North America,Consumer,male,1.1
Latin America,Consumer,male,1.1
South Asia,Consumer,male,1.1
Europe,Consumer,male,1.1
East Asia,Consumer,male,1.1
East Asia,Consumer,male,1.1
Europe,Consumer,male,1.1
North America,Consumer,male,1.1
Europe,Consumer,male,1.1
North America,Consumer,male,1.1
Latin America,Consumer,male,1.1
East Asia,Consumer,male,1.1
East Asia,Consumer,female,1.1
Latin America,Consumer,male,1.1
South Asia,Consumer,male,1.1
North America,Consumer,female,1.0
North America,Consumer,male,1.0
North America,Consumer,male,1.0
East Asia,Consumer,male,1.0
Latin America,Consumer,male,1.0
East Asia,Consumer,male,1.0
North America,Consumer,male,1.0
North America,Consumer,female,1.0
South Asia,Consumer,male,1.0
North America,Consumer,female,1.0
North America,Consumer,male,1.0
East Asia,Consumer,male,1.0
East Asia,Consumer,male,1.0
East Asia,Consumer,male,1.0
North America,Diversified financial,male,40.0
North America,Diversified financial,male,40.0
East Asia,Diversified financial,male,31.0
North America,Diversified financial,male,24.5
Middle East,Diversified financial,male,20.4
East Asia,Diversified financial,male,19.6
North America,Diversified financial,male,18.7
East Asia,Diversified financial,male,16.2
East Asia,Diversified financial,male,11.5
East Asia,Diversified financial,male,11.4
Europe,Diversified financial,male,10.9
North America,Diversified financial,male,10.4
Europe,Diversified financial,male,10.0
North America,Diversified financial,female,8.8
Europe,Diversified financial,female,8.5
East Asia,Diversified financial,male,8.5
Europe,Diversified financial,male,8.3
Europe,Diversified financial,male,7.4
North America,Diversified financial,male,7.3
North America,Diversified financial,male,7.0
North America,Diversified financial,male,6.9
Europe,Diversified financial,male,6.9
East Asia,Diversified financial,male,6.1
North America,Diversified financial,male,6.0
North America,Diversified financial,male,6.0
Europe,Diversified financial,male,5.4
Europe,Diversified financial,male,5.2
South Asia,Diversified financial,male,5.0
Europe,Diversified financial,male,5.0
Europe,Diversified financial,male,4.9
North America,Diversified financial,male,4.9
South Asia,Diversified financial,male,4.9
Middle East,Diversified financial,male,4.8
North America,Diversified financial,male,4.8
North America,Diversified financial,male,4.8
North America,Diversified financial,male,4.8
East Asia,Diversified financial,male,4.7
Europe,Diversified financial,male,4.3
East Asia,Diversified financial,male,4.3
East Asia,Diversified financial,male,4.0
East Asia,Diversified financial,male,3.9
East Asia,Diversified financial,male,3.7
Sub-Saharan Africa,Diversified financial,female,3.7
East Asia,Diversified financial,male,3.5
East Asia,Diversified financial,male,3.4
East Asia,Diversified financial,male,3.3
Europe,Diversified financial,male,3.3
North America,Diversified financial,male,3.2
Latin America,Diversified financial,male,3.1
Latin America,Diversified financial,male,3.1
Latin America,Diversified financial,female,3.1
Middle East,Diversified financial,male,3.1
Middle East,Diversified financial,male,3.1
North America,Diversified financial,male,3.1
East Asia,Diversified financial,male,3.1
North America,Diversified financial,male,3.0
East Asia,Diversified financial,male,3.0
North America,Diversified financial,female,2.8
East Asia,Diversified financial,male,2.8
Middle East,Diversified financial,male,2.8
North America,Diversified financial,male,2.8
North America,Diversified financial,male,2.8
North America,Diversified financial,male,2.5
North America,Diversified financial,male,2.5
Europe,Diversified financial,female,2.5
North America,Diversified financial,male,2.5
East Asia,Diversified financial,male,2.5
Europe,Diversified financial,male,2.5
Europe,Diversified financial,male,2.4
East Asia,Diversified financial,male,2.4
Middle East,Diversified financial,male,2.4
Latin America,Diversified financial,male,2.4
East Asia,Diversified financial,male,2.4
Europe,Diversified financial,male,2.3
North America,Diversified financial,male,2.3
East Asia,Diversified financial,male,2.3
North America,Diversified financial,male,2.3
North America,Diversified financial,male,2.3
Europe,Diversified financial,male,2.3
Middle East,Diversified financial,male,2.3
Middle East,Diversified financial,female,2.2
Middle East,Diversified financial,male,2.1
East Asia,Diversified financial,male,2.1
Europe,Diversified financial,male,2.0
North America,Diversified financial,male,2.0
North America,Diversified financial,male,1.9
Latin America,Diversified financial,male,1.9
Middle East,Diversified financial,male,1.9
East Asia,Diversified financial,male,1.9
Middle East,Diversified financial,female,1.9
East Asia,Diversified financial,male,1.9
East Asia,Diversified financial,male,1.9
East Asia,Diversified financial,female,1.8
Middle East,Diversified financial,male,1.8
North America,Diversified financial,male,1.8
East Asia,Diversified financial,male,1.8
East Asia,Diversified financial,male,1.7
North America,Diversified financial,male,1.7
Europe,Diversified financial,male,1.6
East Asia,Diversified financial,male,1.6
East Asia,Diversified financial,male,1.6
East Asia,Diversified financial,male,1.6
East Asia,Diversified financial,male,1.5
North America,Diversified financial,male,1.5
North America,Diversified financial,female,1.5
Europe,Diversified financial,male,1.4
East Asia,Diversified financial,male,1.4
North America,Diversified financial,male,1.3
Middle East,Diversified financial,male,1.3
Middle East,Diversified financial,male,1.3
North America,Diversified financial,male,1.3
Middle East,Diversified financial,male,1.3
Europe,Diversified financial,male,1.3
Middle East,Diversified financial,male,1.3
Middle East,Diversified financial,male,1.3
North America,Diversified financial,male,1.3
Middle East,Diversified financial,male,1.2
East Asia,Diversified financial,male,1.2
Europe,Diversified financial,male,1.2
Europe,Diversified financial,male,1.2
Europe,Diversified financial,male,1.2
East Asia,Diversified financial,male,1.2
Europe,Diversified financial,male,1.1
South Asia,Diversified financial,male,1.1
East Asia,Diversified financial,male,1.1
Latin America,Diversified financial,male,1.1
Latin America,Diversified financial,male,1.1
