App,Daily_Minutes_Spent,Posts_Per_Day,Likes_Per_Day,Follows_Per_Day
Instagram,479,16,61,6
LinkedIn,82,13,137,8
Pinterest,17,18,133,11
Pinterest,413,19,123,9
Twitter,159,16,80,10
TikTok,148,1,124,13
Instagram,485,5,193,18
LinkedIn,61,9,41,24
Pinterest,325,6,6,41
Snapchat,391,0,117,17
Snapchat,441,14,178,4
Instagram,405,13,108,21
LinkedIn,175,18,167,40
TikTok,419,6,94,35
Facebook,498,18,199,50
LinkedIn,457,16,124,29
Pinterest,42,16,96,19
Snapchat,280,9,154,8
Instagram,10,18,99,30
Facebook,256,1,32,11
Snapchat,41,1,101,30
Snapchat,319,20,5,45
Instagram,50,8,168,12
LinkedIn,129,1,1,31
TikTok,40,17,152,44
Twitter,436,19,29,28
Pinterest,275,18,4,27
Facebook,464,5,17,22
LinkedIn,368,2,16,33
Facebook,20,9,11,16
Twitter,137,4,35,1
Pinterest,78,8,9,37
Pinterest,382,6,48,33
Facebook,49,15,11,49
Twitter,396,20,143,8
Snapchat,218,17,157,33
Facebook,39,18,43,44
Instagram,145,14,25,17
Pinterest,295,2,167,42
Instagram,277,15,67,35
TikTok,297,18,123,7
Snapchat,253,18,50,43
Pinterest,332,10,50,39
Facebook,173,17,43,44
Twitter,384,10,7,26
Instagram,481,4,94,17
Snapchat,288,15,152,0
Snapchat,447,2,171,25
LinkedIn,231,6,9,30
Snapchat,78,17,194,19
Instagram,346,3,64,35
Twitter,417,20,55,6
Pinterest,34,19,119,39
Facebook,479,17,68,0
Pinterest,134,9,128,30
TikTok,246,14,81,41
Pinterest,105,4,144,5
LinkedIn,418,12,126,8
LinkedIn,296,1,154,49
LinkedIn,384,12,71,17
LinkedIn,426,2,14,47
LinkedIn,191,12,75,44
Facebook,369,6,94,13
Twitter,389,1,200,11
Twitter,489,0,115,33
Pinterest,371,7,35,20
Instagram,50,20,95,42
Facebook,492,3,182,6
Instagram,444,15,193,27
TikTok,145,10,155,47
Snapchat,377,1,130,18
LinkedIn,299,11,67,9
TikTok,477,19,101,6
Twitter,493,12,182,41
LinkedIn,33,2,22,50
Instagram,180,20,30,4
Snapchat,268,15,91,28
LinkedIn,220,14,196,6
Instagram,391,1,141,13
Instagram,90,10,90,9
TikTok,219,13,106,39
Instagram,161,16,92,11
TikTok,107,18,50,20
Twitter,370,20,188,10
TikTok,25,8,48,37
TikTok,193,4,20,47
TikTok,413,0,140,46
TikTok,425,15,129,20
Snapchat,89,1,5,14
Facebook,97,6,86,43
TikTok,175,4,147,12
LinkedIn,26,2,47,16
Twitter,272,7,1,28
Twitter,21,15,180,37
Facebook,28,2,95,23
LinkedIn,255,18,137,17
TikTok,459,13,165,14
Twitter,80,18,6,3
Facebook,230,12,162,41
LinkedIn,27,6,77,26
Facebook,141,0,165,13
Twitter,284,16,9,35
Twitter,149,3,169,1
Pinterest,10,6,63,7
LinkedIn,487,19,25,21
TikTok,231,14,50,42
Facebook,245,5,107,41
Pinterest,58,12,58,27
Instagram,436,1,8,16
LinkedIn,23,3,62,8
TikTok,250,1,100,50
Snapchat,169,20,14,8
Pinterest,150,8,86,32
LinkedIn,210,3,25,20
LinkedIn,213,9,87,43
Twitter,492,2,83,42
Twitter,299,19,12,34
Snapchat,491,0,124,21
TikTok,410,5,182,48
Instagram,211,15,18,38
Twitter,406,4,178,43
Snapchat,418,12,78,38
Twitter,143,0,12,13
Facebook,461,11,141,7
Twitter,81,8,9,15
TikTok,143,2,141,14
Instagram,296,16,194,15
Instagram,222,13,14,42
Facebook,170,17,4,28
Instagram,29,20,172,31
Twitter,234,11,120,37
Snapchat,201,13,173,50
Instagram,403,8,128,3
Instagram,132,12,149,22
TikTok,218,0,107,5
Snapchat,434,10,87,47
Instagram,166,15,123,33
Snapchat,336,8,167,40
Twitter,99,8,42,41
LinkedIn,155,19,169,31
Instagram,53,2,82,33
Pinterest,11,12,190,7
Pinterest,324,8,151,49
Pinterest,251,15,125,23
TikTok,16,9,102,48
Pinterest,7,13,138,27
Twitter,34,17,93,28
Facebook,496,0,121,24
Instagram,400,1,101,50
Pinterest,403,10,105,3
LinkedIn,266,2,68,18
Facebook,420,16,50,14
Facebook,249,19,158,35
TikTok,423,13,115,45
LinkedIn,118,12,45,30
Instagram,388,2,153,37
Twitter,20,0,76,26
TikTok,118,20,193,25
Pinterest,417,14,79,16
LinkedIn,83,12,78,16
Twitter,470,6,33,49
Snapchat,171,3,100,10
TikTok,436,0,29,8
Instagram,327,20,180,18
Snapchat,141,0,22,3
Pinterest,290,17,189,26
Pinterest,69,13,123,0
Pinterest,253,12,151,39
Facebook,133,3,63,3
Twitter,118,0,35,32
Facebook,156,17,55,24
Snapchat,14,12,11,29
TikTok,195,9,141,47
Facebook,345,13,8,37
LinkedIn,419,0,103,2
Twitter,126,15,78,28
Snapchat,219,10,188,15
Pinterest,105,10,95,12
Pinterest,290,7,183,49
Instagram,397,16,169,44
LinkedIn,300,15,6,50
Facebook,34,18,161,30
Facebook,161,8,192,7
Instagram,7,12,189,43
Facebook,91,1,129,20
LinkedIn,86,17,56,6
Instagram,398,20,56,18
Twitter,342,18,82,26
Instagram,7,16,61,0
Snapchat,100,4,70,37
Pinterest,325,14,98,31
Pinterest,216,4,146,38
Twitter,320,6,131,47
Snapchat,264,18,124,28
Twitter,269,10,121,14
TikTok,32,14,152,1
Snapchat,452,3,70,34
TikTok,136,11,60,0
LinkedIn,68,3,33,15
Instagram,344,1,173,20
Twitter,437,15,38,4
Instagram,396,3,48,2
TikTok,67,20,69,4
LinkedIn,492,16,186,42
Facebook,317,8,108,1
Facebook,302,11,133,36
Instagram,387,10,198,32
Facebook,299,18,35,10
Snapchat,492,0,109,8
LinkedIn,256,16,63,20
Twitter,248,11,79,40
TikTok,334,16,180,25
Instagram,421,18,43,11
Facebook,296,16,165,33
Facebook,73,19,42,22
TikTok,52,10,11,0
LinkedIn,239,13,110,20
Pinterest,477,14,89,47
Instagram,359,2,60,16
LinkedIn,135,0,194,22
TikTok,443,0,93,37
Facebook,440,5,185,47
Instagram,336,4,89,5
Twitter,15,3,135,33
Twitter,92,7,150,32
Facebook,85,11,180,14
Facebook,368,0,11,30
Snapchat,69,8,160,45
Facebook,415,0,184,17
Twitter,167,6,174,45
Facebook,298,15,26,25
Snapchat,240,18,39,20
Pinterest,406,11,182,19
Facebook,118,4,112,12
Instagram,363,11,115,27
LinkedIn,274,4,67,42
Snapchat,169,11,48,19
LinkedIn,335,4,38,42
Pinterest,264,1,42,19
Facebook,446,8,131,21
LinkedIn,374,19,63,12
Instagram,58,17,32,11
Instagram,95,7,18,39
LinkedIn,387,18,183,34
Snapchat,415,16,149,45
Snapchat,404,8,55,1
LinkedIn,24,10,88,44
Pinterest,166,3,139,47
TikTok,128,14,79,21
Snapchat,37,5,91,10
Facebook,212,2,165,34
Twitter,295,4,100,45
Snapchat,236,5,177,12
Instagram,233,6,51,33
Snapchat,354,9,35,45
Facebook,486,4,9,8
Snapchat,99,7,102,8
TikTok,200,6,71,18
Twitter,170,5,21,44
Facebook,138,8,30,2
Pinterest,20,4,13,26
Pinterest,116,18,16,38
Twitter,340,8,59,14
Pinterest,241,17,42,48
Twitter,332,6,40,33
Snapchat,295,1,99,2
Twitter,293,19,95,33
Twitter,256,0,2,37
Facebook,460,8,27,20
Instagram,416,19,169,47
LinkedIn,126,2,115,48
Facebook,27,1,56,3
Pinterest,403,9,115,35
Facebook,153,1,14,10
Instagram,231,14,177,35
Twitter,440,11,73,22
Instagram,232,14,130,48
Facebook,25,4,76,47
Twitter,159,3,112,37
Instagram,228,18,88,7
Snapchat,47,2,179,41
Instagram,295,7,125,32
LinkedIn,483,16,48,42
TikTok,30,5,12,17
TikTok,389,2,3,16
Instagram,243,19,177,15
Pinterest,500,3,89,4
TikTok,135,18,146,1
Instagram,75,9,32,0
TikTok,84,19,18,43
TikTok,364,19,121,16
LinkedIn,72,0,19,0
Pinterest,282,4,87,16
Pinterest,391,15,76,28
LinkedIn,46,12,30,47
LinkedIn,193,19,75,13
TikTok,479,20,15,35
LinkedIn,248,15,42,5
Instagram,303,9,48,14
Facebook,438,11,10,20
Pinterest,76,15,147,23
TikTok,189,7,46,40
TikTok,197,5,59,10
Snapchat,223,3,70,24
Pinterest,76,2,17,7
LinkedIn,198,18,151,24
Pinterest,431,14,0,32
LinkedIn,201,8,152,12
Instagram,361,14,4,42
Pinterest,88,4,49,19
Twitter,237,11,43,22
Snapchat,48,5,55,32
TikTok,403,2,79,29
Facebook,127,15,195,30
TikTok,177,17,27,40
Twitter,305,18,194,12
Snapchat,176,7,156,22
LinkedIn,84,9,69,5
Snapchat,401,9,154,12
TikTok,351,14,22,2
TikTok,298,0,0,31
Pinterest,254,0,31,1
LinkedIn,108,7,68,44
LinkedIn,210,16,159,20
LinkedIn,201,15,69,46
Twitter,307,12,75,21
Snapchat,315,2,51,2
TikTok,17,20,35,24
Pinterest,380,13,28,6
Twitter,277,7,6,4
Snapchat,184,12,111,2
TikTok,483,17,146,18
TikTok,356,5,18,41
Twitter,276,10,173,22
Snapchat,29,20,193,23
LinkedIn,214,18,93,25
Instagram,487,20,63,21
Instagram,94,0,154,15
Twitter,17,19,108,47
TikTok,85,18,68,45
Twitter,327,3,108,28
Snapchat,77,5,110,38
Instagram,491,19,34,20
Twitter,287,1,68,20
Snapchat,426,16,16,38
Pinterest,254,0,35,41
Twitter,461,12,110,35
Snapchat,88,7,77,34
Facebook,400,8,127,46
Instagram,470,12,160,39
TikTok,246,13,151,23
Facebook,72,10,61,8
Snapchat,16,6,135,1
Snapchat,456,11,61,12
Pinterest,42,20,120,27
Twitter,463,2,176,49
Pinterest,225,11,100,24
Facebook,362,0,105,38
TikTok,284,1,37,4
Instagram,133,19,34,37
LinkedIn,68,8,123,17
TikTok,270,10,40,23
Snapchat,476,14,77,27
TikTok,333,1,198,3
Twitter,484,19,104,25
Twitter,298,5,156,7
TikTok,81,18,2,49
LinkedIn,395,14,116,35
Snapchat,275,1,62,38
Snapchat,435,8,161,14
Facebook,216,18,191,15
Snapchat,22,9,82,14
Facebook,448,7,12,28
Pinterest,458,20,94,0
Pinterest,222,17,28,47
Instagram,80,15,122,18
Snapchat,437,14,196,20
Twitter,469,11,180,2
LinkedIn,239,12,125,36
Facebook,477,11,187,22
LinkedIn,342,7,190,16
Snapchat,124,11,164,7
LinkedIn,80,8,165,37
Instagram,265,6,73,34
Twitter,325,18,76,32
TikTok,149,18,90,28
Pinterest,489,7,172,28
Snapchat,274,18,48,45
Facebook,30,11,139,2
Snapchat,284,16,4,22
Snapchat,337,9,8,37
TikTok,366,13,2,39
Instagram,353,8,24,9
LinkedIn,495,19,96,40
TikTok,388,6,125,14
Snapchat,468,8,193,33
Instagram,130,13,93,39
TikTok,84,1,178,26
Snapchat,322,12,53,45
TikTok,194,15,42,43
LinkedIn,384,3,130,10
Pinterest,292,15,96,48
TikTok,243,1,55,29
TikTok,130,10,11,36
Facebook,10,0,191,36
Snapchat,309,6,108,5
Facebook,438,15,83,2
TikTok,206,6,163,23
Snapchat,113,6,95,31
Pinterest,324,16,125,45
Pinterest,301,9,16,26
LinkedIn,367,19,172,24
Snapchat,283,1,177,21
Pinterest,61,2,18,12
Snapchat,156,16,122,34
Pinterest,213,15,105,22
Instagram,237,7,176,16
Twitter,408,17,19,0
LinkedIn,419,5,194,46
Facebook,96,3,65,10
Twitter,98,17,48,15
Twitter,48,18,120,35
Pinterest,185,18,165,16
Snapchat,20,19,126,3
LinkedIn,260,16,38,11
Facebook,292,2,121,7
LinkedIn,246,4,171,31
Snapchat,365,9,1,3
TikTok,242,7,35,22
LinkedIn,205,3,140,14
Snapchat,454,2,50,34
Snapchat,47,11,18,10
LinkedIn,294,9,148,21
TikTok,350,0,92,26
Facebook,106,11,72,14
Instagram,89,16,106,47
Instagram,259,12,144,28
Instagram,435,19,11,23
LinkedIn,211,7,51,19
Snapchat,423,18,3,43
Pinterest,424,12,63,23
Pinterest,76,1,85,32
LinkedIn,489,9,148,30
Snapchat,328,7,16,30
Pinterest,294,10,139,5
LinkedIn,238,19,170,27
LinkedIn,269,10,36,10
Pinterest,79,17,189,43
TikTok,129,0,113,2
Snapchat,201,11,100,34
Facebook,127,19,116,0
TikTok,115,14,15,14
Pinterest,25,11,50,33
Facebook,8,15,0,17
Instagram,227,3,191,42
TikTok,378,7,53,12
LinkedIn,91,6,55,46
TikTok,194,16,91,38
Pinterest,435,12,187,25
Pinterest,169,1,158,49
Twitter,467,11,23,27
LinkedIn,263,0,117,42
Instagram,40,16,74,47
Snapchat,310,1,47,41
Pinterest,174,1,53,46
Twitter,388,5,157,21
Instagram,93,20,136,4
Pinterest,322,8,124,10
Facebook,401,2,164,28
Facebook,189,19,117,28
LinkedIn,130,11,141,0
Facebook,287,13,130,3
Snapchat,21,5,54,4
Pinterest,444,4,79,47
LinkedIn,261,4,97,2
Snapchat,36,15,166,39
LinkedIn,46,6,58,11
Pinterest,212,19,115,2
Facebook,242,9,55,24
TikTok,236,3,78,12
Snapchat,297,3,79,39
Facebook,408,18,71,25
Pinterest,402,17,19,40
TikTok,455,5,146,19
Twitter,46,13,34,16
Snapchat,377,7,188,4
Pinterest,81,12,78,12
Twitter,19,4,10,13
Snapchat,239,13,92,35
LinkedIn,456,10,34,8
Pinterest,308,10,40,30
Instagram,414,12,53,25
TikTok,224,8,90,43
LinkedIn,427,11,113,29
Instagram,288,18,17,26
TikTok,477,5,58,47
LinkedIn,210,5,32,32
LinkedIn,252,6,63,0
Pinterest,157,15,136,4
Instagram,410,6,164,15
Twitter,39,18,130,38
TikTok,264,3,77,23
Instagram,402,9,8,47
Snapchat,24,0,193,38
Instagram,235,11,195,11
Pinterest,288,11,189,47
Facebook,274,10,150,43
Snapchat,399,18,48,24
Pinterest,479,15,51,8
TikTok,449,13,170,36
LinkedIn,130,15,32,9
Instagram,300,15,102,4
Instagram,112,20,179,39
Twitter,246,12,64,44
LinkedIn,109,16,165,36
Instagram,156,10,14,9
Snapchat,317,11,83,26
Snapchat,264,18,23,27
Twitter,296,1,114,2
LinkedIn,151,4,185,16
Snapchat,155,2,173,12
Snapchat,464,5,73,35
Facebook,17,13,33,41
Facebook,93,2,25,45
Pinterest,65,9,35,21
TikTok,295,9,56,15
LinkedIn,305,2,114,20
Twitter,233,18,172,12
Twitter,115,12,6,36
Facebook,280,20,104,46
Instagram,351,19,149,0
Snapchat,17,10,89,31
Pinterest,228,10,50,26
Snapchat,301,16,162,23
TikTok,383,18,46,19
Facebook,211,13,98,4
Pinterest,377,3,135,49
Facebook,321,16,47,12
Snapchat,194,12,63,19
LinkedIn,45,6,85,0
Instagram,276,11,75,27
Twitter,220,9,20,23
LinkedIn,433,9,19,11
Snapchat,262,14,51,48
Facebook,420,17,117,47
Pinterest,71,9,110,39
Facebook,148,4,84,44
TikTok,23,8,52,2
Snapchat,204,5,79,23
Instagram,167,14,72,9
Twitter,142,19,121,10
Facebook,476,15,126,20
Facebook,462,4,159,47
Facebook,315,3,37,11
TikTok,161,14,85,20
Twitter,384,7,63,32
Pinterest,59,9,22,3
LinkedIn,318,3,132,22
Twitter,90,9,132,25
Instagram,52,7,156,41
TikTok,159,15,58,30
Facebook,424,9,97,12
Pinterest,405,15,147,25
LinkedIn,227,8,40,10
LinkedIn,212,17,85,6
LinkedIn,44,13,53,5
TikTok,435,20,37,34
Instagram,67,2,114,34
LinkedIn,412,10,185,43
Instagram,76,12,108,47
Twitter,192,11,44,34
LinkedIn,186,16,190,21
TikTok,299,1,120,17
Facebook,52,12,191,11
Snapchat,383,16,101,1
Facebook,486,7,192,9
LinkedIn,243,18,165,0
Pinterest,491,9,49,42
Snapchat,395,6,87,33
LinkedIn,127,18,19,24
Instagram,67,6,9,50
Pinterest,337,7,132,11
Pinterest,305,10,139,47
TikTok,383,16,160,50
Instagram,481,6,61,49
Facebook,451,16,120,43
Snapchat,160,20,182,17
TikTok,8,15,139,0
Pinterest,179,18,33,1
Instagram,139,3,55,45
Twitter,317,19,138,35
Instagram,98,19,82,48
LinkedIn,233,0,173,16
Pinterest,435,6,128,23
Twitter,453,2,78,39
LinkedIn,176,13,88,3
Pinterest,374,8,124,20
Facebook,253,2,71,32
LinkedIn,179,12,12,49
Facebook,154,15,158,37
TikTok,281,8,43,17
Snapchat,251,2,104,17
Twitter,89,3,123,48
LinkedIn,436,10,115,22
Facebook,75,2,98,6
Instagram,161,14,133,30
Pinterest,67,17,61,32
Pinterest,18,16,37,41
Twitter,442,4,78,1
Pinterest,306,19,65,9
Pinterest,401,13,38,21
Twitter,331,10,154,9
TikTok,126,0,26,36
Instagram,288,3,110,8
LinkedIn,188,10,142,1
LinkedIn,338,12,192,46
Pinterest,466,19,142,43
Instagram,26,7,179,11
Pinterest,313,4,20,22
TikTok,39,5,184,2
Snapchat,14,20,98,33
Snapchat,317,4,37,29
Instagram,213,15,25,26
LinkedIn,417,12,191,9
Facebook,222,6,132,47
Snapchat,186,8,96,1
Instagram,313,8,195,40
Snapchat,447,9,48,46
TikTok,5,4,70,45
Twitter,391,10,21,39
Instagram,242,3,111,39
Twitter,487,8,14,14
Facebook,490,12,106,17
Pinterest,27,17,139,13
TikTok,391,15,67,36
Facebook,99,3,106,22
Pinterest,386,8,111,20
Snapchat,359,17,168,10
Instagram,362,9,138,24
Facebook,368,5,100,5
Twitter,239,10,82,13
Snapchat,87,3,23,41
Twitter,13,13,134,47
TikTok,353,19,120,5
Snapchat,369,7,121,7
Instagram,105,9,99,18
TikTok,40,14,63,4
Instagram,33,5,104,36
Pinterest,372,3,155,25
Snapchat,12,7,124,9
Instagram,421,14,95,42
Facebook,130,20,33,9
Twitter,74,3,158,2
Facebook,323,7,166,31
Snapchat,388,20,121,50
Facebook,192,16,18,21
LinkedIn,218,20,174,31
Instagram,449,12,1,30
Instagram,496,3,157,9
LinkedIn,99,1,91,18
Twitter,408,15,97,30
Instagram,10,4,129,36
Facebook,154,17,2,50
Twitter,300,15,115,30
Snapchat,117,0,94,12
Snapchat,301,3,15,9
Snapchat,246,13,182,28
Instagram,68,10,135,35
Snapchat,393,16,1,35
Instagram,331,15,107,15
Facebook,176,10,56,6
Instagram,457,7,73,15
Twitter,81,14,199,16
Facebook,332,7,81,17
Twitter,385,9,10,25
TikTok,337,16,48,42
LinkedIn,328,15,89,29
Twitter,101,6,132,10
Facebook,176,6,121,2
LinkedIn,468,12,53,47
LinkedIn,388,9,61,20
Twitter,451,20,67,7
Twitter,6,16,151,22
LinkedIn,374,20,36,26
Pinterest,84,19,28,31
Facebook,129,6,144,9
TikTok,192,4,160,44
Twitter,282,18,165,35
Pinterest,400,19,195,22
LinkedIn,67,10,162,36
LinkedIn,183,16,50,8
Facebook,413,2,30,40
LinkedIn,303,2,120,9
LinkedIn,94,0,16,19
Pinterest,492,3,184,50
Snapchat,442,7,118,32
Pinterest,83,9,104,15
Twitter,279,18,175,7
LinkedIn,84,16,144,33
LinkedIn,285,5,114,38
LinkedIn,254,14,140,8
TikTok,193,14,168,19
TikTok,354,16,11,0
Snapchat,449,20,51,45
Twitter,63,5,181,15
LinkedIn,314,13,118,37
Instagram,475,5,63,10
TikTok,435,3,15,5
LinkedIn,220,3,106,50
Pinterest,273,1,145,19
Instagram,204,20,36,3
Pinterest,157,18,112,23
TikTok,101,12,163,10
TikTok,292,1,17,26
TikTok,317,14,102,2
Instagram,47,11,87,37
Facebook,330,19,138,45
Twitter,311,17,9,46
Instagram,196,16,92,25
TikTok,56,7,61,24
Instagram,405,18,117,29
Instagram,91,20,95,45
Twitter,331,11,75,17
Pinterest,101,14,76,34
TikTok,238,11,158,6
LinkedIn,99,12,85,18
Snapchat,169,20,17,50
Instagram,266,4,100,43
Instagram,398,3,12,7
Twitter,491,8,34,10
Snapchat,304,20,1,4
Twitter,431,7,41,46
Instagram,109,8,89,4
Twitter,127,17,50,9
LinkedIn,426,5,21,2
Pinterest,257,18,30,18
LinkedIn,43,12,86,38
Twitter,226,17,76,5
Snapchat,363,11,3,50
LinkedIn,33,18,178,2
Twitter,45,8,69,7
Twitter,336,17,123,22
TikTok,405,14,151,20
Twitter,371,6,11,3
Pinterest,414,8,23,7
TikTok,498,12,6,11
TikTok,201,0,123,19
Instagram,339,19,43,4
Snapchat,125,7,128,20
Facebook,457,2,131,32
Facebook,171,19,66,5
Twitter,339,14,160,27
LinkedIn,130,10,22,46
Twitter,142,11,163,37
Twitter,32,12,7,18
Facebook,474,1,82,35
Twitter,104,5,46,4
Pinterest,426,2,34,38
Facebook,56,15,154,32
Facebook,300,7,78,44
Snapchat,423,14,116,44
Pinterest,53,14,191,25
TikTok,483,3,159,26
Pinterest,246,17,98,35
Twitter,48,13,6,20
TikTok,325,3,84,22
Pinterest,483,16,27,10
Twitter,366,0,13,26
Pinterest,40,2,69,5
Pinterest,47,13,97,9
LinkedIn,115,10,97,49
Instagram,265,10,28,0
Instagram,6,9,66,30
LinkedIn,197,0,133,42
Snapchat,97,4,14,28
TikTok,263,11,193,20
Snapchat,285,9,195,13
Snapchat,148,17,169,49
TikTok,445,7,150,37
Twitter,238,5,4,15
TikTok,123,18,75,45
Snapchat,261,4,15,16
Instagram,389,8,171,4
TikTok,232,10,199,23
TikTok,167,2,27,41
TikTok,11,9,44,39
Snapchat,315,13,128,9
Snapchat,447,14,172,21
Instagram,423,13,92,45
Snapchat,399,11,50,35
LinkedIn,442,6,179,6
Instagram,417,10,87,20
Facebook,80,8,85,34
TikTok,39,15,173,37
Instagram,111,17,161,12
Pinterest,468,8,17,9
TikTok,76,10,10,4
Twitter,241,8,74,46
Pinterest,103,13,132,29
Snapchat,305,16,19,13
Snapchat,357,10,195,3
Instagram,457,8,189,42
TikTok,51,3,102,5
TikTok,157,4,8,22
Twitter,405,20,10,0
TikTok,61,14,52,23
Snapchat,433,3,88,49
Snapchat,101,2,157,19
TikTok,26,7,50,23
Snapchat,447,7,57,33
LinkedIn,12,12,6,42
Pinterest,223,12,26,20
Twitter,58,13,111,36
Instagram,107,16,184,39
Snapchat,448,9,41,27
Snapchat,465,14,123,1
TikTok,61,1,163,39
Facebook,76,5,185,16
Twitter,207,16,199,7
Snapchat,408,16,150,30
Instagram,175,4,78,34
Facebook,159,14,181,12
TikTok,61,19,130,45
TikTok,311,5,184,15
Twitter,292,16,116,10
Twitter,201,8,189,49
Facebook,153,0,182,20
Pinterest,89,19,164,2
Instagram,412,7,13,47
Snapchat,312,1,57,22
Facebook,88,1,181,5
Facebook,272,11,93,43
Facebook,128,11,194,5
Instagram,453,16,169,2
TikTok,481,5,181,41
TikTok,357,11,157,46
Twitter,149,16,65,5
Snapchat,141,5,94,42
Facebook,8,11,151,47
Snapchat,376,18,8,46
Pinterest,351,5,70,4
Snapchat,231,20,196,29
Pinterest,40,6,139,32
Snapchat,242,19,9,46
Twitter,404,20,41,5
LinkedIn,347,9,3,34
Facebook,87,6,28,42
Facebook,96,8,40,32
Twitter,431,13,64,6
Instagram,109,9,96,9
Instagram,406,19,99,37
Snapchat,408,3,16,32
Instagram,81,2,76,24
Snapchat,303,19,113,34
Facebook,37,6,56,44
Snapchat,105,14,6,5
Instagram,473,14,23,31
Twitter,181,3,112,43
Pinterest,120,3,10,17
Pinterest,47,2,70,29
TikTok,493,2,174,24
TikTok,89,19,105,48
LinkedIn,341,19,96,39
TikTok,186,20,66,15
Facebook,475,20,79,50
LinkedIn,71,16,47,48
Twitter,444,10,44,40
LinkedIn,395,14,117,48
TikTok,28,8,130,8
Snapchat,451,3,39,34
Facebook,87,19,118,5
Snapchat,376,12,93,50
Twitter,267,5,160,34
Instagram,293,0,167,40
TikTok,320,2,39,17
Facebook,241,1,60,4
Instagram,423,16,74,30
Pinterest,97,5,91,36
LinkedIn,495,16,82,15
Twitter,135,15,146,14
Facebook,348,0,145,34
Instagram,311,14,102,43
Snapchat,135,15,28,42
LinkedIn,420,17,31,23
Facebook,485,2,187,0
Twitter,143,16,17,16
Facebook,231,0,19,8
Instagram,495,12,136,43
Pinterest,404,8,41,50
Twitter,166,14,86,42
TikTok,395,9,1,17
Snapchat,93,5,107,1
Pinterest,368,3,40,40
LinkedIn,72,17,110,24
LinkedIn,144,6,89,30
Twitter,464,2,149,43
LinkedIn,479,4,72,15
Instagram,499,14,110,49
Facebook,318,6,105,9
TikTok,305,15,151,6
Pinterest,115,17,81,39
