Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
55,Male,Pants,Clothing,77,Wyoming,M,Violet,Winter,3.7,No,Express,Yes,Yes,3,Venmo,Fortnightly
55,Male,Sweater,Clothing,32,Arkansas,S,Turquoise,Fall,4.5,No,Standard,Yes,Yes,1,PayPal,Monthly
55,Male,Sunglasses,Accessories,67,Massachusetts,S,Magenta,Summer,4.7,No,Store Pickup,Yes,Yes,33,PayPal,Annually
55,Male,Blouse,Clothing,30,Maryland,XL,Gray,Fall,3,No,Free Shipping,Yes,Yes,31,Venmo,Annually
55,Male,Blouse,Clothing,66,Wyoming,M,Green,Summer,3.4,No,Free Shipping,Yes,Yes,26,Venmo,Fortnightly
55,Male,T-shirt,Clothing,21,Kansas,S,White,Spring,4.3,No,Standard,Yes,Yes,4,PayPal,Fortnightly
55,Male,Shoes,Footwear,99,Vermont,XL,Peach,Winter,3.3,No,Standard,No,No,46,Credit Card,Quarterly
55,Male,Backpack,Accessories,46,Minnesota,L,Blue,Spring,4.4,No,2-Day Shipping,No,No,29,PayPal,Monthly
55,Male,Sandals,Footwear,41,Virginia,XL,Maroon,Winter,2.9,No,Standard,No,No,35,Credit Card,Fortnightly
55,Male,Sandals,Footwear,23,New Mexico,XL,Teal,Winter,4.3,No,Next Day Air,No,No,6,PayPal,Every 3 Months
55,Male,Coat,Outerwear,96,New Mexico,L,Silver,Winter,4.8,No,Express,No,No,13,PayPal,Bi-Weekly
55,Male,Dress,Clothing,44,New Hampshire,L,Beige,Spring,3.2,No,Store Pickup,No,No,31,Cash,Monthly
55,Male,Handbag,Accessories,44,Arkansas,M,Maroon,Summer,2.8,No,Standard,No,No,45,Bank Transfer,Annually
55,Male,Blouse,Clothing,72,Arizona,XL,Pink,Fall,2.7,No,Next Day Air,No,No,29,Credit Card,Fortnightly
55,Male,Socks,Clothing,86,Nebraska,S,Charcoal,Summer,2.6,No,Next Day Air,No,No,4,Debit Card,Weekly
55,Male,Scarf,Accessories,29,Connecticut,M,Purple,Winter,3.7,No,Express,No,No,29,PayPal,Every 3 Months
55,Male,Sunglasses,Accessories,22,Louisiana,M,Turquoise,Winter,3.8,No,Next Day Air,No,No,27,Venmo,Quarterly
55,Female,Boots,Footwear,70,Hawaii,L,Lavender,Summer,2.6,No,Standard,No,No,46,Cash,Quarterly
55,Female,Hoodie,Clothing,57,Virginia,M,Magenta,Summer,3.6,No,Store Pickup,No,No,34,Venmo,Quarterly
55,Female,Scarf,Accessories,52,Maryland,M,Peach,Spring,2.8,No,Store Pickup,No,No,45,Bank Transfer,Quarterly
55,Female,Blouse,Clothing,25,Kansas,M,Beige,Spring,3.8,No,2-Day Shipping,No,No,28,PayPal,Bi-Weekly
55,Female,Jacket,Outerwear,73,Oklahoma,M,Red,Winter,3.8,No,Store Pickup,No,No,21,Cash,Annually
55,Female,Boots,Footwear,50,Arkansas,M,Purple,Summer,3.4,No,2-Day Shipping,No,No,47,Credit Card,Every 3 Months
55,Female,Skirt,Clothing,100,Ohio,M,Black,Summer,4.5,No,Standard,No,No,28,PayPal,Monthly
55,Female,Shirt,Clothing,70,Tennessee,L,Magenta,Fall,2.5,No,Free Shipping,No,No,6,Credit Card,Annually
55,Female,Gloves,Accessories,94,Louisiana,M,Beige,Winter,3.4,No,Free Shipping,No,No,43,Credit Card,Every 3 Months
55,Female,Blouse,Clothing,25,Georgia,M,Peach,Spring,2.6,No,Express,No,No,7,Bank Transfer,Bi-Weekly
55,Female,Belt,Accessories,52,Missouri,L,Beige,Fall,3.2,No,Standard,No,No,31,Credit Card,Monthly
55,Female,Jeans,Clothing,70,Utah,M,Pink,Fall,2.6,No,Express,No,No,29,Cash,Monthly
55,Female,Sneakers,Footwear,75,Louisiana,L,Black,Summer,3.9,No,Next Day Air,No,No,45,Cash,Quarterly
55,Female,Hat,Accessories,30,Kansas,XL,Black,Fall,3.9,No,Express,No,No,45,Credit Card,Monthly
55,Female,Socks,Clothing,94,Kansas,M,Violet,Spring,3.3,No,Standard,No,No,8,Credit Card,Quarterly
55,Female,Sunglasses,Accessories,58,California,M,Pink,Summer,3.5,No,Free Shipping,No,No,39,PayPal,Quarterly
55,Female,Jeans,Clothing,35,Minnesota,M,Violet,Spring,4.2,No,Express,No,No,3,PayPal,Monthly
55,Female,Jacket,Outerwear,50,Connecticut,XL,Olive,Summer,4.5,No,Standard,No,No,35,Credit Card,Monthly
55,Female,Belt,Accessories,96,Washington,M,Teal,Summer,2.9,No,Next Day Air,No,No,7,Bank Transfer,Bi-Weekly
55,Female,Handbag,Accessories,71,Louisiana,S,Lavender,Fall,4.6,No,Store Pickup,No,No,15,PayPal,Bi-Weekly
55,Female,T-shirt,Clothing,20,Montana,S,Maroon,Winter,3.9,No,Next Day Air,No,No,43,Bank Transfer,Weekly
55,Female,Handbag,Accessories,21,Minnesota,L,Peach,Spring,4.5,No,Express,No,No,10,Venmo,Monthly
55,Female,Hoodie,Clothing,66,Pennsylvania,L,Pink,Winter,3,No,Standard,No,No,39,Cash,Weekly
55,Female,T-shirt,Clothing,99,Wyoming,S,Blue,Winter,4.9,No,Express,No,No,1,Debit Card,Fortnightly
55,Female,T-shirt,Clothing,97,Minnesota,M,Black,Fall,4.1,No,2-Day Shipping,No,No,20,Bank Transfer,Every 3 Months
19,Male,Sweater,Clothing,64,Maine,L,Maroon,Winter,3.1,Yes,Express,Yes,Yes,2,Cash,Fortnightly
19,Male,Sandals,Footwear,72,New York,XL,Blue,Summer,3.3,Yes,Store Pickup,Yes,Yes,24,Credit Card,Every 3 Months
19,Male,Pants,Clothing,28,Georgia,S,Olive,Spring,4,Yes,2-Day Shipping,Yes,Yes,21,Credit Card,Every 3 Months
19,Male,Shorts,Clothing,72,Virginia,M,Olive,Winter,4.2,Yes,Standard,Yes,Yes,11,Cash,Fortnightly
19,Male,Shoes,Footwear,43,New Jersey,M,Silver,Fall,3.2,Yes,Express,Yes,Yes,25,Cash,Monthly
19,Male,Shoes,Footwear,94,Georgia,S,Purple,Spring,3.3,Yes,Store Pickup,Yes,Yes,1,Bank Transfer,Bi-Weekly
19,Male,Sweater,Clothing,83,Arizona,XL,Yellow,Fall,4.5,Yes,Next Day Air,Yes,Yes,27,Bank Transfer,Every 3 Months
19,Male,Shirt,Clothing,86,New York,M,Maroon,Winter,2.8,Yes,2-Day Shipping,Yes,Yes,5,Credit Card,Monthly
19,Male,Sneakers,Footwear,45,Nevada,M,Orange,Winter,4.5,Yes,Next Day Air,Yes,Yes,12,Bank Transfer,Annually
19,Male,Shirt,Clothing,74,West Virginia,M,Silver,Summer,4.1,Yes,Store Pickup,Yes,Yes,15,Venmo,Monthly
19,Male,Backpack,Accessories,51,Nebraska,S,Orange,Spring,4.5,Yes,2-Day Shipping,Yes,Yes,37,Debit Card,Every 3 Months
19,Male,Gloves,Accessories,49,New York,L,Peach,Winter,3.3,Yes,Next Day Air,Yes,Yes,2,Bank Transfer,Monthly
19,Male,Belt,Accessories,54,Minnesota,L,Blue,Summer,4.4,Yes,2-Day Shipping,Yes,Yes,17,Bank Transfer,Quarterly
19,Male,Skirt,Clothing,52,Alabama,M,Black,Fall,3.7,Yes,Store Pickup,Yes,Yes,41,Venmo,Annually
19,Male,Backpack,Accessories,34,Nebraska,M,Charcoal,Summer,4.6,Yes,Store Pickup,Yes,Yes,1,Debit Card,Every 3 Months
19,Male,Shoes,Footwear,70,Nevada,M,White,Fall,4.7,Yes,Standard,Yes,Yes,48,PayPal,Bi-Weekly
19,Male,Gloves,Accessories,38,West Virginia,XL,Turquoise,Winter,3.3,Yes,Free Shipping,Yes,Yes,46,Bank Transfer,Quarterly
19,Male,Hoodie,Clothing,91,Pennsylvania,M,Orange,Summer,4.7,Yes,Express,Yes,Yes,35,Credit Card,Every 3 Months
19,Male,Sneakers,Footwear,54,Vermont,M,Gray,Spring,3.3,Yes,Express,Yes,Yes,8,Credit Card,Annually
19,Male,Jacket,Outerwear,26,Oklahoma,L,Olive,Fall,3.1,Yes,Free Shipping,Yes,Yes,33,PayPal,Weekly
19,Male,Coat,Outerwear,84,Arkansas,M,Charcoal,Winter,4.9,Yes,Standard,Yes,Yes,13,PayPal,Fortnightly
19,Male,Shorts,Clothing,54,Utah,S,Brown,Summer,3.6,Yes,Express,Yes,Yes,48,Bank Transfer,Monthly
19,Male,Pants,Clothing,52,Montana,S,Silver,Spring,4.6,Yes,Free Shipping,Yes,Yes,41,Bank Transfer,Quarterly
19,Male,Coat,Outerwear,34,Tennessee,S,Peach,Summer,3,No,Free Shipping,Yes,Yes,30,Bank Transfer,Quarterly
19,Male,Sweater,Clothing,73,North Carolina,M,Peach,Fall,2.6,No,Next Day Air,Yes,Yes,45,Bank Transfer,Fortnightly
19,Male,Sweater,Clothing,23,Vermont,M,Gold,Winter,2.5,No,Next Day Air,Yes,Yes,35,Credit Card,Bi-Weekly
19,Male,Blouse,Clothing,97,Rhode Island,L,Green,Spring,5,No,Express,Yes,Yes,5,Venmo,Quarterly
19,Male,Belt,Accessories,54,Nebraska,XL,Purple,Spring,3.2,No,Standard,Yes,Yes,23,Credit Card,Fortnightly
19,Male,Scarf,Accessories,22,Nebraska,XL,Pink,Spring,2.5,No,Store Pickup,Yes,Yes,25,Venmo,Every 3 Months
19,Male,Hat,Accessories,81,Nebraska,M,Olive,Winter,3.1,No,Store Pickup,Yes,Yes,48,Venmo,Annually
19,Male,Boots,Footwear,85,Georgia,S,Olive,Fall,3.4,No,Free Shipping,Yes,Yes,24,Credit Card,Every 3 Months
19,Male,Sneakers,Footwear,55,Kansas,M,Black,Spring,2.9,No,2-Day Shipping,Yes,Yes,19,Debit Card,Every 3 Months
19,Male,Handbag,Accessories,53,Minnesota,M,Purple,Spring,5,No,Next Day Air,Yes,Yes,35,PayPal,Weekly
19,Male,Pants,Clothing,59,Arkansas,XL,Orange,Fall,3.8,No,Store Pickup,No,No,7,Credit Card,Quarterly
19,Male,Dress,Clothing,94,Michigan,L,Yellow,Fall,3.6,No,Standard,No,No,48,Debit Card,Annually
19,Male,Shirt,Clothing,94,Washington,XL,Gold,Fall,5,No,Express,No,No,31,PayPal,Monthly
19,Male,Jeans,Clothing,73,Maine,XL,Yellow,Winter,2.7,No,Express,No,No,34,Cash,Every 3 Months
19,Male,Backpack,Accessories,72,Wyoming,S,Cyan,Fall,3.2,No,2-Day Shipping,No,No,21,Venmo,Quarterly
19,Male,Blouse,Clothing,68,North Carolina,XL,Violet,Spring,4.8,No,Free Shipping,No,No,45,Cash,Fortnightly
19,Male,Shoes,Footwear,52,Alabama,M,Red,Spring,4,No,2-Day Shipping,No,No,35,Venmo,Monthly
19,Male,Sunglasses,Accessories,60,Wyoming,S,Purple,Spring,4.5,No,2-Day Shipping,No,No,16,Credit Card,Fortnightly
19,Male,Shorts,Clothing,52,Montana,M,Red,Fall,3.6,No,Express,No,No,9,Bank Transfer,Fortnightly
19,Male,T-shirt,Clothing,45,Nebraska,XL,Turquoise,Winter,4.6,No,2-Day Shipping,No,No,19,PayPal,Bi-Weekly
19,Male,Gloves,Accessories,84,Massachusetts,XL,Olive,Spring,4.6,No,Standard,No,No,9,Bank Transfer,Fortnightly
19,Male,Belt,Accessories,62,Wyoming,XL,Beige,Fall,4.5,No,Store Pickup,No,No,47,Cash,Annually
19,Male,T-shirt,Clothing,30,Vermont,L,Violet,Summer,3.7,No,Free Shipping,No,No,19,Cash,Every 3 Months
19,Male,Belt,Accessories,94,California,M,Green,Winter,3.1,No,Free Shipping,No,No,11,Credit Card,Weekly
19,Male,Scarf,Accessories,81,Pennsylvania,S,Gold,Spring,3.3,No,2-Day Shipping,No,No,44,Bank Transfer,Every 3 Months
19,Male,Socks,Clothing,33,Illinois,L,Blue,Summer,2.9,No,Standard,No,No,14,Venmo,Monthly
19,Male,Socks,Clothing,48,Washington,M,Black,Spring,4.4,No,Free Shipping,No,No,9,Bank Transfer,Quarterly
19,Male,Pants,Clothing,36,Illinois,M,Gold,Fall,3.6,No,Express,No,No,33,Bank Transfer,Every 3 Months
19,Male,Sunglasses,Accessories,25,Michigan,XL,Gold,Spring,4.3,No,Store Pickup,No,No,24,Cash,Fortnightly
19,Male,Dress,Clothing,98,South Dakota,S,Indigo,Fall,3.6,No,2-Day Shipping,No,No,4,Venmo,Every 3 Months
19,Male,Dress,Clothing,59,South Dakota,M,Indigo,Summer,3.3,No,Standard,No,No,19,Credit Card,Annually
19,Female,Coat,Outerwear,57,Mississippi,M,Magenta,Fall,3.8,No,2-Day Shipping,No,No,20,Debit Card,Annually
19,Female,Sandals,Footwear,70,Minnesota,S,Teal,Spring,4.9,No,Free Shipping,No,No,17,PayPal,Fortnightly
19,Female,Sunglasses,Accessories,70,Pennsylvania,M,Lavender,Summer,4.9,No,Free Shipping,No,No,34,Bank Transfer,Fortnightly
19,Female,Skirt,Clothing,38,Virginia,M,Silver,Spring,4.5,No,Next Day Air,No,No,26,Credit Card,Quarterly
19,Female,Dress,Clothing,33,Ohio,XL,Magenta,Winter,3,No,2-Day Shipping,No,No,31,Cash,Weekly
19,Female,Skirt,Clothing,61,Florida,L,Beige,Winter,4.8,No,Store Pickup,No,No,43,PayPal,Quarterly
19,Female,Sunglasses,Accessories,82,Maryland,XL,Lavender,Summer,3.7,No,Next Day Air,No,No,50,PayPal,Bi-Weekly
19,Female,Sunglasses,Accessories,73,New York,S,Black,Fall,4.9,No,Free Shipping,No,No,36,Cash,Weekly
19,Female,Jacket,Outerwear,44,Utah,M,Yellow,Winter,3.9,No,2-Day Shipping,No,No,15,PayPal,Annually
19,Female,Handbag,Accessories,46,Texas,L,Lavender,Fall,4.6,No,Next Day Air,No,No,2,Bank Transfer,Bi-Weekly
19,Female,Blouse,Clothing,97,Texas,S,Green,Fall,3.8,No,Express,No,No,26,Venmo,Annually
19,Female,Shirt,Clothing,80,Georgia,M,Gold,Winter,2.7,No,Next Day Air,No,No,37,Bank Transfer,Fortnightly
19,Female,Sweater,Clothing,76,Iowa,S,Maroon,Fall,3,No,Free Shipping,No,No,20,Cash,Fortnightly
19,Female,Coat,Outerwear,91,West Virginia,M,Gold,Spring,3.5,No,2-Day Shipping,No,No,47,Credit Card,Fortnightly
19,Female,Blouse,Clothing,38,New Jersey,L,Yellow,Summer,2.7,No,Standard,No,No,13,Bank Transfer,Bi-Weekly
19,Female,Hat,Accessories,60,Kentucky,M,Purple,Winter,3.4,No,Express,No,No,35,PayPal,Bi-Weekly
19,Female,Coat,Outerwear,91,New York,L,Beige,Winter,3.2,No,Next Day Air,No,No,9,Venmo,Monthly
19,Female,Backpack,Accessories,53,Iowa,M,Gold,Spring,3.4,No,Standard,No,No,31,Debit Card,Weekly
19,Female,Coat,Outerwear,69,West Virginia,S,Olive,Summer,4.5,No,Free Shipping,No,No,31,Cash,Bi-Weekly
19,Female,Hoodie,Clothing,37,Texas,L,White,Winter,3.9,No,Express,No,No,21,Credit Card,Every 3 Months
19,Female,Dress,Clothing,80,South Dakota,XL,Charcoal,Winter,4,No,Next Day Air,No,No,16,Debit Card,Bi-Weekly
19,Female,Scarf,Accessories,87,Alabama,L,Charcoal,Summer,2.6,No,2-Day Shipping,No,No,29,Venmo,Quarterly
19,Female,Shoes,Footwear,74,Arkansas,L,Indigo,Winter,3.1,No,2-Day Shipping,No,No,13,Bank Transfer,Fortnightly
19,Female,Jewelry,Accessories,94,Wisconsin,S,Teal,Spring,4.9,No,Free Shipping,No,No,16,PayPal,Monthly
19,Female,Jewelry,Accessories,23,Kentucky,S,Maroon,Winter,4.9,No,Free Shipping,No,No,43,PayPal,Bi-Weekly
19,Female,Sneakers,Footwear,25,Alaska,L,Olive,Spring,4.1,No,Standard,No,No,10,Credit Card,Fortnightly
19,Female,Sweater,Clothing,26,Vermont,M,Turquoise,Fall,4.8,No,Next Day Air,No,No,12,Venmo,Bi-Weekly
50,Male,Jeans,Clothing,73,Massachusetts,S,Maroon,Spring,3.1,Yes,Free Shipping,Yes,Yes,23,Credit Card,Weekly
50,Male,Socks,Clothing,21,Tennessee,XL,Indigo,Fall,2.9,Yes,2-Day Shipping,Yes,Yes,25,PayPal,Annually
50,Male,Sweater,Clothing,37,Idaho,L,Brown,Summer,4,Yes,Express,Yes,Yes,17,Cash,Weekly
50,Male,Hat,Accessories,43,Delaware,S,Teal,Summer,4.2,Yes,Free Shipping,Yes,Yes,32,Venmo,Monthly
50,Male,Skirt,Clothing,91,Nebraska,M,Maroon,Spring,4.7,Yes,Free Shipping,Yes,Yes,50,Venmo,Fortnightly
50,Male,Sandals,Footwear,32,South Dakota,L,Yellow,Summer,4.6,Yes,Express,Yes,Yes,29,Cash,Fortnightly
50,Male,Sweater,Clothing,45,Kentucky,L,Orange,Fall,4.8,Yes,2-Day Shipping,Yes,Yes,27,Cash,Bi-Weekly
50,Male,Hoodie,Clothing,53,Arkansas,M,Pink,Spring,3.1,Yes,Express,Yes,Yes,5,Bank Transfer,Bi-Weekly
50,Male,Jeans,Clothing,90,Rhode Island,M,Turquoise,Winter,4.2,Yes,Standard,Yes,Yes,25,Venmo,Fortnightly
50,Male,Dress,Clothing,90,Iowa,M,Beige,Summer,3,Yes,Store Pickup,Yes,Yes,36,Debit Card,Fortnightly
50,Male,Sunglasses,Accessories,77,West Virginia,S,Magenta,Fall,2.9,Yes,Standard,Yes,Yes,6,PayPal,Quarterly
50,Male,Shoes,Footwear,52,Oklahoma,L,Pink,Spring,4,Yes,Store Pickup,Yes,Yes,39,PayPal,Every 3 Months
50,Male,Blouse,Clothing,96,North Carolina,S,Indigo,Fall,4,Yes,2-Day Shipping,Yes,Yes,33,Credit Card,Quarterly
50,Male,Dress,Clothing,63,Minnesota,L,Teal,Summer,4.6,Yes,Express,Yes,Yes,6,Cash,Every 3 Months
50,Male,Shirt,Clothing,62,Michigan,M,Black,Fall,3.9,Yes,Standard,Yes,Yes,11,Debit Card,Weekly
50,Male,Sandals,Footwear,51,Vermont,L,Purple,Fall,3.4,Yes,Next Day Air,Yes,Yes,42,Cash,Weekly
50,Male,Blouse,Clothing,49,Virginia,S,Turquoise,Summer,3,Yes,Store Pickup,Yes,Yes,14,Debit Card,Annually
50,Male,Sneakers,Footwear,77,Iowa,L,Teal,Fall,3.2,Yes,Express,Yes,Yes,43,Debit Card,Every 3 Months
50,Male,Backpack,Accessories,57,Colorado,M,Maroon,Fall,2.6,Yes,Standard,Yes,Yes,2,Bank Transfer,Quarterly
50,Male,Coat,Outerwear,79,Montana,M,Olive,Fall,5,Yes,2-Day Shipping,Yes,Yes,39,Credit Card,Quarterly
50,Male,Handbag,Accessories,46,Connecticut,M,Charcoal,Fall,2.6,Yes,2-Day Shipping,Yes,Yes,5,PayPal,Weekly
50,Male,Pants,Clothing,51,Rhode Island,XL,Yellow,Summer,3.8,Yes,Store Pickup,Yes,Yes,18,Bank Transfer,Quarterly
50,Male,Scarf,Accessories,44,North Carolina,S,Magenta,Summer,3.1,Yes,2-Day Shipping,Yes,Yes,35,PayPal,Fortnightly
50,Male,Boots,Footwear,35,Virginia,M,Cyan,Fall,3.8,Yes,Next Day Air,Yes,Yes,37,Cash,Every 3 Months
50,Male,Pants,Clothing,84,Ohio,M,Orange,Winter,4.9,Yes,2-Day Shipping,Yes,Yes,47,PayPal,Fortnightly
50,Male,Socks,Clothing,28,New Mexico,L,Brown,Spring,2.9,Yes,Standard,Yes,Yes,23,Debit Card,Monthly
50,Male,Dress,Clothing,70,Georgia,XL,Charcoal,Spring,4.9,Yes,Next Day Air,Yes,Yes,46,Cash,Weekly
50,Male,Jewelry,Accessories,75,North Carolina,M,Magenta,Summer,3.3,No,Free Shipping,Yes,Yes,50,Debit Card,Weekly
50,Male,Pants,Clothing,28,Nevada,L,Gold,Spring,4.4,No,Express,Yes,Yes,2,Credit Card,Weekly
50,Male,Shirt,Clothing,53,Delaware,XL,Maroon,Spring,4.8,No,Store Pickup,Yes,Yes,22,Debit Card,Monthly
50,Male,Hoodie,Clothing,98,North Carolina,S,Teal,Spring,4.3,No,Store Pickup,Yes,Yes,25,Cash,Fortnightly
50,Male,Hoodie,Clothing,46,New York,S,Teal,Winter,3.1,No,2-Day Shipping,Yes,Yes,6,Credit Card,Fortnightly
50,Male,Boots,Footwear,63,Nebraska,XL,Cyan,Fall,2.6,No,Free Shipping,Yes,Yes,12,Cash,Every 3 Months
50,Male,Jacket,Outerwear,30,Michigan,M,Maroon,Fall,3.9,No,2-Day Shipping,Yes,Yes,46,Cash,Quarterly
50,Male,Sunglasses,Accessories,73,Texas,L,Cyan,Fall,4.9,No,Next Day Air,Yes,Yes,40,PayPal,Weekly
50,Male,Shoes,Footwear,59,New Hampshire,M,Gold,Summer,3.6,No,2-Day Shipping,Yes,Yes,16,Bank Transfer,Quarterly
50,Male,Scarf,Accessories,38,Mississippi,M,Indigo,Summer,3.8,No,Standard,Yes,Yes,2,Bank Transfer,Quarterly
50,Male,Hoodie,Clothing,32,Colorado,L,Violet,Summer,3.4,No,Free Shipping,Yes,Yes,1,Bank Transfer,Every 3 Months
50,Male,Gloves,Accessories,26,North Carolina,S,Violet,Summer,3.7,No,Store Pickup,No,No,31,PayPal,Bi-Weekly
50,Male,Boots,Footwear,63,Nevada,S,Blue,Summer,4.9,No,Express,No,No,18,PayPal,Bi-Weekly
50,Male,Sunglasses,Accessories,80,Kansas,M,Blue,Winter,4.8,No,Express,No,No,7,Venmo,Annually
50,Male,Sweater,Clothing,84,Kentucky,S,Black,Spring,4.3,No,Store Pickup,No,No,12,Credit Card,Monthly
50,Male,Hat,Accessories,89,Alaska,L,Gray,Fall,3.9,No,2-Day Shipping,No,No,48,PayPal,Fortnightly
50,Male,Hoodie,Clothing,56,Maine,M,Pink,Winter,4.9,No,Express,No,No,37,Cash,Monthly
50,Male,Shoes,Footwear,73,Nebraska,S,Gold,Fall,4.8,No,Standard,No,No,50,Credit Card,Every 3 Months
50,Male,Sweater,Clothing,89,Maine,L,Purple,Winter,3.2,No,Free Shipping,No,No,45,Debit Card,Every 3 Months
50,Male,Belt,Accessories,100,Idaho,L,Gold,Fall,4.1,No,Standard,No,No,20,Debit Card,Weekly
50,Male,Hat,Accessories,22,Connecticut,L,Beige,Spring,2.9,No,2-Day Shipping,No,No,45,PayPal,Quarterly
50,Male,Sandals,Footwear,31,Colorado,M,Beige,Winter,3,No,Next Day Air,No,No,27,Debit Card,Fortnightly
50,Male,Boots,Footwear,39,Alabama,XL,Silver,Spring,3.1,No,Express,No,No,9,PayPal,Fortnightly
50,Male,Sunglasses,Accessories,96,South Dakota,S,Silver,Summer,4.1,No,Next Day Air,No,No,34,Bank Transfer,Bi-Weekly
50,Male,Socks,Clothing,63,North Dakota,M,Green,Summer,4.9,No,Free Shipping,No,No,20,Credit Card,Monthly
50,Male,Jacket,Outerwear,46,Rhode Island,XL,Silver,Fall,4.2,No,Express,No,No,30,Credit Card,Every 3 Months
50,Female,Hat,Accessories,92,Tennessee,M,Orange,Fall,3.6,No,Standard,No,No,10,PayPal,Bi-Weekly
50,Female,Sneakers,Footwear,81,Ohio,M,Charcoal,Summer,4.3,No,2-Day Shipping,No,No,39,Venmo,Every 3 Months
50,Female,Boots,Footwear,44,Nebraska,S,Blue,Fall,3.3,No,Express,No,No,22,Bank Transfer,Quarterly
