brand_id,category_id,model_year,list_price
Electra,Cruisers Bicycles,2018,529.99
Electra,Cruisers Bicycles,2018,479.99
Electra,Cruisers Bicycles,2018,959.99
Electra,Cruisers Bicycles,2018,679.99
Electra,Cruisers Bicycles,2018,319.99
Electra,Cruisers Bicycles,2018,319.99
Electra,Cruisers Bicycles,2018,429.99
Electra,Cruisers Bicycles,2018,429.99
Electra,Cruisers Bicycles,2018,529.99
Electra,Cruisers Bicycles,2018,479.99
Electra,Cruisers Bicycles,2018,639.99
Electra,Cruisers Bicycles,2018,899.99
Electra,Cruisers Bicycles,2018,899.99
Electra,Cruisers Bicycles,2018,749.99
Electra,Cruisers Bicycles,2018,849.99
Electra,Cruisers Bicycles,2018,749.99
Electra,Cruisers Bicycles,2018,749.99
Electra,Cruisers Bicycles,2018,899.99
Electra,Cruisers Bicycles,2018,749.99
Electra,Cruisers Bicycles,2018,699.99
Electra,Cruisers Bicycles,2018,679.99
Electra,Cruisers Bicycles,2018,559.99
Electra,Cruisers Bicycles,2018,659.99
Electra,Cruisers Bicycles,2018,639.99
Electra,Cruisers Bicycles,2018,599.99
Electra,Cruisers Bicycles,2018,599.99
Electra,Cruisers Bicycles,2018,749.99
Electra,Cruisers Bicycles,2018,2599.99
Electra,Cruisers Bicycles,2018,2999.99
Electra,Cruisers Bicycles,2018,2999.99
Electra,Cruisers Bicycles,2018,2599.99
Electra,Cruisers Bicycles,2018,749.99
Electra,Cruisers Bicycles,2018,899.99
Electra,Cruisers Bicycles,2018,899.99
Electra,Cruisers Bicycles,2018,899.99
Electra,Cruisers Bicycles,2018,1259.9
Electra,Cruisers Bicycles,2018,1199.99
Electra,Cruisers Bicycles,2018,799.99
Electra,Cruisers Bicycles,2018,899.99
Trek,Children Bicycles,2018,249.99
Strider,Children Bicycles,2018,89.99
Strider,Children Bicycles,2018,249.99
Strider,Children Bicycles,2018,289.99
Trek,Children Bicycles,2018,399.99
Trek,Children Bicycles,2018,199.99
Trek,Children Bicycles,2018,159.99
Trek,Children Bicycles,2018,199.99
Trek,Children Bicycles,2018,209.99
Trek,Children Bicycles,2018,209.99
Trek,Children Bicycles,2018,289.99
Trek,Children Bicycles,2018,289.99
Trek,Children Bicycles,2018,229.99
Trek,Children Bicycles,2018,229.99
Trek,Children Bicycles,2018,319.99
Trek,Children Bicycles,2018,369.99
Trek,Children Bicycles,2018,369.99
Trek,Children Bicycles,2018,319.99
Trek,Children Bicycles,2018,489.99
Electra,Children Bicycles,2018,319.99
Electra,Children Bicycles,2018,279.99
Electra,Children Bicycles,2018,319.99
Electra,Children Bicycles,2018,319.99
Electra,Children Bicycles,2018,279.99
Electra,Children Bicycles,2018,279.99
Electra,Children Bicycles,2018,279.99
Electra,Children Bicycles,2018,389.99
Electra,Children Bicycles,2018,319.99
Electra,Children Bicycles,2018,369.99
Electra,Children Bicycles,2018,319.99
Electra,Children Bicycles,2018,369.99
Electra,Children Bicycles,2018,319.99
Electra,Children Bicycles,2018,369.99
Electra,Children Bicycles,2018,319.99
Electra,Children Bicycles,2018,369.99
Electra,Children Bicycles,2018,279.99
Electra,Children Bicycles,2018,279.99
Electra,Comfort Bicycles,2018,559.99
Electra,Comfort Bicycles,2018,799.99
Electra,Comfort Bicycles,2018,899.99
Electra,Comfort Bicycles,2018,449.99
Electra,Comfort Bicycles,2018,2599.99
Electra,Comfort Bicycles,2018,679.99
Electra,Comfort Bicycles,2018,749.99
Electra,Comfort Bicycles,2018,899.99
Electra,Comfort Bicycles,2018,749.99
Electra,Comfort Bicycles,2018,749.99
Electra,Comfort Bicycles,2018,899.99
Electra,Comfort Bicycles,2018,899.99
Electra,Comfort Bicycles,2018,749.99
Electra,Comfort Bicycles,2018,699.99
Electra,Comfort Bicycles,2018,449.99
Electra,Comfort Bicycles,2018,679.99
Electra,Comfort Bicycles,2018,559.99
