Country,Processing method,Species,Year,Total Rating
Ethiopia,Natural / Dry,Arabica,2013,87.08
Ethiopia,Natural / Dry,Arabica,2013,84.0
Ethiopia,Natural / Dry,Arabica,2014,89.0
Ethiopia,Natural / Dry,Arabica,2014,88.25
Ethiopia,Natural / Dry,Arabica,2014,88.08
Ethiopia,Natural / Dry,Arabica,2014,87.25
Ethiopia,Natural / Dry,Arabica,2014,86.25
Ethiopia,Natural / Dry,Arabica,2014,85.08
Ethiopia,Natural / Dry,Arabica,2014,84.17
Ethiopia,Natural / Dry,Arabica,2014,83.83
Ethiopia,Natural / Dry,Arabica,2014,83.5
Ethiopia,Natural / Dry,Arabica,2015,85.5
Ethiopia,Natural / Dry,Arabica,2016,85.08
Ethiopia,Natural / Dry,Arabica,2016,81.08
Ethiopia,Natural / Dry,Arabica,2017,85.75
Ethiopia,Natural / Dry,Arabica,2017,84.0
Indonesia,Natural / Dry,Arabica,2017,84.13
Thailand,Natural / Dry,Arabica,2015,83.92
Colombia,Natural / Dry,Arabica,2012,85.08
Colombia,Natural / Dry,Arabica,2012,83.58
Colombia,Natural / Dry,Arabica,2012,83.0
Colombia,Natural / Dry,Arabica,2012,82.42
Colombia,Natural / Dry,Arabica,2012,82.33
Colombia,Natural / Dry,Arabica,2013,83.33
Colombia,Natural / Dry,Arabica,2013,83.0
Colombia,Natural / Dry,Arabica,2013,83.0
Colombia,Natural / Dry,Arabica,2013,82.92
Colombia,Natural / Dry,Arabica,2013,82.83
Colombia,Natural / Dry,Arabica,2013,72.83
Colombia,Natural / Dry,Arabica,2015,85.08
Colombia,Natural / Dry,Arabica,2015,84.33
Colombia,Natural / Dry,Arabica,2015,84.25
Colombia,Natural / Dry,Arabica,2015,83.42
Colombia,Natural / Dry,Arabica,2016,83.5
Mexico,Natural / Dry,Arabica,2012,83.83
Mexico,Natural / Dry,Arabica,2012,83.83
Mexico,Natural / Dry,Arabica,2012,83.75
Mexico,Natural / Dry,Arabica,2012,83.5
Mexico,Natural / Dry,Arabica,2012,82.92
Mexico,Natural / Dry,Arabica,2012,82.75
Mexico,Natural / Dry,Arabica,2012,82.33
Mexico,Natural / Dry,Arabica,2012,81.58
Mexico,Natural / Dry,Arabica,2012,81.58
Mexico,Natural / Dry,Arabica,2012,81.5
Mexico,Natural / Dry,Arabica,2012,81.17
Mexico,Natural / Dry,Arabica,2012,79.92
Mexico,Natural / Dry,Arabica,2014,82.67
Uganda,Natural / Dry,Arabica,2012,84.25
Uganda,Natural / Dry,Arabica,2013,85.92
Uganda,Natural / Dry,Arabica,2013,84.83
Uganda,Natural / Dry,Arabica,2013,83.75
Uganda,Natural / Dry,Arabica,2013,82.58
Uganda,Natural / Dry,Arabica,2013,81.0
Uganda,Natural / Dry,Arabica,2015,83.0
Guatemala,Natural / Dry,Arabica,2012,84.17
Guatemala,Natural / Dry,Arabica,2012,83.67
Guatemala,Natural / Dry,Arabica,2012,82.58
Guatemala,Natural / Dry,Arabica,2012,82.5
Guatemala,Natural / Dry,Arabica,2012,82.0
Guatemala,Natural / Dry,Arabica,2013,83.42
Guatemala,Natural / Dry,Arabica,2014,85.33
Guatemala,Natural / Dry,Arabica,2014,84.0
Guatemala,Natural / Dry,Arabica,2014,82.92
Guatemala,Natural / Dry,Arabica,2014,80.58
Kenya,Natural / Dry,Arabica,2014,86.08
Kenya,Natural / Dry,Arabica,2014,85.5
Honduras,Natural / Dry,Arabica,2013,83.17
Honduras,Natural / Dry,Arabica,2014,81.83
Honduras,Natural / Dry,Arabica,2014,81.67
Honduras,Natural / Dry,Arabica,2014,81.0
Honduras,Natural / Dry,Arabica,2014,78.0
Honduras,Natural / Dry,Arabica,2014,76.0
Honduras,Natural / Dry,Arabica,2015,81.17
Honduras,Natural / Dry,Arabica,2015,80.75
Honduras,Natural / Dry,Arabica,2015,80.75
Honduras,Natural / Dry,Arabica,2016,80.25
Honduras,Natural / Dry,Arabica,2017,82.75
United States,Washed / Wet,Arabica,2012,83.08
United States,Washed / Wet,Arabica,2012,82.92
United States,Washed / Wet,Arabica,2012,82.75
United States,Washed / Wet,Arabica,2012,82.5
United States,Washed / Wet,Arabica,2012,82.08
United States,Washed / Wet,Arabica,2012,81.67
United States,Washed / Wet,Arabica,2012,81.08
United States,Washed / Wet,Arabica,2012,80.83
United States,Washed / Wet,Arabica,2012,80.33
United States,Washed / Wet,Arabica,2013,83.75
United States,Washed / Wet,Arabica,2013,83.0
United States,Washed / Wet,Arabica,2013,81.08
United States,Washed / Wet,Arabica,2013,79.08
United States,Washed / Wet,Arabica,2014,87.92
United States,Washed / Wet,Arabica,2014,87.92
United States,Washed / Wet,Arabica,2014,87.58
United States,Washed / Wet,Arabica,2014,87.25
United States,Washed / Wet,Arabica,2014,87.08
United States,Washed / Wet,Arabica,2014,86.17
Brazil,Washed / Wet,Arabica,2012,82.33
Brazil,Washed / Wet,Arabica,2014,77.83
Ethiopia,Washed / Wet,Arabica,2014,90.58
Ethiopia,Washed / Wet,Arabica,2014,89.92
Ethiopia,Washed / Wet,Arabica,2014,88.83
Ethiopia,Washed / Wet,Arabica,2014,85.83
Ethiopia,Washed / Wet,Arabica,2014,84.67
Ethiopia,Washed / Wet,Arabica,2014,83.58
Ethiopia,Washed / Wet,Arabica,2015,85.42
Indonesia,Washed / Wet,Arabica,2012,83.67
Indonesia,Washed / Wet,Arabica,2012,81.5
Indonesia,Washed / Wet,Arabica,2016,84.67
Indonesia,Washed / Wet,Arabica,2016,78.17
Indonesia,Washed / Wet,Arabica,2017,82.5
Indonesia,Washed / Wet,Arabica,2017,82.08
Thailand,Washed / Wet,Arabica,2012,86.17
Thailand,Washed / Wet,Arabica,2012,84.0
Thailand,Washed / Wet,Arabica,2012,82.67
Thailand,Washed / Wet,Arabica,2012,81.0
Thailand,Washed / Wet,Arabica,2012,80.0
Thailand,Washed / Wet,Arabica,2013,82.0
Thailand,Washed / Wet,Arabica,2013,79.75
Thailand,Washed / Wet,Arabica,2013,79.67
Thailand,Washed / Wet,Arabica,2014,83.67
Thailand,Washed / Wet,Arabica,2014,83.17
Thailand,Washed / Wet,Arabica,2014,82.58
Thailand,Washed / Wet,Arabica,2014,82.5
Thailand,Washed / Wet,Arabica,2014,82.17
Colombia,Washed / Wet,Arabica,2012,84.92
Colombia,Washed / Wet,Arabica,2012,84.58
Colombia,Washed / Wet,Arabica,2012,84.58
Colombia,Washed / Wet,Arabica,2012,84.17
Colombia,Washed / Wet,Arabica,2012,83.67
Colombia,Washed / Wet,Arabica,2012,83.58
Colombia,Washed / Wet,Arabica,2012,83.5
Colombia,Washed / Wet,Arabica,2012,83.42
Colombia,Washed / Wet,Arabica,2012,83.33
Colombia,Washed / Wet,Arabica,2012,83.25
Colombia,Washed / Wet,Arabica,2012,83.25
Colombia,Washed / Wet,Arabica,2012,83.17
Colombia,Washed / Wet,Arabica,2012,83.17
Colombia,Washed / Wet,Arabica,2012,83.0
Colombia,Washed / Wet,Arabica,2012,83.0
Colombia,Washed / Wet,Arabica,2012,83.0
Colombia,Washed / Wet,Arabica,2012,82.75
Colombia,Washed / Wet,Arabica,2012,82.75
Colombia,Washed / Wet,Arabica,2012,82.67
Colombia,Washed / Wet,Arabica,2012,82.58
Colombia,Washed / Wet,Arabica,2012,82.58
Colombia,Washed / Wet,Arabica,2012,82.5
Colombia,Washed / Wet,Arabica,2012,82.25
Colombia,Washed / Wet,Arabica,2012,82.25
Colombia,Washed / Wet,Arabica,2012,80.25
Colombia,Washed / Wet,Arabica,2013,86.0
Colombia,Washed / Wet,Arabica,2013,85.92
Colombia,Washed / Wet,Arabica,2013,84.58
Colombia,Washed / Wet,Arabica,2013,84.33
Colombia,Washed / Wet,Arabica,2013,84.25
Colombia,Washed / Wet,Arabica,2013,84.0
Colombia,Washed / Wet,Arabica,2013,83.83
Colombia,Washed / Wet,Arabica,2013,83.75
Colombia,Washed / Wet,Arabica,2013,83.75
Colombia,Washed / Wet,Arabica,2013,83.67
Colombia,Washed / Wet,Arabica,2013,83.67
Colombia,Washed / Wet,Arabica,2013,83.5
Colombia,Washed / Wet,Arabica,2013,83.5
Colombia,Washed / Wet,Arabica,2013,83.25
Colombia,Washed / Wet,Arabica,2013,83.0
Colombia,Washed / Wet,Arabica,2013,83.0
Colombia,Washed / Wet,Arabica,2013,82.92
Colombia,Washed / Wet,Arabica,2013,82.92
Colombia,Washed / Wet,Arabica,2013,82.83
Colombia,Washed / Wet,Arabica,2013,82.75
Colombia,Washed / Wet,Arabica,2013,82.58
Colombia,Washed / Wet,Arabica,2013,82.58
Colombia,Washed / Wet,Arabica,2013,82.5
Colombia,Washed / Wet,Arabica,2013,82.42
Colombia,Washed / Wet,Arabica,2013,82.33
Colombia,Washed / Wet,Arabica,2013,82.33
Colombia,Washed / Wet,Arabica,2013,82.17
Colombia,Washed / Wet,Arabica,2013,82.08
Colombia,Washed / Wet,Arabica,2013,82.0
Colombia,Washed / Wet,Arabica,2013,81.83
Colombia,Washed / Wet,Arabica,2013,79.5
Colombia,Washed / Wet,Arabica,2013,79.33
Colombia,Washed / Wet,Arabica,2014,84.42
Colombia,Washed / Wet,Arabica,2014,84.08
Colombia,Washed / Wet,Arabica,2014,84.0
Colombia,Washed / Wet,Arabica,2014,84.0
Colombia,Washed / Wet,Arabica,2014,83.92
Colombia,Washed / Wet,Arabica,2014,83.92
Colombia,Washed / Wet,Arabica,2014,83.75
Colombia,Washed / Wet,Arabica,2014,83.75
Colombia,Washed / Wet,Arabica,2014,83.5
Colombia,Washed / Wet,Arabica,2014,83.5
Colombia,Washed / Wet,Arabica,2014,83.17
Colombia,Washed / Wet,Arabica,2014,83.17
Colombia,Washed / Wet,Arabica,2014,82.83
Colombia,Washed / Wet,Arabica,2014,82.75
Colombia,Washed / Wet,Arabica,2014,82.75
Colombia,Washed / Wet,Arabica,2015,85.25
Colombia,Washed / Wet,Arabica,2015,84.92
Colombia,Washed / Wet,Arabica,2015,84.25
Colombia,Washed / Wet,Arabica,2015,84.25
Colombia,Washed / Wet,Arabica,2015,84.17
Colombia,Washed / Wet,Arabica,2015,83.92
Colombia,Washed / Wet,Arabica,2015,83.58
Colombia,Washed / Wet,Arabica,2015,83.5
Colombia,Washed / Wet,Arabica,2015,83.33
Colombia,Washed / Wet,Arabica,2015,82.67
Colombia,Washed / Wet,Arabica,2015,79.92
Colombia,Washed / Wet,Arabica,2016,85.0
Colombia,Washed / Wet,Arabica,2016,84.92
Colombia,Washed / Wet,Arabica,2016,84.58
Colombia,Washed / Wet,Arabica,2016,84.58
Colombia,Washed / Wet,Arabica,2016,84.17
Colombia,Washed / Wet,Arabica,2016,83.75
Colombia,Washed / Wet,Arabica,2016,83.58
Colombia,Washed / Wet,Arabica,2016,83.5
Colombia,Washed / Wet,Arabica,2016,83.42
Colombia,Washed / Wet,Arabica,2016,83.33
Colombia,Washed / Wet,Arabica,2016,83.33
Colombia,Washed / Wet,Arabica,2016,83.33
Colombia,Washed / Wet,Arabica,2016,83.08
Colombia,Washed / Wet,Arabica,2016,83.08
Colombia,Washed / Wet,Arabica,2016,82.42
Colombia,Washed / Wet,Arabica,2016,81.33
Colombia,Washed / Wet,Arabica,2016,81.0
Colombia,Washed / Wet,Arabica,2017,83.75
Colombia,Washed / Wet,Arabica,2017,82.92
Mexico,Washed / Wet,Arabica,2012,87.17
Mexico,Washed / Wet,Arabica,2012,84.67
Mexico,Washed / Wet,Arabica,2012,84.5
Mexico,Washed / Wet,Arabica,2012,84.5
Mexico,Washed / Wet,Arabica,2012,84.42
Mexico,Washed / Wet,Arabica,2012,84.33
Mexico,Washed / Wet,Arabica,2012,84.25
Mexico,Washed / Wet,Arabica,2012,84.25
Mexico,Washed / Wet,Arabica,2012,84.08
Mexico,Washed / Wet,Arabica,2012,83.92
Mexico,Washed / Wet,Arabica,2012,83.92
Mexico,Washed / Wet,Arabica,2012,83.92
Mexico,Washed / Wet,Arabica,2012,83.67
Mexico,Washed / Wet,Arabica,2012,83.58
Mexico,Washed / Wet,Arabica,2012,83.5
Mexico,Washed / Wet,Arabica,2012,83.25
Mexico,Washed / Wet,Arabica,2012,83.17
Mexico,Washed / Wet,Arabica,2012,83.17
Mexico,Washed / Wet,Arabica,2012,83.17
Mexico,Washed / Wet,Arabica,2012,83.17
Mexico,Washed / Wet,Arabica,2012,83.08
Mexico,Washed / Wet,Arabica,2012,83.0
Mexico,Washed / Wet,Arabica,2012,83.0
Mexico,Washed / Wet,Arabica,2012,82.92
Mexico,Washed / Wet,Arabica,2012,82.83
Mexico,Washed / Wet,Arabica,2012,82.83
Mexico,Washed / Wet,Arabica,2012,82.83
Mexico,Washed / Wet,Arabica,2012,82.75
Mexico,Washed / Wet,Arabica,2012,82.67
Mexico,Washed / Wet,Arabica,2012,82.67
Mexico,Washed / Wet,Arabica,2012,82.58
Mexico,Washed / Wet,Arabica,2012,82.58
Mexico,Washed / Wet,Arabica,2012,82.5
Mexico,Washed / Wet,Arabica,2012,82.5
Mexico,Washed / Wet,Arabica,2012,82.42
Mexico,Washed / Wet,Arabica,2012,82.42
Mexico,Washed / Wet,Arabica,2012,82.42
Mexico,Washed / Wet,Arabica,2012,82.42
Mexico,Washed / Wet,Arabica,2012,82.42
Mexico,Washed / Wet,Arabica,2012,82.42
Mexico,Washed / Wet,Arabica,2012,82.33
Mexico,Washed / Wet,Arabica,2012,82.33
Mexico,Washed / Wet,Arabica,2012,82.25
Mexico,Washed / Wet,Arabica,2012,82.25
Mexico,Washed / Wet,Arabica,2012,82.25
Mexico,Washed / Wet,Arabica,2012,82.25
Mexico,Washed / Wet,Arabica,2012,82.25
Mexico,Washed / Wet,Arabica,2012,82.17
Mexico,Washed / Wet,Arabica,2012,82.17
Mexico,Washed / Wet,Arabica,2012,82.17
Mexico,Washed / Wet,Arabica,2012,82.08
Mexico,Washed / Wet,Arabica,2012,82.08
Mexico,Washed / Wet,Arabica,2012,82.08
Mexico,Washed / Wet,Arabica,2012,82.0
Mexico,Washed / Wet,Arabica,2012,81.92
Mexico,Washed / Wet,Arabica,2012,81.92
Mexico,Washed / Wet,Arabica,2012,81.83
Mexico,Washed / Wet,Arabica,2012,81.75
Mexico,Washed / Wet,Arabica,2012,81.75
Mexico,Washed / Wet,Arabica,2012,81.75
Mexico,Washed / Wet,Arabica,2012,81.75
Mexico,Washed / Wet,Arabica,2012,81.75
Mexico,Washed / Wet,Arabica,2012,81.67
Mexico,Washed / Wet,Arabica,2012,81.67
Mexico,Washed / Wet,Arabica,2012,81.67
Mexico,Washed / Wet,Arabica,2012,81.67
Mexico,Washed / Wet,Arabica,2012,81.5
Mexico,Washed / Wet,Arabica,2012,81.5
Mexico,Washed / Wet,Arabica,2012,81.5
Mexico,Washed / Wet,Arabica,2012,81.42
Mexico,Washed / Wet,Arabica,2012,81.42
Mexico,Washed / Wet,Arabica,2012,81.33
Mexico,Washed / Wet,Arabica,2012,81.33
Mexico,Washed / Wet,Arabica,2012,81.25
Mexico,Washed / Wet,Arabica,2012,81.08
Mexico,Washed / Wet,Arabica,2012,81.08
Mexico,Washed / Wet,Arabica,2012,81.08
Mexico,Washed / Wet,Arabica,2012,81.08
Mexico,Washed / Wet,Arabica,2012,81.0
Mexico,Washed / Wet,Arabica,2012,81.0
Mexico,Washed / Wet,Arabica,2012,80.92
Mexico,Washed / Wet,Arabica,2012,80.83
Mexico,Washed / Wet,Arabica,2012,80.75
Mexico,Washed / Wet,Arabica,2012,80.5
Mexico,Washed / Wet,Arabica,2012,80.42
Mexico,Washed / Wet,Arabica,2012,80.42
Mexico,Washed / Wet,Arabica,2012,80.25
Mexico,Washed / Wet,Arabica,2012,80.17
Mexico,Washed / Wet,Arabica,2012,80.17
Mexico,Washed / Wet,Arabica,2012,80.08
Mexico,Washed / Wet,Arabica,2012,80.08
Mexico,Washed / Wet,Arabica,2012,80.0
Mexico,Washed / Wet,Arabica,2012,80.0
Mexico,Washed / Wet,Arabica,2012,79.92
Mexico,Washed / Wet,Arabica,2012,79.92
Mexico,Washed / Wet,Arabica,2012,79.92
Mexico,Washed / Wet,Arabica,2012,79.83
Mexico,Washed / Wet,Arabica,2012,79.75
Mexico,Washed / Wet,Arabica,2012,79.75
Mexico,Washed / Wet,Arabica,2012,79.75
Mexico,Washed / Wet,Arabica,2012,79.67
Mexico,Washed / Wet,Arabica,2012,79.67
Mexico,Washed / Wet,Arabica,2012,79.58
Mexico,Washed / Wet,Arabica,2012,79.58
Mexico,Washed / Wet,Arabica,2012,79.5
Mexico,Washed / Wet,Arabica,2012,79.5
Mexico,Washed / Wet,Arabica,2012,79.33
Mexico,Washed / Wet,Arabica,2012,79.33
Mexico,Washed / Wet,Arabica,2012,79.25
Mexico,Washed / Wet,Arabica,2012,79.17
Mexico,Washed / Wet,Arabica,2012,79.17
Mexico,Washed / Wet,Arabica,2012,79.08
Mexico,Washed / Wet,Arabica,2012,79.08
Mexico,Washed / Wet,Arabica,2012,78.92
Mexico,Washed / Wet,Arabica,2012,78.75
Mexico,Washed / Wet,Arabica,2012,78.75
Mexico,Washed / Wet,Arabica,2012,78.67
Mexico,Washed / Wet,Arabica,2012,78.58
Mexico,Washed / Wet,Arabica,2012,78.58
Mexico,Washed / Wet,Arabica,2012,78.5
Mexico,Washed / Wet,Arabica,2012,78.42
Mexico,Washed / Wet,Arabica,2012,78.08
Mexico,Washed / Wet,Arabica,2012,78.0
Mexico,Washed / Wet,Arabica,2012,77.92
Mexico,Washed / Wet,Arabica,2012,77.5
Mexico,Washed / Wet,Arabica,2012,77.33
Mexico,Washed / Wet,Arabica,2012,77.17
Mexico,Washed / Wet,Arabica,2012,76.42
Mexico,Washed / Wet,Arabica,2012,76.17
Mexico,Washed / Wet,Arabica,2012,75.17
Mexico,Washed / Wet,Arabica,2012,75.17
Mexico,Washed / Wet,Arabica,2012,75.17
Mexico,Washed / Wet,Arabica,2012,75.0
Mexico,Washed / Wet,Arabica,2012,74.92
Mexico,Washed / Wet,Arabica,2012,74.83
Mexico,Washed / Wet,Arabica,2012,74.33
Mexico,Washed / Wet,Arabica,2012,74.0
Mexico,Washed / Wet,Arabica,2012,73.83
Mexico,Washed / Wet,Arabica,2012,71.08
Mexico,Washed / Wet,Arabica,2012,71.0
Mexico,Washed / Wet,Arabica,2012,68.33
Mexico,Washed / Wet,Arabica,2013,83.25
Mexico,Washed / Wet,Arabica,2013,83.17
Mexico,Washed / Wet,Arabica,2013,82.75
Mexico,Washed / Wet,Arabica,2013,82.5
Mexico,Washed / Wet,Arabica,2013,82.42
Mexico,Washed / Wet,Arabica,2013,82.42
Mexico,Washed / Wet,Arabica,2013,82.33
Mexico,Washed / Wet,Arabica,2013,82.25
Mexico,Washed / Wet,Arabica,2013,82.17
Mexico,Washed / Wet,Arabica,2013,81.92
Mexico,Washed / Wet,Arabica,2013,81.67
Mexico,Washed / Wet,Arabica,2013,81.58
Mexico,Washed / Wet,Arabica,2013,81.5
Mexico,Washed / Wet,Arabica,2013,79.92
Mexico,Washed / Wet,Arabica,2013,79.75
Mexico,Washed / Wet,Arabica,2013,79.75
Mexico,Washed / Wet,Arabica,2013,79.75
Mexico,Washed / Wet,Arabica,2013,79.67
Mexico,Washed / Wet,Arabica,2013,78.92
Mexico,Washed / Wet,Arabica,2013,74.67
Mexico,Washed / Wet,Arabica,2014,82.58
Mexico,Washed / Wet,Arabica,2014,82.42
Mexico,Washed / Wet,Arabica,2014,82.33
Mexico,Washed / Wet,Arabica,2014,81.83
Mexico,Washed / Wet,Arabica,2014,81.67
Mexico,Washed / Wet,Arabica,2014,81.42
Mexico,Washed / Wet,Arabica,2014,80.67
Mexico,Washed / Wet,Arabica,2014,80.0
Mexico,Washed / Wet,Arabica,2014,72.92
Mexico,Washed / Wet,Arabica,2014,70.75
Mexico,Washed / Wet,Arabica,2015,82.92
Mexico,Washed / Wet,Arabica,2015,81.83
Mexico,Washed / Wet,Arabica,2016,80.25
Mexico,Washed / Wet,Arabica,2017,83.92
Mexico,Washed / Wet,Arabica,2017,83.25
Mexico,Washed / Wet,Arabica,2017,81.42
Mexico,Washed / Wet,Arabica,2017,80.92
Uganda,Washed / Wet,Arabica,2012,86.0
Uganda,Washed / Wet,Arabica,2012,84.67
Uganda,Washed / Wet,Arabica,2012,84.17
Uganda,Washed / Wet,Arabica,2012,84.0
Uganda,Washed / Wet,Arabica,2013,86.83
Uganda,Washed / Wet,Arabica,2013,85.5
Uganda,Washed / Wet,Arabica,2013,85.42
Uganda,Washed / Wet,Arabica,2013,83.58
Uganda,Washed / Wet,Arabica,2013,83.0
Uganda,Washed / Wet,Arabica,2013,82.92
Uganda,Washed / Wet,Arabica,2013,82.92
Uganda,Washed / Wet,Arabica,2013,82.67
Uganda,Washed / Wet,Arabica,2014,83.17
Uganda,Washed / Wet,Arabica,2015,83.42
Uganda,Washed / Wet,Arabica,2015,83.25
Uganda,Washed / Wet,Arabica,2015,83.0
Uganda,Washed / Wet,Arabica,2016,85.0
Uganda,Washed / Wet,Arabica,2016,84.5
Guatemala,Washed / Wet,Arabica,2012,85.83
Guatemala,Washed / Wet,Arabica,2012,85.83
Guatemala,Washed / Wet,Arabica,2012,85.17
Guatemala,Washed / Wet,Arabica,2012,84.67
Guatemala,Washed / Wet,Arabica,2012,84.67
Guatemala,Washed / Wet,Arabica,2012,84.5
Guatemala,Washed / Wet,Arabica,2012,83.75
Guatemala,Washed / Wet,Arabica,2012,83.67
Guatemala,Washed / Wet,Arabica,2012,83.67
Guatemala,Washed / Wet,Arabica,2012,83.5
Guatemala,Washed / Wet,Arabica,2012,83.5
Guatemala,Washed / Wet,Arabica,2012,83.25
Guatemala,Washed / Wet,Arabica,2012,83.17
Guatemala,Washed / Wet,Arabica,2012,83.0
Guatemala,Washed / Wet,Arabica,2012,82.92
Guatemala,Washed / Wet,Arabica,2012,82.83
Guatemala,Washed / Wet,Arabica,2012,82.67
Guatemala,Washed / Wet,Arabica,2012,82.33
Guatemala,Washed / Wet,Arabica,2012,82.33
Guatemala,Washed / Wet,Arabica,2012,82.17
Guatemala,Washed / Wet,Arabica,2012,82.0
Guatemala,Washed / Wet,Arabica,2012,81.67
Guatemala,Washed / Wet,Arabica,2012,81.5
Guatemala,Washed / Wet,Arabica,2012,81.17
Guatemala,Washed / Wet,Arabica,2012,80.67
Guatemala,Washed / Wet,Arabica,2012,80.67
Guatemala,Washed / Wet,Arabica,2012,80.25
Guatemala,Washed / Wet,Arabica,2012,80.17
Guatemala,Washed / Wet,Arabica,2012,79.75
Guatemala,Washed / Wet,Arabica,2012,79.33
Guatemala,Washed / Wet,Arabica,2012,78.33
Guatemala,Washed / Wet,Arabica,2012,78.33
Guatemala,Washed / Wet,Arabica,2012,77.92
Guatemala,Washed / Wet,Arabica,2012,76.33
Guatemala,Washed / Wet,Arabica,2012,75.58
Guatemala,Washed / Wet,Arabica,2012,75.58
Guatemala,Washed / Wet,Arabica,2012,74.75
Guatemala,Washed / Wet,Arabica,2012,74.75
Guatemala,Washed / Wet,Arabica,2012,59.83
Guatemala,Washed / Wet,Arabica,2013,85.5
Guatemala,Washed / Wet,Arabica,2013,84.5
Guatemala,Washed / Wet,Arabica,2013,84.17
Guatemala,Washed / Wet,Arabica,2013,84.17
Guatemala,Washed / Wet,Arabica,2013,83.83
Guatemala,Washed / Wet,Arabica,2013,83.67
Guatemala,Washed / Wet,Arabica,2013,83.67
Guatemala,Washed / Wet,Arabica,2013,83.5
Guatemala,Washed / Wet,Arabica,2013,83.42
Guatemala,Washed / Wet,Arabica,2013,83.33
Guatemala,Washed / Wet,Arabica,2013,83.17
Guatemala,Washed / Wet,Arabica,2013,82.92
Guatemala,Washed / Wet,Arabica,2013,82.5
Guatemala,Washed / Wet,Arabica,2013,82.5
Guatemala,Washed / Wet,Arabica,2013,82.42
Guatemala,Washed / Wet,Arabica,2013,82.33
Guatemala,Washed / Wet,Arabica,2013,81.83
Guatemala,Washed / Wet,Arabica,2013,81.58
Guatemala,Washed / Wet,Arabica,2013,81.42
Guatemala,Washed / Wet,Arabica,2013,81.25
Guatemala,Washed / Wet,Arabica,2013,80.83
Guatemala,Washed / Wet,Arabica,2013,80.67
Guatemala,Washed / Wet,Arabica,2013,80.5
Guatemala,Washed / Wet,Arabica,2013,80.33
Guatemala,Washed / Wet,Arabica,2013,80.17
Guatemala,Washed / Wet,Arabica,2013,79.67
