Product,Product Line,Market Size,State,Profit,Sales
Colombian,Beans,Major Market,Colorado,62,141
Colombian,Beans,Major Market,Colorado,40,96
Colombian,Beans,Major Market,Colorado,40,98
Colombian,Beans,Major Market,Colorado,43,106
Green Tea,Leaves,Major Market,Colorado,30,100
Green Tea,Leaves,Major Market,Colorado,30,100
Green Tea,Leaves,Major Market,Colorado,29,98
Green Tea,Leaves,Major Market,Colorado,32,106
Green Tea,Leaves,Major Market,Colorado,30,99
Green Tea,Leaves,Major Market,Colorado,29,99
Green Tea,Leaves,Major Market,Colorado,27,94
Green Tea,Leaves,Major Market,Colorado,53,155
Green Tea,Leaves,Major Market,Colorado,47,140
Green Tea,Leaves,Major Market,Colorado,74,205
Green Tea,Leaves,Major Market,Colorado,70,200
Green Tea,Leaves,Major Market,Colorado,66,185
Green Tea,Leaves,Major Market,Colorado,47,112
Green Tea,Leaves,Major Market,Colorado,45,107
Green Tea,Leaves,Major Market,Colorado,43,104
Green Tea,Leaves,Major Market,Colorado,47,113
Green Tea,Leaves,Major Market,Colorado,41,98
Green Tea,Leaves,Major Market,Colorado,40,98
Green Tea,Leaves,Major Market,Colorado,37,93
Green Tea,Leaves,Major Market,Colorado,73,154
Green Tea,Leaves,Major Market,Colorado,70,149
Green Tea,Leaves,Major Market,Colorado,110,218
Green Tea,Leaves,Major Market,Colorado,104,213
Green Tea,Leaves,Major Market,Colorado,98,197
Caffe Mocha,Beans,Major Market,Colorado,54,134
Caffe Mocha,Beans,Major Market,Colorado,80,189
Caffe Mocha,Beans,Major Market,Colorado,84,198
Caffe Mocha,Beans,Major Market,Colorado,84,198
Caffe Mocha,Beans,Major Market,Colorado,88,210
Caffe Mocha,Beans,Major Market,Colorado,99,230
Caffe Mocha,Beans,Major Market,Colorado,98,230
Caffe Mocha,Beans,Major Market,Colorado,105,245
Caffe Mocha,Beans,Major Market,Colorado,84,199
Caffe Mocha,Beans,Major Market,Colorado,79,187
Caffe Mocha,Beans,Major Market,Colorado,48,123
Caffe Mocha,Beans,Major Market,Colorado,53,133
Caffe Mocha,Beans,Major Market,Colorado,84,150
Caffe Mocha,Beans,Major Market,Colorado,119,201
Caffe Mocha,Beans,Major Market,Colorado,125,211
Caffe Mocha,Beans,Major Market,Colorado,125,211
Caffe Mocha,Beans,Major Market,Colorado,121,208
Caffe Mocha,Beans,Major Market,Colorado,137,228
Caffe Mocha,Beans,Major Market,Colorado,135,228
Caffe Mocha,Beans,Major Market,Colorado,145,243
Caffe Mocha,Beans,Major Market,Colorado,125,212
Caffe Mocha,Beans,Major Market,Colorado,117,199
Caffe Mocha,Beans,Major Market,Colorado,71,131
Caffe Mocha,Beans,Major Market,Colorado,79,142
Decaf Espresso,Beans,Major Market,Colorado,53,180
Decaf Espresso,Beans,Major Market,Colorado,59,189
Decaf Espresso,Beans,Major Market,Colorado,54,180
Decaf Espresso,Beans,Major Market,Colorado,48,170
Decaf Espresso,Beans,Major Market,Colorado,44,160
Decaf Espresso,Beans,Major Market,Colorado,33,135
Decaf Espresso,Beans,Major Market,Colorado,31,131
Decaf Espresso,Beans,Major Market,Colorado,30,131
Decaf Espresso,Beans,Major Market,Colorado,39,150
Decaf Espresso,Beans,Major Market,Colorado,56,182
Decaf Espresso,Beans,Major Market,Colorado,58,189
Decaf Espresso,Beans,Major Market,Colorado,47,168
Decaf Espresso,Beans,Major Market,Colorado,83,201
Decaf Espresso,Beans,Major Market,Colorado,88,201
Decaf Espresso,Beans,Major Market,Colorado,80,192
Decaf Espresso,Beans,Major Market,Colorado,71,181
Decaf Espresso,Beans,Major Market,Colorado,61,159
Decaf Espresso,Beans,Major Market,Colorado,46,134
Decaf Espresso,Beans,Major Market,Colorado,43,130
Decaf Espresso,Beans,Major Market,Colorado,41,130
Decaf Espresso,Beans,Major Market,Colorado,58,160
Decaf Espresso,Beans,Major Market,Colorado,83,194
Decaf Espresso,Beans,Major Market,Colorado,86,201
Decaf Espresso,Beans,Major Market,Colorado,70,179
Chamomile,Leaves,Major Market,Colorado,99,341
Chamomile,Leaves,Major Market,Colorado,99,340
Chamomile,Leaves,Major Market,Colorado,94,325
Chamomile,Leaves,Major Market,Colorado,94,325
Chamomile,Leaves,Major Market,Colorado,83,298
Chamomile,Leaves,Major Market,Colorado,83,298
Chamomile,Leaves,Major Market,Colorado,81,291
Chamomile,Leaves,Major Market,Colorado,82,291
Chamomile,Leaves,Major Market,Colorado,87,310
Chamomile,Leaves,Major Market,Colorado,92,322
Chamomile,Leaves,Major Market,Colorado,107,363
Chamomile,Leaves,Major Market,Colorado,87,306
Chamomile,Leaves,Major Market,Colorado,154,382
Chamomile,Leaves,Major Market,Colorado,147,362
Chamomile,Leaves,Major Market,Colorado,140,346
Chamomile,Leaves,Major Market,Colorado,140,346
Chamomile,Leaves,Major Market,Colorado,115,295
Chamomile,Leaves,Major Market,Colorado,115,295
Chamomile,Leaves,Major Market,Colorado,112,288
Chamomile,Leaves,Major Market,Colorado,113,288
Chamomile,Leaves,Major Market,Colorado,129,330
Chamomile,Leaves,Major Market,Colorado,137,343
Chamomile,Leaves,Major Market,Colorado,159,387
Chamomile,Leaves,Major Market,Colorado,129,326
Lemon,Leaves,Major Market,Colorado,0,150
Lemon,Leaves,Major Market,Colorado,-3,129
Lemon,Leaves,Major Market,Colorado,-4,125
Lemon,Leaves,Major Market,Colorado,-4,125
Lemon,Leaves,Major Market,Colorado,-3,128
Lemon,Leaves,Major Market,Colorado,-7,107
Lemon,Leaves,Major Market,Colorado,-10,95
Lemon,Leaves,Major Market,Colorado,-10,89
Lemon,Leaves,Major Market,Colorado,-2,126
Lemon,Leaves,Major Market,Colorado,-5,122
Lemon,Leaves,Major Market,Colorado,-4,125
Lemon,Leaves,Major Market,Colorado,-6,112
Lemon,Leaves,Major Market,Colorado,0,168
Lemon,Leaves,Major Market,Colorado,-4,137
Lemon,Leaves,Major Market,Colorado,-6,133
Lemon,Leaves,Major Market,Colorado,-6,133
Lemon,Leaves,Major Market,Colorado,-4,127
Lemon,Leaves,Major Market,Colorado,-10,106
Lemon,Leaves,Major Market,Colorado,-14,94
Lemon,Leaves,Major Market,Colorado,-14,88
Lemon,Leaves,Major Market,Colorado,-3,134
Lemon,Leaves,Major Market,Colorado,-7,130
Lemon,Leaves,Major Market,Colorado,-6,133
Lemon,Leaves,Major Market,Colorado,-9,119
Mint,Leaves,Major Market,Colorado,33,140
Mint,Leaves,Major Market,Colorado,33,140
Mint,Leaves,Major Market,Colorado,31,134
Mint,Leaves,Major Market,Colorado,29,129
Mint,Leaves,Major Market,Colorado,26,123
Mint,Leaves,Major Market,Colorado,24,118
Mint,Leaves,Major Market,Colorado,21,110
Mint,Leaves,Major Market,Colorado,20,108
Mint,Leaves,Major Market,Colorado,27,125
Mint,Leaves,Major Market,Colorado,26,123
Mint,Leaves,Major Market,Colorado,32,138
Mint,Leaves,Major Market,Colorado,29,127
Mint,Leaves,Major Market,Colorado,51,157
Mint,Leaves,Major Market,Colorado,49,149
Mint,Leaves,Major Market,Colorado,46,143
Mint,Leaves,Major Market,Colorado,43,137
Mint,Leaves,Major Market,Colorado,36,122
Mint,Leaves,Major Market,Colorado,33,117
Mint,Leaves,Major Market,Colorado,29,109
Mint,Leaves,Major Market,Colorado,28,107
Mint,Leaves,Major Market,Colorado,40,133
Mint,Leaves,Major Market,Colorado,39,131
Mint,Leaves,Major Market,Colorado,47,147
Mint,Leaves,Major Market,Colorado,43,135
Earl Grey,Leaves,Major Market,Colorado,36,140
Earl Grey,Leaves,Major Market,Colorado,34,136
Earl Grey,Leaves,Major Market,Colorado,32,135
Earl Grey,Leaves,Major Market,Colorado,34,138
Earl Grey,Leaves,Major Market,Colorado,27,122
Earl Grey,Leaves,Major Market,Colorado,27,117
Earl Grey,Leaves,Major Market,Colorado,23,109
Earl Grey,Leaves,Major Market,Colorado,16,91
Earl Grey,Leaves,Major Market,Colorado,25,113
Earl Grey,Leaves,Major Market,Colorado,27,118
Earl Grey,Leaves,Major Market,Colorado,29,125
Earl Grey,Leaves,Major Market,Colorado,26,116
Earl Grey,Leaves,Major Market,Colorado,56,157
Earl Grey,Leaves,Major Market,Colorado,50,145
Earl Grey,Leaves,Major Market,Colorado,47,144
Earl Grey,Leaves,Major Market,Colorado,50,147
Earl Grey,Leaves,Major Market,Colorado,37,121
Earl Grey,Leaves,Major Market,Colorado,37,116
Earl Grey,Leaves,Major Market,Colorado,32,108
Earl Grey,Leaves,Major Market,Colorado,22,90
Earl Grey,Leaves,Major Market,Colorado,37,120
Earl Grey,Leaves,Major Market,Colorado,40,126
Earl Grey,Leaves,Major Market,Colorado,43,133
Earl Grey,Leaves,Major Market,Colorado,39,124
Amaretto,Beans,Small Market,Iowa,11,45
Amaretto,Beans,Small Market,Iowa,10,45
Amaretto,Beans,Small Market,Iowa,10,45
Amaretto,Beans,Small Market,Iowa,11,47
Amaretto,Beans,Small Market,Iowa,12,49
Amaretto,Beans,Small Market,Iowa,18,58
Amaretto,Beans,Small Market,Iowa,17,61
Amaretto,Beans,Small Market,Iowa,19,63
Amaretto,Beans,Small Market,Iowa,13,48
Amaretto,Beans,Small Market,Iowa,15,52
Amaretto,Beans,Small Market,Iowa,8,39
Amaretto,Beans,Small Market,Iowa,10,41
Amaretto,Beans,Small Market,Iowa,17,50
Amaretto,Beans,Small Market,Iowa,15,48
Amaretto,Beans,Small Market,Iowa,15,48
Amaretto,Beans,Small Market,Iowa,16,50
Amaretto,Beans,Small Market,Iowa,17,49
Amaretto,Beans,Small Market,Iowa,25,57
Amaretto,Beans,Small Market,Iowa,23,60
Amaretto,Beans,Small Market,Iowa,26,62
Amaretto,Beans,Small Market,Iowa,19,51
Amaretto,Beans,Small Market,Iowa,22,55
Amaretto,Beans,Small Market,Iowa,12,42
Amaretto,Beans,Small Market,Iowa,15,44
Colombian,Beans,Small Market,Iowa,5,62
Colombian,Beans,Small Market,Iowa,6,63
Colombian,Beans,Small Market,Iowa,6,63
Colombian,Beans,Small Market,Iowa,3,61
Colombian,Beans,Small Market,Iowa,7,68
Colombian,Beans,Small Market,Iowa,8,70
Colombian,Beans,Small Market,Iowa,9,75
Colombian,Beans,Small Market,Iowa,15,90
Colombian,Beans,Small Market,Iowa,7,72
Colombian,Beans,Small Market,Iowa,7,68
Colombian,Beans,Small Market,Iowa,5,64
Colombian,Beans,Small Market,Iowa,8,69
Colombian,Beans,Small Market,Iowa,8,69
Colombian,Beans,Small Market,Iowa,9,67
Colombian,Beans,Small Market,Iowa,9,67
Colombian,Beans,Small Market,Iowa,4,65
Colombian,Beans,Small Market,Iowa,10,67
Colombian,Beans,Small Market,Iowa,11,69
Colombian,Beans,Small Market,Iowa,12,74
Colombian,Beans,Small Market,Iowa,21,89
Colombian,Beans,Small Market,Iowa,10,77
Colombian,Beans,Small Market,Iowa,10,72
Colombian,Beans,Small Market,Iowa,7,68
Colombian,Beans,Small Market,Iowa,12,74
Caffe Mocha,Beans,Small Market,Iowa,11,43
Caffe Mocha,Beans,Small Market,Iowa,11,47
Caffe Mocha,Beans,Small Market,Iowa,9,41
Caffe Mocha,Beans,Small Market,Iowa,10,43
Caffe Mocha,Beans,Small Market,Iowa,12,49
Caffe Mocha,Beans,Small Market,Iowa,15,53
Caffe Mocha,Beans,Small Market,Iowa,13,49
Caffe Mocha,Beans,Small Market,Iowa,18,58
Caffe Mocha,Beans,Small Market,Iowa,18,58
Caffe Mocha,Beans,Small Market,Iowa,18,58
Caffe Mocha,Beans,Small Market,Iowa,16,56
Caffe Mocha,Beans,Small Market,Iowa,17,58
Caffe Mocha,Beans,Small Market,Iowa,17,48
Caffe Mocha,Beans,Small Market,Iowa,16,50
Caffe Mocha,Beans,Small Market,Iowa,13,44
Caffe Mocha,Beans,Small Market,Iowa,15,46
Caffe Mocha,Beans,Small Market,Iowa,17,49
Caffe Mocha,Beans,Small Market,Iowa,21,53
Caffe Mocha,Beans,Small Market,Iowa,18,49
Caffe Mocha,Beans,Small Market,Iowa,25,57
Caffe Mocha,Beans,Small Market,Iowa,27,62
Caffe Mocha,Beans,Small Market,Iowa,27,62
Caffe Mocha,Beans,Small Market,Iowa,24,60
Caffe Mocha,Beans,Small Market,Iowa,25,62
Decaf Espresso,Beans,Small Market,Iowa,10,43
Decaf Espresso,Beans,Small Market,Iowa,32,43
Decaf Espresso,Beans,Small Market,Iowa,32,43
Decaf Espresso,Beans,Small Market,Iowa,32,43
Decaf Espresso,Beans,Small Market,Iowa,31,43
Decaf Espresso,Beans,Small Market,Iowa,31,43
Decaf Espresso,Beans,Small Market,Iowa,31,43
Decaf Espresso,Beans,Small Market,Iowa,31,43
Decaf Espresso,Beans,Small Market,Iowa,32,43
Decaf Espresso,Beans,Small Market,Iowa,31,43
Decaf Espresso,Beans,Small Market,Iowa,31,43
Decaf Espresso,Beans,Small Market,Iowa,32,43
Decaf Espresso,Beans,Small Market,Iowa,16,48
Decaf Espresso,Beans,Small Market,Iowa,47,46
Decaf Espresso,Beans,Small Market,Iowa,47,46
Decaf Espresso,Beans,Small Market,Iowa,47,46
Decaf Espresso,Beans,Small Market,Iowa,43,43
Decaf Espresso,Beans,Small Market,Iowa,43,43
Decaf Espresso,Beans,Small Market,Iowa,43,43
Decaf Espresso,Beans,Small Market,Iowa,43,43
Decaf Espresso,Beans,Small Market,Iowa,47,46
Decaf Espresso,Beans,Small Market,Iowa,46,46
Decaf Espresso,Beans,Small Market,Iowa,46,46
Decaf Espresso,Beans,Small Market,Iowa,47,46
Chamomile,Leaves,Small Market,Iowa,202,546
Chamomile,Leaves,Small Market,Iowa,201,545
Chamomile,Leaves,Small Market,Iowa,212,567
Chamomile,Leaves,Small Market,Iowa,220,587
Chamomile,Leaves,Small Market,Iowa,231,612
Chamomile,Leaves,Small Market,Iowa,241,634
Chamomile,Leaves,Small Market,Iowa,258,678
Chamomile,Leaves,Small Market,Iowa,262,687
Chamomile,Leaves,Small Market,Iowa,220,589
Chamomile,Leaves,Small Market,Iowa,224,598
Chamomile,Leaves,Small Market,Iowa,196,532
Chamomile,Leaves,Small Market,Iowa,216,576
Chamomile,Leaves,Small Market,Iowa,315,611
Chamomile,Leaves,Small Market,Iowa,298,581
Chamomile,Leaves,Small Market,Iowa,315,604
Chamomile,Leaves,Small Market,Iowa,326,626
Chamomile,Leaves,Small Market,Iowa,319,607
Chamomile,Leaves,Small Market,Iowa,333,628
Chamomile,Leaves,Small Market,Iowa,356,672
Chamomile,Leaves,Small Market,Iowa,362,681
Chamomile,Leaves,Small Market,Iowa,326,628
Chamomile,Leaves,Small Market,Iowa,332,637
Chamomile,Leaves,Small Market,Iowa,291,567
Chamomile,Leaves,Small Market,Iowa,321,614
Lemon,Leaves,Small Market,Iowa,86,234
Lemon,Leaves,Small Market,Iowa,95,254
Lemon,Leaves,Small Market,Iowa,102,267
Lemon,Leaves,Small Market,Iowa,115,301
Lemon,Leaves,Small Market,Iowa,122,312
Lemon,Leaves,Small Market,Iowa,136,345
Lemon,Leaves,Small Market,Iowa,150,376
Lemon,Leaves,Small Market,Iowa,151,376
Lemon,Leaves,Small Market,Iowa,115,298
Lemon,Leaves,Small Market,Iowa,114,298
Lemon,Leaves,Small Market,Iowa,107,278
Lemon,Leaves,Small Market,Iowa,123,312
Lemon,Leaves,Small Market,Iowa,134,262
Lemon,Leaves,Small Market,Iowa,141,271
Lemon,Leaves,Small Market,Iowa,151,285
Lemon,Leaves,Small Market,Iowa,171,321
Lemon,Leaves,Small Market,Iowa,168,309
Lemon,Leaves,Small Market,Iowa,188,342
Lemon,Leaves,Small Market,Iowa,207,373
Lemon,Leaves,Small Market,Iowa,208,373
Lemon,Leaves,Small Market,Iowa,171,318
Lemon,Leaves,Small Market,Iowa,169,318
Lemon,Leaves,Small Market,Iowa,159,296
Lemon,Leaves,Small Market,Iowa,183,332
Earl Grey,Leaves,Small Market,Iowa,175,546
Earl Grey,Leaves,Small Market,Iowa,169,534
Earl Grey,Leaves,Small Market,Iowa,175,546
Earl Grey,Leaves,Small Market,Iowa,186,578
Earl Grey,Leaves,Small Market,Iowa,190,589
Earl Grey,Leaves,Small Market,Iowa,197,603
Earl Grey,Leaves,Small Market,Iowa,197,602
Earl Grey,Leaves,Small Market,Iowa,207,632
Earl Grey,Leaves,Small Market,Iowa,223,672
Earl Grey,Leaves,Small Market,Iowa,183,567
Earl Grey,Leaves,Small Market,Iowa,173,545
Earl Grey,Leaves,Small Market,Iowa,216,654
Earl Grey,Leaves,Small Market,Iowa,273,611
Earl Grey,Leaves,Small Market,Iowa,251,569
Earl Grey,Leaves,Small Market,Iowa,260,582
Earl Grey,Leaves,Small Market,Iowa,276,616
Earl Grey,Leaves,Small Market,Iowa,262,584
Earl Grey,Leaves,Small Market,Iowa,272,598
Earl Grey,Leaves,Small Market,Iowa,272,597
Earl Grey,Leaves,Small Market,Iowa,286,626
Earl Grey,Leaves,Small Market,Iowa,331,716
Earl Grey,Leaves,Small Market,Iowa,272,604
Earl Grey,Leaves,Small Market,Iowa,257,581
Earl Grey,Leaves,Small Market,Iowa,321,697
Amaretto,Beans,Major Market,Ohio,34,140
Amaretto,Beans,Major Market,Ohio,33,140
Amaretto,Beans,Major Market,Ohio,32,134
Amaretto,Beans,Major Market,Ohio,28,129
Amaretto,Beans,Major Market,Ohio,27,123
Amaretto,Beans,Major Market,Ohio,24,118
Amaretto,Beans,Major Market,Ohio,20,110
Amaretto,Beans,Major Market,Ohio,19,108
Amaretto,Beans,Major Market,Ohio,28,125
Amaretto,Beans,Major Market,Ohio,26,123
Amaretto,Beans,Major Market,Ohio,33,138
Amaretto,Beans,Major Market,Ohio,29,127
Amaretto,Beans,Major Market,Ohio,53,157
Amaretto,Beans,Major Market,Ohio,49,149
Amaretto,Beans,Major Market,Ohio,47,143
Amaretto,Beans,Major Market,Ohio,42,137
Amaretto,Beans,Major Market,Ohio,37,122
Amaretto,Beans,Major Market,Ohio,33,117
Amaretto,Beans,Major Market,Ohio,28,109
Amaretto,Beans,Major Market,Ohio,26,107
Amaretto,Beans,Major Market,Ohio,42,133
Amaretto,Beans,Major Market,Ohio,39,131
Amaretto,Beans,Major Market,Ohio,49,147
Amaretto,Beans,Major Market,Ohio,43,135
Colombian,Beans,Major Market,Ohio,42,140
Colombian,Beans,Major Market,Ohio,38,128
Colombian,Beans,Major Market,Ohio,35,121
Colombian,Beans,Major Market,Ohio,27,107
Colombian,Beans,Major Market,Ohio,24,103
Colombian,Beans,Major Market,Ohio,19,93
Colombian,Beans,Major Market,Ohio,18,85
Colombian,Beans,Major Market,Ohio,19,85
Colombian,Beans,Major Market,Ohio,29,107
Colombian,Beans,Major Market,Ohio,28,107
Colombian,Beans,Major Market,Ohio,32,114
Colombian,Beans,Major Market,Ohio,24,101
Colombian,Beans,Major Market,Ohio,65,157
Colombian,Beans,Major Market,Ohio,56,136
Colombian,Beans,Major Market,Ohio,52,129
Colombian,Beans,Major Market,Ohio,40,114
Colombian,Beans,Major Market,Ohio,33,102
Colombian,Beans,Major Market,Ohio,26,92
Colombian,Beans,Major Market,Ohio,25,84
Colombian,Beans,Major Market,Ohio,26,84
Colombian,Beans,Major Market,Ohio,43,114
Colombian,Beans,Major Market,Ohio,42,114
Colombian,Beans,Major Market,Ohio,47,121
Colombian,Beans,Major Market,Ohio,36,108
Caffe Mocha,Beans,Major Market,Ohio,99,341
Caffe Mocha,Beans,Major Market,Ohio,98,340
Caffe Mocha,Beans,Major Market,Ohio,94,325
Caffe Mocha,Beans,Major Market,Ohio,93,325
Caffe Mocha,Beans,Major Market,Ohio,84,298
Caffe Mocha,Beans,Major Market,Ohio,83,298
Caffe Mocha,Beans,Major Market,Ohio,81,291
Caffe Mocha,Beans,Major Market,Ohio,81,291
Caffe Mocha,Beans,Major Market,Ohio,87,310
Caffe Mocha,Beans,Major Market,Ohio,92,322
Caffe Mocha,Beans,Major Market,Ohio,107,363
Caffe Mocha,Beans,Major Market,Ohio,87,306
Caffe Mocha,Beans,Major Market,Ohio,154,382
Caffe Mocha,Beans,Major Market,Ohio,145,362
Caffe Mocha,Beans,Major Market,Ohio,140,346
Caffe Mocha,Beans,Major Market,Ohio,138,346
Caffe Mocha,Beans,Major Market,Ohio,116,295
Caffe Mocha,Beans,Major Market,Ohio,115,295
Caffe Mocha,Beans,Major Market,Ohio,112,288
Caffe Mocha,Beans,Major Market,Ohio,112,288
Caffe Mocha,Beans,Major Market,Ohio,129,330
Caffe Mocha,Beans,Major Market,Ohio,137,343
Caffe Mocha,Beans,Major Market,Ohio,159,387
Caffe Mocha,Beans,Major Market,Ohio,129,326
Decaf Espresso,Beans,Major Market,Ohio,16,130
Decaf Espresso,Beans,Major Market,Ohio,18,132
Decaf Espresso,Beans,Major Market,Ohio,15,129
Decaf Espresso,Beans,Major Market,Ohio,13,121
Decaf Espresso,Beans,Major Market,Ohio,11,118
Decaf Espresso,Beans,Major Market,Ohio,12,115
Decaf Espresso,Beans,Major Market,Ohio,11,115
Decaf Espresso,Beans,Major Market,Ohio,8,109
Decaf Espresso,Beans,Major Market,Ohio,6,102
Decaf Espresso,Beans,Major Market,Ohio,12,120
Decaf Espresso,Beans,Major Market,Ohio,16,124
Decaf Espresso,Beans,Major Market,Ohio,6,103
Decaf Espresso,Beans,Major Market,Ohio,25,145
Decaf Espresso,Beans,Major Market,Ohio,27,141
Decaf Espresso,Beans,Major Market,Ohio,22,137
Decaf Espresso,Beans,Major Market,Ohio,19,129
Decaf Espresso,Beans,Major Market,Ohio,15,117
Decaf Espresso,Beans,Major Market,Ohio,17,114
Decaf Espresso,Beans,Major Market,Ohio,15,114
Decaf Espresso,Beans,Major Market,Ohio,11,108
Decaf Espresso,Beans,Major Market,Ohio,9,109
Decaf Espresso,Beans,Major Market,Ohio,18,128
Decaf Espresso,Beans,Major Market,Ohio,24,132
Decaf Espresso,Beans,Major Market,Ohio,9,110
Chamomile,Leaves,Major Market,Ohio,29,80
Chamomile,Leaves,Major Market,Ohio,17,56
Chamomile,Leaves,Major Market,Ohio,15,53
Chamomile,Leaves,Major Market,Ohio,16,53
Chamomile,Leaves,Major Market,Ohio,12,49
Chamomile,Leaves,Major Market,Ohio,9,44
Chamomile,Leaves,Major Market,Ohio,9,44
Chamomile,Leaves,Major Market,Ohio,9,41
Chamomile,Leaves,Major Market,Ohio,14,50
Chamomile,Leaves,Major Market,Ohio,16,53
Chamomile,Leaves,Major Market,Ohio,29,80
Chamomile,Leaves,Major Market,Ohio,25,73
Chamomile,Leaves,Major Market,Ohio,45,90
Chamomile,Leaves,Major Market,Ohio,25,60
Chamomile,Leaves,Major Market,Ohio,22,56
Chamomile,Leaves,Major Market,Ohio,24,56
Chamomile,Leaves,Major Market,Ohio,17,49
Chamomile,Leaves,Major Market,Ohio,12,44
Chamomile,Leaves,Major Market,Ohio,12,44
Chamomile,Leaves,Major Market,Ohio,12,41
Chamomile,Leaves,Major Market,Ohio,21,53
Chamomile,Leaves,Major Market,Ohio,24,56
Chamomile,Leaves,Major Market,Ohio,43,85
Chamomile,Leaves,Major Market,Ohio,37,78
Lemon,Leaves,Major Market,Ohio,29,80
Lemon,Leaves,Major Market,Ohio,28,80
Lemon,Leaves,Major Market,Ohio,28,79
Lemon,Leaves,Major Market,Ohio,26,75
Lemon,Leaves,Major Market,Ohio,23,71
Lemon,Leaves,Major Market,Ohio,18,60
Lemon,Leaves,Major Market,Ohio,16,57
Lemon,Leaves,Major Market,Ohio,16,55
Lemon,Leaves,Major Market,Ohio,23,72
Lemon,Leaves,Major Market,Ohio,20,66
Lemon,Leaves,Major Market,Ohio,30,88
Lemon,Leaves,Major Market,Ohio,29,82
Lemon,Leaves,Major Market,Ohio,45,90
Lemon,Leaves,Major Market,Ohio,42,85
Lemon,Leaves,Major Market,Ohio,42,84
Lemon,Leaves,Major Market,Ohio,39,80
Lemon,Leaves,Major Market,Ohio,32,70
Lemon,Leaves,Major Market,Ohio,25,59
Lemon,Leaves,Major Market,Ohio,22,56
Lemon,Leaves,Major Market,Ohio,22,55
Lemon,Leaves,Major Market,Ohio,34,77
Lemon,Leaves,Major Market,Ohio,30,70
Lemon,Leaves,Major Market,Ohio,45,94
Lemon,Leaves,Major Market,Ohio,43,87
Earl Grey,Leaves,Major Market,Ohio,67,200
Earl Grey,Leaves,Major Market,Ohio,71,206
Earl Grey,Leaves,Major Market,Ohio,74,214
Earl Grey,Leaves,Major Market,Ohio,97,267
Earl Grey,Leaves,Major Market,Ohio,101,273
Earl Grey,Leaves,Major Market,Ohio,105,282
Earl Grey,Leaves,Major Market,Ohio,128,336
Earl Grey,Leaves,Major Market,Ohio,103,277
Earl Grey,Leaves,Major Market,Ohio,81,230
Earl Grey,Leaves,Major Market,Ohio,76,218
Earl Grey,Leaves,Major Market,Ohio,89,245
Earl Grey,Leaves,Major Market,Ohio,121,320
Earl Grey,Leaves,Major Market,Ohio,104,224
Earl Grey,Leaves,Major Market,Ohio,105,220
Earl Grey,Leaves,Major Market,Ohio,110,228
Earl Grey,Leaves,Major Market,Ohio,144,285
Earl Grey,Leaves,Major Market,Ohio,139,271
Earl Grey,Leaves,Major Market,Ohio,145,279
Earl Grey,Leaves,Major Market,Ohio,177,333
Earl Grey,Leaves,Major Market,Ohio,142,275
Earl Grey,Leaves,Major Market,Ohio,120,245
Earl Grey,Leaves,Major Market,Ohio,113,232
Earl Grey,Leaves,Major Market,Ohio,132,261
Earl Grey,Leaves,Major Market,Ohio,180,341
Amaretto,Beans,Small Market,Utah,47,170
Amaretto,Beans,Small Market,Utah,46,165
Amaretto,Beans,Small Market,Utah,45,163
Amaretto,Beans,Small Market,Utah,47,167
