month,holiday,weekday,workingday,weather,total_user
Feb,No,Tue,Yes,Clear,1450
Feb,No,Wed,Yes,Clear,1917
Feb,No,Thu,Yes,Mist,1807
Feb,No,Fri,Yes,Mist,1461
Feb,No,Sat,No,Clear,1969
Feb,No,Sun,No,Clear,2402
Feb,No,Mon,Yes,Mist,1446
Mar,No,Tue,Yes,Clear,1851
Mar,No,Wed,Yes,Clear,2134
Mar,No,Thu,Yes,Clear,1685
Mar,No,Fri,Yes,Mist,1944
Mar,No,Sat,No,Mist,2077
Mar,No,Sun,No,Mist,605
Mar,No,Mon,Yes,Clear,1872
Mar,No,Tue,Yes,Clear,2133
Mar,No,Wed,Yes,Mist,1891
Mar,No,Thu,Yes,Light Rain/Snow,623
Mar,No,Fri,Yes,Mist,1977
Mar,No,Sat,No,Clear,2132
Mar,No,Sun,No,Clear,2417
Mar,No,Mon,Yes,Clear,2046
Mar,No,Tue,Yes,Mist,2056
Mar,No,Wed,Yes,Mist,2192
Mar,No,Thu,Yes,Clear,2744
Mar,No,Fri,Yes,Clear,3239
Mar,No,Sat,No,Clear,3117
Mar,No,Sun,No,Clear,2471
Mar,No,Mon,Yes,Mist,2077
Mar,No,Tue,Yes,Clear,2703
Mar,No,Wed,Yes,Mist,2121
Mar,No,Thu,Yes,Mist,1865
Mar,No,Fri,Yes,Clear,2210
Mar,No,Sat,No,Clear,2496
Mar,No,Sun,No,Mist,1693
Mar,No,Mon,Yes,Clear,2028
Mar,No,Tue,Yes,Clear,2425
Mar,No,Wed,Yes,Mist,1536
Mar,No,Thu,Yes,Light Rain/Snow,1685
Apr,No,Fri,Yes,Mist,2227
Apr,No,Sat,No,Mist,2252
Apr,No,Sun,No,Clear,3249
Apr,No,Mon,Yes,Clear,3115
Apr,No,Tue,Yes,Mist,1795
Apr,No,Wed,Yes,Clear,2808
Apr,No,Thu,Yes,Clear,3141
Apr,No,Fri,Yes,Mist,1471
Apr,No,Sat,No,Mist,2455
Apr,No,Sun,No,Mist,2895
Apr,No,Mon,Yes,Mist,3348
Apr,No,Tue,Yes,Mist,2034
Apr,No,Wed,Yes,Mist,2162
Apr,No,Thu,Yes,Clear,3267
Apr,Yes,Fri,No,Clear,3126
Apr,No,Sat,No,Light Rain/Snow,795
Apr,No,Sun,No,Clear,3744
Apr,No,Mon,Yes,Clear,3429
Apr,No,Tue,Yes,Mist,3204
Apr,No,Wed,Yes,Clear,3944
Apr,No,Thu,Yes,Clear,4189
Apr,No,Fri,Yes,Mist,1683
Apr,No,Sat,No,Mist,4036
Apr,No,Sun,No,Mist,4191
Apr,No,Mon,Yes,Clear,4073
Apr,No,Tue,Yes,Clear,4400
Apr,No,Wed,Yes,Mist,3872
Apr,No,Thu,Yes,Mist,4058
Apr,No,Fri,Yes,Clear,4595
Apr,No,Sat,No,Clear,5312
May,No,Sun,No,Mist,3351
May,No,Mon,Yes,Mist,4401
May,No,Tue,Yes,Mist,4451
May,No,Wed,Yes,Mist,2633
May,No,Thu,Yes,Clear,4433
May,No,Fri,Yes,Clear,4608
May,No,Sat,No,Clear,4714
May,No,Sun,No,Clear,4333
May,No,Mon,Yes,Clear,4362
May,No,Tue,Yes,Clear,4803
May,No,Wed,Yes,Clear,4182
May,No,Thu,Yes,Clear,4864
May,No,Fri,Yes,Mist,4105
May,No,Sat,No,Mist,3409
May,No,Sun,No,Mist,4553
May,No,Mon,Yes,Clear,3958
May,No,Tue,Yes,Mist,4123
May,No,Wed,Yes,Mist,3855
May,No,Thu,Yes,Mist,4575
May,No,Fri,Yes,Clear,4917
May,No,Sat,No,Clear,5805
May,No,Sun,No,Clear,4660
May,No,Mon,Yes,Mist,4274
May,No,Tue,Yes,Mist,4492
May,No,Wed,Yes,Clear,4978
May,No,Thu,Yes,Clear,4677
May,No,Fri,Yes,Clear,4679
May,No,Sat,No,Clear,4758
May,No,Sun,No,Clear,4788
May,Yes,Mon,No,Clear,4098
May,No,Tue,Yes,Clear,3982
Jun,No,Wed,Yes,Mist,3974
Jun,No,Thu,Yes,Clear,4968
Jun,No,Fri,Yes,Clear,5312
Jun,No,Sat,No,Clear,5342
Jun,No,Sun,No,Mist,4906
Jun,No,Mon,Yes,Clear,4548
Jun,No,Tue,Yes,Clear,4833
Jun,No,Wed,Yes,Clear,4401
Jun,No,Thu,Yes,Mist,3915
Jun,No,Fri,Yes,Clear,4586
Jun,No,Sat,No,Clear,4966
Jun,No,Sun,No,Clear,4460
Jun,No,Mon,Yes,Clear,5020
Jun,No,Tue,Yes,Clear,4891
Jun,No,Wed,Yes,Clear,5180
Jun,No,Thu,Yes,Mist,3767
Jun,No,Fri,Yes,Clear,4844
Jun,No,Sat,No,Clear,5119
Jun,No,Sun,No,Mist,4744
Jun,No,Mon,Yes,Mist,4010
Jun,No,Tue,Yes,Mist,4835
Jun,No,Wed,Yes,Clear,4507
Jun,No,Thu,Yes,Mist,4790
Jun,No,Fri,Yes,Clear,4991
Jun,No,Sat,No,Clear,5202
Jun,No,Sun,No,Clear,5305
Jun,No,Mon,Yes,Mist,4708
Jun,No,Tue,Yes,Clear,4648
Jun,No,Wed,Yes,Clear,5225
Jun,No,Thu,Yes,Clear,5515
Jul,No,Fri,Yes,Clear,5362
Jul,No,Sat,No,Clear,5119
Jul,No,Sun,No,Mist,4649
Jul,Yes,Mon,No,Mist,6043
Jul,No,Tue,Yes,Clear,4665
Jul,No,Wed,Yes,Clear,4629
Jul,No,Thu,Yes,Clear,4592
Jul,No,Fri,Yes,Mist,4040
Jul,No,Sat,No,Clear,5336
Jul,No,Sun,No,Clear,4881
Jul,No,Mon,Yes,Clear,4086
Jul,No,Tue,Yes,Clear,4258
Jul,No,Wed,Yes,Clear,4342
Jul,No,Thu,Yes,Clear,5084
Jul,No,Fri,Yes,Clear,5538
Jul,No,Sat,No,Clear,5923
Jul,No,Sun,No,Clear,5302
Jul,No,Mon,Yes,Clear,4458
Jul,No,Tue,Yes,Clear,4541
Jul,No,Wed,Yes,Clear,4332
Jul,No,Thu,Yes,Mist,3784
Jul,No,Fri,Yes,Clear,3387
Jul,No,Sat,No,Clear,3285
Jul,No,Sun,No,Clear,3606
Jul,No,Mon,Yes,Clear,3840
Jul,No,Tue,Yes,Clear,4590
Jul,No,Wed,Yes,Clear,4656
Jul,No,Thu,Yes,Clear,4390
Jul,No,Fri,Yes,Clear,3846
Jul,No,Sat,No,Clear,4475
Jul,No,Sun,No,Clear,4302
Aug,No,Mon,Yes,Clear,4266
Aug,No,Tue,Yes,Clear,4845
Aug,No,Wed,Yes,Mist,3574
Aug,No,Thu,Yes,Mist,4576
Aug,No,Fri,Yes,Clear,4866
Aug,No,Sat,No,Mist,4294
Aug,No,Sun,No,Clear,3785
Aug,No,Mon,Yes,Clear,4326
Aug,No,Tue,Yes,Clear,4602
Aug,No,Wed,Yes,Clear,4780
Aug,No,Thu,Yes,Clear,4792
Aug,No,Fri,Yes,Clear,4905
Aug,No,Sat,No,Mist,4150
Aug,No,Sun,No,Mist,3820
Aug,No,Mon,Yes,Clear,4338
Aug,No,Tue,Yes,Clear,4725
Aug,No,Wed,Yes,Clear,4694
Aug,No,Thu,Yes,Clear,3805
Aug,No,Fri,Yes,Mist,4153
Aug,No,Sat,No,Clear,5191
Aug,No,Sun,No,Clear,3873
Aug,No,Mon,Yes,Clear,4758
Aug,No,Tue,Yes,Clear,5895
Aug,No,Wed,Yes,Clear,5130
Aug,No,Thu,Yes,Mist,3542
Aug,No,Fri,Yes,Clear,4661
Aug,No,Sat,No,Mist,1115
Aug,No,Sun,No,Clear,4334
Aug,No,Mon,Yes,Clear,4634
Aug,No,Tue,Yes,Clear,5204
Aug,No,Wed,Yes,Clear,5058
Sep,No,Thu,Yes,Clear,5115
Sep,No,Fri,Yes,Mist,4727
Sep,No,Sat,No,Clear,4484
Sep,No,Sun,No,Clear,4940
Sep,Yes,Mon,No,Mist,3351
Sep,No,Tue,Yes,Light Rain/Snow,2710
Sep,No,Wed,Yes,Light Rain/Snow,1996
Sep,No,Thu,Yes,Light Rain/Snow,1842
Sep,No,Fri,Yes,Mist,3544
Sep,No,Sat,No,Clear,5345
Sep,No,Sun,No,Clear,5046
Sep,No,Mon,Yes,Clear,4713
Sep,No,Tue,Yes,Clear,4763
Sep,No,Wed,Yes,Clear,4785
Sep,No,Thu,Yes,Mist,3659
Sep,No,Fri,Yes,Mist,4760
Sep,No,Sat,No,Mist,4511
Sep,No,Sun,No,Clear,4274
Sep,No,Mon,Yes,Mist,4539
Sep,No,Tue,Yes,Mist,3641
Sep,No,Wed,Yes,Mist,4352
Sep,No,Thu,Yes,Mist,4795
Sep,No,Fri,Yes,Mist,2395
Sep,No,Sat,No,Mist,5423
Sep,No,Sun,No,Mist,5010
Sep,No,Mon,Yes,Mist,4630
Sep,No,Tue,Yes,Mist,4120
Sep,No,Wed,Yes,Mist,3907
Sep,No,Thu,Yes,Clear,4839
Sep,No,Fri,Yes,Clear,5202
Oct,No,Sat,No,Mist,2429
Oct,No,Sun,No,Mist,2918
Oct,No,Mon,Yes,Mist,3570
Oct,No,Tue,Yes,Clear,4456
Oct,No,Wed,Yes,Clear,4826
Oct,No,Thu,Yes,Clear,4765
Oct,No,Fri,Yes,Clear,4985
Oct,No,Sat,No,Clear,5409
Oct,No,Sun,No,Clear,5511
Oct,Yes,Mon,No,Clear,5117
Oct,No,Tue,Yes,Mist,4563
Oct,No,Wed,Yes,Light Rain/Snow,2416
Oct,No,Thu,Yes,Mist,2913
Oct,No,Fri,Yes,Mist,3644
Oct,No,Sat,No,Clear,5217
Oct,No,Sun,No,Clear,5041
Oct,No,Mon,Yes,Clear,4570
Oct,No,Tue,Yes,Mist,4748
Oct,No,Wed,Yes,Light Rain/Snow,2424
Oct,No,Thu,Yes,Clear,4195
Oct,No,Fri,Yes,Clear,4304
Oct,No,Sat,No,Clear,4308
Oct,No,Sun,No,Clear,4381
Oct,No,Mon,Yes,Clear,4187
Oct,No,Tue,Yes,Clear,4687
Oct,No,Wed,Yes,Mist,3894
Oct,No,Thu,Yes,Mist,2659
Oct,No,Fri,Yes,Mist,3747
Oct,No,Sat,No,Light Rain/Snow,627
Oct,No,Sun,No,Clear,3331
Oct,No,Mon,Yes,Clear,3669
Nov,No,Tue,Yes,Clear,4068
Nov,No,Wed,Yes,Clear,4186
Nov,No,Thu,Yes,Clear,3974
Nov,No,Fri,Yes,Mist,4046
Nov,No,Sat,No,Clear,3926
Nov,No,Sun,No,Clear,3649
Nov,No,Mon,Yes,Clear,4035
Nov,No,Tue,Yes,Clear,4205
Nov,No,Wed,Yes,Clear,4109
Nov,No,Thu,Yes,Mist,2933
Nov,Yes,Fri,No,Clear,3368
Nov,No,Sat,No,Clear,4067
Nov,No,Sun,No,Clear,3717
Nov,No,Mon,Yes,Clear,4486
Nov,No,Tue,Yes,Mist,4195
Nov,No,Wed,Yes,Light Rain/Snow,1817
Nov,No,Thu,Yes,Mist,3053
Nov,No,Fri,Yes,Clear,3392
Nov,No,Sat,No,Clear,3663
Nov,No,Sun,No,Mist,3520
Nov,No,Mon,Yes,Light Rain/Snow,2765
Nov,No,Tue,Yes,Light Rain/Snow,1607
Nov,No,Wed,Yes,Mist,2566
Nov,Yes,Thu,No,Clear,1495
Nov,No,Fri,Yes,Clear,2792
Nov,No,Sat,No,Clear,3068
Nov,No,Sun,No,Clear,3071
Nov,No,Mon,Yes,Clear,3867
Nov,No,Tue,Yes,Mist,2914
Nov,No,Wed,Yes,Clear,3613
Dec,No,Thu,Yes,Clear,3727
Dec,No,Fri,Yes,Clear,3940
Dec,No,Sat,No,Clear,3614
Dec,No,Sun,No,Clear,3485
Dec,No,Mon,Yes,Mist,3811
Dec,No,Tue,Yes,Light Rain/Snow,2594
Dec,No,Wed,Yes,Light Rain/Snow,705
Dec,No,Thu,Yes,Clear,3322
Dec,No,Fri,Yes,Clear,3620
Dec,No,Sat,No,Clear,3190
Dec,No,Sun,No,Clear,2743
Dec,No,Mon,Yes,Clear,3310
Dec,No,Tue,Yes,Clear,3523
Dec,No,Wed,Yes,Mist,3740
Dec,No,Thu,Yes,Mist,3709
Dec,No,Fri,Yes,Mist,3577
Dec,No,Sat,No,Mist,2739
Dec,No,Sun,No,Clear,2431
Dec,No,Mon,Yes,Clear,3403
Dec,No,Tue,Yes,Mist,3750
Dec,No,Wed,Yes,Mist,2660
Dec,No,Thu,Yes,Mist,3068
Dec,No,Fri,Yes,Clear,2209
Dec,No,Sat,No,Clear,1011
Dec,No,Sun,No,Clear,754
Dec,Yes,Mon,No,Clear,1317
Dec,No,Tue,Yes,Mist,1162
Dec,No,Wed,Yes,Clear,2302
Dec,No,Thu,Yes,Clear,2423
Dec,No,Fri,Yes,Clear,2999
Dec,No,Sat,No,Clear,2485
