Product Name,Brand,Category,Rating
Jeans,Nike,Men's Fashion,1.47
T-shirt,Nike,Men's Fashion,3.57
Shoes,H&M,Men's Fashion,3.32
T-shirt,Gucci,Men's Fashion,3.58
Jeans,H&M,Men's Fashion,2.53
T-shirt,H&M,Men's Fashion,4.12
T-shirt,Zara,Men's Fashion,2.81
Shoes,H&M,Men's Fashion,1.75
T-shirt,Gucci,Men's Fashion,3.53
Shoes,Zara,Men's Fashion,2.87
T-shirt,H&M,Men's Fashion,2.19
Dress,Adidas,Men's Fashion,2.63
Shoes,Adidas,Men's Fashion,3.49
Shoes,Adidas,Men's Fashion,2.94
Shoes,Nike,Men's Fashion,1.75
Sweater,H&M,Men's Fashion,2.98
Sweater,Nike,Men's Fashion,3.26
Jeans,Zara,Men's Fashion,4.99
Jeans,Adidas,Men's Fashion,4.72
Jeans,Adidas,Men's Fashion,4.50
Jeans,Nike,Men's Fashion,3.81
Jeans,Zara,Men's Fashion,4.64
Jeans,H&M,Men's Fashion,3.88
T-shirt,Adidas,Men's Fashion,2.72
Shoes,Gucci,Men's Fashion,3.13
Jeans,Zara,Men's Fashion,2.57
Sweater,Adidas,Men's Fashion,1.84
T-shirt,H&M,Men's Fashion,3.91
Sweater,Gucci,Men's Fashion,3.02
Dress,Nike,Men's Fashion,1.56
Shoes,H&M,Men's Fashion,4.55
Shoes,Nike,Men's Fashion,2.57
Shoes,Gucci,Men's Fashion,4.44
Dress,Adidas,Men's Fashion,3.18
Shoes,Zara,Men's Fashion,1.36
Sweater,H&M,Men's Fashion,1.06
Sweater,H&M,Men's Fashion,4.07
Sweater,Nike,Men's Fashion,1.56
Sweater,Nike,Men's Fashion,1.20
Dress,Nike,Men's Fashion,1.79
Sweater,Gucci,Men's Fashion,2.12
Sweater,H&M,Men's Fashion,1.19
Dress,Adidas,Men's Fashion,3.56
T-shirt,Nike,Men's Fashion,1.98
Dress,Zara,Men's Fashion,2.99
Sweater,Zara,Men's Fashion,2.10
Dress,Gucci,Men's Fashion,4.46
Dress,Gucci,Men's Fashion,1.96
Shoes,Nike,Men's Fashion,3.11
Shoes,Nike,Men's Fashion,2.36
Jeans,Zara,Men's Fashion,4.06
T-shirt,Gucci,Men's Fashion,2.85
Sweater,Gucci,Men's Fashion,2.58
Dress,Zara,Men's Fashion,3.07
T-shirt,Adidas,Men's Fashion,3.26
Sweater,Adidas,Men's Fashion,2.94
Shoes,Zara,Men's Fashion,2.71
Shoes,Zara,Men's Fashion,2.07
Jeans,Nike,Men's Fashion,2.41
Dress,Nike,Men's Fashion,2.37
Dress,Adidas,Men's Fashion,4.02
Jeans,Gucci,Men's Fashion,4.17
Shoes,Zara,Men's Fashion,2.00
T-shirt,Nike,Men's Fashion,2.93
Shoes,Adidas,Men's Fashion,1.20
Sweater,Adidas,Men's Fashion,4.10
Shoes,Zara,Men's Fashion,3.97
Shoes,Adidas,Men's Fashion,4.04
Jeans,Nike,Men's Fashion,2.62
Sweater,H&M,Men's Fashion,4.05
Shoes,Adidas,Men's Fashion,2.49
Sweater,Zara,Men's Fashion,4.72
Dress,Zara,Men's Fashion,2.24
Sweater,H&M,Men's Fashion,3.15
Jeans,H&M,Men's Fashion,3.24
T-shirt,H&M,Men's Fashion,4.47
T-shirt,Adidas,Men's Fashion,1.50
T-shirt,Gucci,Men's Fashion,3.98
Shoes,Zara,Men's Fashion,2.27
Sweater,Gucci,Men's Fashion,1.35
Shoes,H&M,Men's Fashion,2.65
T-shirt,Nike,Men's Fashion,3.78
Jeans,Adidas,Men's Fashion,4.18
T-shirt,Adidas,Men's Fashion,1.87
Shoes,Gucci,Men's Fashion,3.58
Sweater,Adidas,Men's Fashion,4.91
Shoes,Zara,Men's Fashion,3.55
Sweater,Zara,Men's Fashion,2.81
T-shirt,Gucci,Men's Fashion,3.26
Shoes,Gucci,Men's Fashion,1.01
T-shirt,Zara,Men's Fashion,2.00
Jeans,Nike,Men's Fashion,4.66
Jeans,Nike,Men's Fashion,2.10
Shoes,Zara,Men's Fashion,1.84
T-shirt,Gucci,Men's Fashion,4.27
Dress,H&M,Men's Fashion,2.86
Jeans,Gucci,Men's Fashion,2.41
Jeans,Nike,Men's Fashion,1.27
Shoes,Nike,Men's Fashion,2.55
Sweater,Adidas,Men's Fashion,4.59
Sweater,Zara,Men's Fashion,1.80
T-shirt,Adidas,Men's Fashion,1.65
Shoes,Gucci,Men's Fashion,3.43
T-shirt,Adidas,Men's Fashion,1.68
Sweater,Zara,Men's Fashion,2.17
Jeans,Adidas,Men's Fashion,3.48
Jeans,Gucci,Men's Fashion,4.44
Shoes,Zara,Men's Fashion,2.49
Shoes,Adidas,Men's Fashion,3.93
Shoes,Adidas,Men's Fashion,2.57
T-shirt,Nike,Men's Fashion,1.11
T-shirt,Nike,Men's Fashion,3.21
Dress,Zara,Men's Fashion,2.41
Sweater,Adidas,Men's Fashion,4.90
Sweater,H&M,Men's Fashion,3.90
T-shirt,Adidas,Men's Fashion,2.76
Jeans,H&M,Men's Fashion,1.03
Dress,H&M,Men's Fashion,3.46
Shoes,Zara,Men's Fashion,3.00
Sweater,Zara,Men's Fashion,3.75
Dress,Gucci,Men's Fashion,1.97
Jeans,Adidas,Men's Fashion,1.67
Dress,H&M,Men's Fashion,3.64
T-shirt,Nike,Men's Fashion,2.09
Jeans,Zara,Men's Fashion,4.46
Shoes,H&M,Men's Fashion,4.63
Sweater,Zara,Men's Fashion,4.48
T-shirt,Zara,Men's Fashion,1.57
Shoes,Gucci,Men's Fashion,4.77
Dress,H&M,Men's Fashion,2.98
Dress,H&M,Men's Fashion,3.20
Dress,Nike,Men's Fashion,2.22
Sweater,Nike,Men's Fashion,4.83
T-shirt,Adidas,Men's Fashion,1.95
Sweater,Zara,Men's Fashion,3.07
T-shirt,H&M,Men's Fashion,1.27
Shoes,Adidas,Men's Fashion,1.10
Shoes,Adidas,Men's Fashion,2.33
T-shirt,H&M,Men's Fashion,4.78
Jeans,Zara,Men's Fashion,3.51
Shoes,Gucci,Men's Fashion,2.64
Sweater,Nike,Men's Fashion,1.62
Dress,H&M,Men's Fashion,3.39
Jeans,Zara,Men's Fashion,2.00
Jeans,Adidas,Men's Fashion,3.14
Sweater,Zara,Men's Fashion,3.05
T-shirt,Zara,Men's Fashion,3.44
T-shirt,Zara,Men's Fashion,1.85
Dress,Adidas,Men's Fashion,4.26
Jeans,Zara,Men's Fashion,2.68
Dress,Zara,Men's Fashion,3.01
Jeans,Adidas,Men's Fashion,3.06
Sweater,Gucci,Men's Fashion,2.10
Jeans,Nike,Men's Fashion,2.69
Dress,H&M,Men's Fashion,4.35
Shoes,Gucci,Men's Fashion,4.66
Shoes,Gucci,Men's Fashion,1.43
Sweater,Nike,Men's Fashion,3.94
Shoes,H&M,Men's Fashion,4.55
Jeans,Nike,Men's Fashion,4.24
Jeans,Zara,Men's Fashion,1.84
Shoes,H&M,Men's Fashion,2.62
Shoes,H&M,Men's Fashion,2.76
Dress,Zara,Men's Fashion,2.89
Dress,Gucci,Men's Fashion,3.42
Sweater,Adidas,Men's Fashion,3.65
T-shirt,H&M,Men's Fashion,1.04
Shoes,Adidas,Men's Fashion,1.41
Jeans,Gucci,Men's Fashion,4.37
Shoes,Gucci,Men's Fashion,2.40
T-shirt,Nike,Men's Fashion,1.61
Jeans,Zara,Men's Fashion,4.64
T-shirt,Adidas,Men's Fashion,1.57
Dress,Adidas,Men's Fashion,3.29
Sweater,Nike,Men's Fashion,3.46
Jeans,Zara,Men's Fashion,2.84
Jeans,Gucci,Men's Fashion,2.92
Jeans,Gucci,Men's Fashion,4.58
Sweater,Zara,Men's Fashion,2.83
Sweater,Nike,Men's Fashion,3.70
T-shirt,Adidas,Men's Fashion,4.95
Sweater,Adidas,Men's Fashion,1.88
Sweater,Gucci,Men's Fashion,1.88
T-shirt,Gucci,Men's Fashion,1.12
Jeans,H&M,Men's Fashion,4.95
Jeans,Zara,Men's Fashion,1.66
Shoes,Adidas,Men's Fashion,1.97
T-shirt,Zara,Men's Fashion,1.71
Sweater,H&M,Men's Fashion,3.91
Jeans,Nike,Men's Fashion,4.93
Shoes,Adidas,Men's Fashion,2.20
Jeans,Gucci,Men's Fashion,4.14
Shoes,H&M,Men's Fashion,4.28
Sweater,Nike,Men's Fashion,3.50
Shoes,H&M,Men's Fashion,3.38
Jeans,Gucci,Men's Fashion,4.78
Dress,Zara,Men's Fashion,3.10
T-shirt,Nike,Men's Fashion,4.04
T-shirt,Zara,Men's Fashion,4.18
T-shirt,Nike,Men's Fashion,1.89
Dress,Zara,Men's Fashion,4.46
Dress,Gucci,Men's Fashion,2.91
Shoes,Gucci,Men's Fashion,4.61
T-shirt,H&M,Men's Fashion,2.57
T-shirt,Adidas,Men's Fashion,4.72
T-shirt,Gucci,Men's Fashion,3.39
Sweater,H&M,Men's Fashion,4.44
Sweater,Zara,Men's Fashion,3.96
Shoes,H&M,Women's Fashion,4.03
Dress,Adidas,Women's Fashion,3.34
Dress,Zara,Women's Fashion,2.92
Dress,Adidas,Women's Fashion,1.42
Dress,Gucci,Women's Fashion,1.48
Jeans,Gucci,Women's Fashion,4.50
Shoes,Gucci,Women's Fashion,3.28
Jeans,Gucci,Women's Fashion,4.57
Jeans,Zara,Women's Fashion,2.50
Dress,Gucci,Women's Fashion,4.75
Shoes,Zara,Women's Fashion,2.82
Shoes,Gucci,Women's Fashion,4.94
Jeans,Zara,Women's Fashion,4.17
Dress,Zara,Women's Fashion,2.44
Jeans,Gucci,Women's Fashion,2.92
Jeans,Gucci,Women's Fashion,4.89
T-shirt,H&M,Women's Fashion,3.08
Jeans,Adidas,Women's Fashion,3.84
Dress,Nike,Women's Fashion,2.25
Sweater,Adidas,Women's Fashion,3.61
Shoes,Adidas,Women's Fashion,1.68
Shoes,Adidas,Women's Fashion,1.04
Jeans,Gucci,Women's Fashion,4.25
T-shirt,Gucci,Women's Fashion,4.30
Sweater,Gucci,Women's Fashion,3.67
Dress,Gucci,Women's Fashion,2.54
Sweater,Adidas,Women's Fashion,4.86
T-shirt,H&M,Women's Fashion,2.79
Dress,Zara,Women's Fashion,2.88
Dress,H&M,Women's Fashion,2.89
Jeans,Adidas,Women's Fashion,2.97
T-shirt,Nike,Women's Fashion,2.40
Shoes,Nike,Women's Fashion,1.42
Sweater,Adidas,Women's Fashion,2.56
Shoes,Nike,Women's Fashion,1.11
Shoes,Zara,Women's Fashion,3.94
Shoes,Gucci,Women's Fashion,1.97
Dress,Gucci,Women's Fashion,4.66
Jeans,Zara,Women's Fashion,1.50
Jeans,Zara,Women's Fashion,3.65
Jeans,Zara,Women's Fashion,1.75
Sweater,Gucci,Women's Fashion,4.67
Shoes,Zara,Women's Fashion,2.39
Shoes,Adidas,Women's Fashion,3.11
Sweater,H&M,Women's Fashion,4.43
Sweater,Nike,Women's Fashion,2.65
Shoes,Zara,Women's Fashion,4.87
T-shirt,H&M,Women's Fashion,2.31
T-shirt,Zara,Women's Fashion,2.10
Shoes,Nike,Women's Fashion,1.02
Sweater,Adidas,Women's Fashion,3.00
Sweater,Zara,Women's Fashion,3.63
Dress,H&M,Women's Fashion,1.81
Sweater,Gucci,Women's Fashion,3.54
Jeans,Nike,Women's Fashion,4.44
Shoes,Gucci,Women's Fashion,4.92
Shoes,Adidas,Women's Fashion,3.47
Shoes,Adidas,Women's Fashion,2.72
Jeans,Adidas,Women's Fashion,4.00
T-shirt,Nike,Women's Fashion,1.20
T-shirt,Gucci,Women's Fashion,2.43
T-shirt,Adidas,Women's Fashion,1.15
Dress,Adidas,Women's Fashion,3.98
Shoes,Gucci,Women's Fashion,2.98
Sweater,Adidas,Women's Fashion,4.74
T-shirt,Nike,Women's Fashion,2.98
Dress,Nike,Women's Fashion,4.27
Jeans,Gucci,Women's Fashion,2.28
Sweater,Gucci,Women's Fashion,4.46
Jeans,Zara,Women's Fashion,4.80
Jeans,Nike,Women's Fashion,1.69
Sweater,Zara,Women's Fashion,3.45
Jeans,Zara,Women's Fashion,3.04
Jeans,Adidas,Women's Fashion,3.47
T-shirt,H&M,Women's Fashion,2.94
Sweater,Adidas,Women's Fashion,3.79
T-shirt,Zara,Women's Fashion,4.98
Jeans,Zara,Women's Fashion,4.25
Jeans,Zara,Women's Fashion,1.88
Dress,H&M,Women's Fashion,1.03
Jeans,Adidas,Women's Fashion,2.05
Jeans,Zara,Women's Fashion,3.17
T-shirt,Adidas,Women's Fashion,3.44
Jeans,Zara,Women's Fashion,4.86
Dress,Adidas,Women's Fashion,1.79
Sweater,Gucci,Women's Fashion,1.44
Dress,H&M,Women's Fashion,1.97
Jeans,Gucci,Women's Fashion,2.97
T-shirt,Adidas,Women's Fashion,1.75
Dress,Zara,Women's Fashion,4.74
Shoes,Zara,Women's Fashion,1.81
Sweater,Zara,Women's Fashion,3.47
Dress,H&M,Women's Fashion,2.33
Shoes,Zara,Women's Fashion,2.26
Dress,H&M,Women's Fashion,2.77
Shoes,Nike,Women's Fashion,3.48
Dress,Gucci,Women's Fashion,3.56
Jeans,Gucci,Women's Fashion,4.29
Dress,Gucci,Women's Fashion,3.19
Jeans,Adidas,Women's Fashion,4.44
Dress,Adidas,Women's Fashion,1.66
Jeans,H&M,Women's Fashion,2.26
Sweater,Nike,Women's Fashion,3.70
Dress,H&M,Women's Fashion,4.82
Dress,H&M,Women's Fashion,4.09
T-shirt,H&M,Women's Fashion,4.10
Shoes,Zara,Women's Fashion,1.42
Jeans,Gucci,Women's Fashion,3.69
Dress,Adidas,Women's Fashion,1.30
Shoes,H&M,Women's Fashion,2.33
Shoes,H&M,Women's Fashion,4.51
Jeans,H&M,Women's Fashion,2.10
Dress,Adidas,Women's Fashion,4.40
Shoes,Zara,Women's Fashion,2.33
Jeans,Nike,Women's Fashion,3.74
Shoes,Nike,Women's Fashion,1.59
Sweater,Nike,Women's Fashion,1.44
Dress,Gucci,Women's Fashion,1.80
Sweater,Adidas,Women's Fashion,1.25
Sweater,Zara,Women's Fashion,3.98
T-shirt,Gucci,Women's Fashion,4.74
Jeans,Nike,Women's Fashion,4.47
Sweater,Nike,Women's Fashion,2.91
Sweater,H&M,Women's Fashion,2.26
Dress,Nike,Women's Fashion,4.15
Shoes,Nike,Women's Fashion,2.71
Shoes,Nike,Women's Fashion,1.54
Shoes,Nike,Women's Fashion,3.80
Dress,Nike,Women's Fashion,1.08
Jeans,Zara,Women's Fashion,4.27
Shoes,Zara,Women's Fashion,3.72
Jeans,Nike,Women's Fashion,3.64
Dress,Gucci,Women's Fashion,1.20
Shoes,Gucci,Women's Fashion,3.67
Dress,Adidas,Women's Fashion,3.58
Dress,Adidas,Women's Fashion,1.17
T-shirt,Zara,Women's Fashion,1.55
Sweater,Adidas,Women's Fashion,4.45
Dress,Gucci,Women's Fashion,3.83
Shoes,Nike,Women's Fashion,2.59
Jeans,H&M,Women's Fashion,2.43
Jeans,Gucci,Women's Fashion,4.64
Shoes,H&M,Women's Fashion,1.50
Jeans,Adidas,Women's Fashion,2.68
Shoes,Nike,Women's Fashion,3.58
Jeans,Zara,Women's Fashion,4.85
Sweater,H&M,Women's Fashion,3.25
Shoes,H&M,Women's Fashion,2.85
Shoes,Adidas,Women's Fashion,3.06
Shoes,Gucci,Women's Fashion,3.83
Dress,Zara,Women's Fashion,4.72
T-shirt,Gucci,Women's Fashion,1.29
Jeans,Gucci,Women's Fashion,1.60
Dress,Zara,Women's Fashion,2.03
T-shirt,Gucci,Women's Fashion,1.20
Jeans,Adidas,Women's Fashion,1.80
Dress,Zara,Women's Fashion,1.31
Dress,Nike,Women's Fashion,4.91
T-shirt,Nike,Women's Fashion,2.32
Jeans,Adidas,Women's Fashion,3.48
Dress,Nike,Women's Fashion,1.69
Shoes,H&M,Women's Fashion,4.08
T-shirt,H&M,Women's Fashion,1.34
Jeans,Zara,Women's Fashion,1.67
Dress,Gucci,Women's Fashion,3.58
T-shirt,Zara,Women's Fashion,2.65
Dress,H&M,Women's Fashion,2.64
Jeans,Adidas,Women's Fashion,1.20
T-shirt,Adidas,Women's Fashion,3.70
Jeans,Nike,Women's Fashion,1.13
Jeans,Gucci,Women's Fashion,3.70
Shoes,Zara,Women's Fashion,1.70
Dress,Zara,Women's Fashion,1.73
Shoes,Nike,Women's Fashion,3.98
T-shirt,Zara,Women's Fashion,4.06
Shoes,Gucci,Women's Fashion,1.60
Sweater,Adidas,Women's Fashion,3.48
Sweater,Gucci,Women's Fashion,1.22
Jeans,Zara,Women's Fashion,2.93
Shoes,Gucci,Women's Fashion,2.00
Dress,H&M,Women's Fashion,2.89
Jeans,Nike,Women's Fashion,1.20
Jeans,Nike,Women's Fashion,2.14
T-shirt,Nike,Women's Fashion,3.56
Shoes,Zara,Women's Fashion,1.36
Dress,Zara,Women's Fashion,4.28
Jeans,H&M,Women's Fashion,4.07
T-shirt,Adidas,Women's Fashion,3.94
T-shirt,H&M,Women's Fashion,2.60
Shoes,Adidas,Women's Fashion,1.50
Jeans,Adidas,Women's Fashion,2.03
Shoes,Gucci,Women's Fashion,4.23
Dress,Adidas,Women's Fashion,1.00
T-shirt,Adidas,Women's Fashion,1.45
Jeans,Gucci,Women's Fashion,4.49
T-shirt,H&M,Women's Fashion,3.09
T-shirt,H&M,Women's Fashion,2.16
Dress,Gucci,Women's Fashion,3.12
Shoes,Gucci,Women's Fashion,4.99
T-shirt,Gucci,Women's Fashion,2.64
Jeans,Adidas,Women's Fashion,3.59
T-shirt,Adidas,Women's Fashion,1.25
T-shirt,Adidas,Women's Fashion,1.02
Jeans,Gucci,Women's Fashion,2.04
T-shirt,Gucci,Women's Fashion,3.63
Dress,H&M,Women's Fashion,3.94
Shoes,Gucci,Women's Fashion,1.43
Dress,Adidas,Women's Fashion,1.03
Sweater,Zara,Women's Fashion,4.34
Jeans,Adidas,Women's Fashion,2.90
Dress,Nike,Women's Fashion,4.21
T-shirt,Nike,Women's Fashion,1.18
T-shirt,H&M,Women's Fashion,2.71
Shoes,H&M,Women's Fashion,2.53
Jeans,Gucci,Women's Fashion,4.65
Dress,Zara,Women's Fashion,4.87
T-shirt,Nike,Women's Fashion,1.29
T-shirt,Nike,Women's Fashion,4.45
Sweater,Nike,Women's Fashion,3.81
T-shirt,Nike,Women's Fashion,1.66
Dress,Nike,Women's Fashion,3.75
Jeans,Adidas,Women's Fashion,2.24
Shoes,Adidas,Women's Fashion,1.62
T-shirt,Gucci,Women's Fashion,2.44
Dress,Gucci,Women's Fashion,4.31
Jeans,Adidas,Women's Fashion,3.25
Shoes,Zara,Women's Fashion,1.02
Dress,Nike,Women's Fashion,3.46
Sweater,Zara,Women's Fashion,1.19
T-shirt,H&M,Women's Fashion,3.17
T-shirt,H&M,Women's Fashion,1.94
Shoes,Adidas,Women's Fashion,2.93
Dress,Adidas,Women's Fashion,3.23
Shoes,Nike,Women's Fashion,2.78
Shoes,Gucci,Women's Fashion,4.57
Dress,Nike,Women's Fashion,4.05
Jeans,Adidas,Women's Fashion,4.35
Dress,Adidas,Women's Fashion,3.94
Jeans,H&M,Women's Fashion,2.95
Dress,Nike,Women's Fashion,4.71
Dress,Zara,Women's Fashion,4.73
T-shirt,Nike,Women's Fashion,4.80
Dress,H&M,Women's Fashion,4.82
Jeans,Nike,Women's Fashion,2.26
Jeans,Gucci,Women's Fashion,1.05
Dress,Adidas,Women's Fashion,4.30
Shoes,Nike,Women's Fashion,4.87
Sweater,Nike,Women's Fashion,4.23
T-shirt,Zara,Women's Fashion,1.37
Dress,H&M,Women's Fashion,1.94
Dress,Adidas,Women's Fashion,3.96
Shoes,Adidas,Women's Fashion,3.17
Jeans,Gucci,Women's Fashion,3.81
Jeans,Adidas,Women's Fashion,4.42
Shoes,Zara,Women's Fashion,2.65
Sweater,Adidas,Women's Fashion,4.89
Dress,Zara,Women's Fashion,1.59
Dress,Nike,Women's Fashion,3.69
Shoes,Nike,Women's Fashion,3.39
Jeans,H&M,Women's Fashion,1.73
Shoes,Gucci,Women's Fashion,2.39
T-shirt,Zara,Women's Fashion,3.47
Jeans,Nike,Women's Fashion,4.22
Jeans,Nike,Women's Fashion,3.46
Dress,H&M,Women's Fashion,2.06
Shoes,H&M,Women's Fashion,4.60
Shoes,Nike,Women's Fashion,2.50
Jeans,H&M,Women's Fashion,2.20
Dress,H&M,Women's Fashion,3.26
Jeans,Nike,Women's Fashion,2.51
Jeans,Gucci,Women's Fashion,3.65
Jeans,H&M,Women's Fashion,4.29
Jeans,H&M,Women's Fashion,1.86
Jeans,Zara,Women's Fashion,3.78
T-shirt,Adidas,Women's Fashion,4.32
Dress,Nike,Women's Fashion,1.18
Sweater,Zara,Women's Fashion,2.80
Sweater,Zara,Women's Fashion,3.13
Dress,Nike,Women's Fashion,4.02
T-shirt,Nike,Women's Fashion,3.16
Dress,H&M,Women's Fashion,3.64
Shoes,Zara,Women's Fashion,1.08
Shoes,Adidas,Women's Fashion,4.78
Shoes,Nike,Women's Fashion,1.78
Sweater,H&M,Women's Fashion,4.40
Jeans,Nike,Women's Fashion,2.36
Shoes,H&M,Women's Fashion,3.78
Jeans,Gucci,Women's Fashion,4.25
T-shirt,Gucci,Women's Fashion,1.37
Jeans,Gucci,Women's Fashion,1.80
T-shirt,Adidas,Women's Fashion,1.40
Jeans,Gucci,Women's Fashion,1.67
Jeans,H&M,Women's Fashion,4.65
Sweater,Zara,Women's Fashion,4.50
Sweater,Nike,Women's Fashion,4.02
Sweater,Gucci,Women's Fashion,2.41
Dress,H&M,Women's Fashion,1.44
T-shirt,Adidas,Women's Fashion,3.94
Jeans,Gucci,Women's Fashion,2.10
Jeans,H&M,Women's Fashion,3.82
Dress,Nike,Women's Fashion,4.21
Shoes,Gucci,Women's Fashion,3.19
Sweater,Nike,Women's Fashion,2.19
Sweater,Zara,Women's Fashion,1.77
Jeans,Nike,Women's Fashion,1.05
Jeans,Nike,Women's Fashion,3.33
Shoes,Adidas,Women's Fashion,3.36
T-shirt,Gucci,Women's Fashion,3.80
Sweater,H&M,Women's Fashion,3.28
Dress,Zara,Women's Fashion,2.19
T-shirt,Adidas,Women's Fashion,3.01
T-shirt,Nike,Women's Fashion,2.64
Sweater,H&M,Women's Fashion,1.67
Sweater,Gucci,Women's Fashion,3.55
Dress,Zara,Women's Fashion,2.55
T-shirt,Gucci,Women's Fashion,2.80
Jeans,Nike,Women's Fashion,1.73
Shoes,Adidas,Women's Fashion,2.61
Dress,Nike,Women's Fashion,4.54
Shoes,Nike,Women's Fashion,3.44
T-shirt,H&M,Women's Fashion,2.51
Shoes,H&M,Women's Fashion,3.25
T-shirt,Gucci,Women's Fashion,4.92
Shoes,H&M,Women's Fashion,4.00
Shoes,Zara,Women's Fashion,1.62
T-shirt,Zara,Women's Fashion,3.09
Shoes,Adidas,Women's Fashion,3.09
