,Gender,Primary_Device,Exceeded_Recommended_Limit,Health_Impacts,Urban_or_Rural,Avg_Daily_Screen_Time_hr
,Male,Laptop,TRUE,Poor Sleep,Urban,5.26
,Female,Laptop,TRUE,Poor Sleep,Urban,3.98
,Female,Smartphone,TRUE,Poor Sleep,Rural,4.42
,Male,Smartphone,TRUE,Poor Sleep,Rural,3.08
,Male,Smartphone,TRUE,Poor Sleep,Urban,6.0
,Male,Smartphone,TRUE,Poor Sleep,Urban,4.49
,Male,Smartphone,TRUE,Poor Sleep,Urban,5.29
,Male,TV,TRUE,Poor Sleep,Rural,6.22
,Male,Smartphone,TRUE,Poor Sleep,Urban,6.18
,Female,TV,TRUE,Poor Sleep,Rural,8.27
,Male,Smartphone,TRUE,Poor Sleep,Urban,5.53
,Female,Laptop,TRUE,Poor Sleep,Urban,3.7
,Male,Smartphone,TRUE,Poor Sleep,Rural,4.45
,Male,Smartphone,TRUE,Poor Sleep,Urban,7.77
,Male,TV,TRUE,Poor Sleep,Urban,4.59
,Female,Laptop,TRUE,Poor Sleep,Rural,5.15
,Male,Smartphone,TRUE,Poor Sleep,Urban,3.35
,Male,Smartphone,TRUE,Poor Sleep,Urban,3.93
,Male,Tablet,TRUE,Poor Sleep,Urban,4.41
,Male,Laptop,TRUE,Poor Sleep,Rural,3.09
,Female,TV,TRUE,Poor Sleep,Rural,7.11
,Male,Tablet,TRUE,Poor Sleep,Urban,3.91
,Female,Laptop,TRUE,Poor Sleep,Rural,4.2
,Male,Smartphone,TRUE,Poor Sleep,Rural,3.14
,Male,Smartphone,TRUE,Poor Sleep,Rural,9.35
,Female,Smartphone,TRUE,Poor Sleep,Urban,3.24
,Female,TV,TRUE,Poor Sleep,Urban,3.18
,Female,Smartphone,TRUE,Poor Sleep,Rural,3.74
,Male,Smartphone,TRUE,Poor Sleep,Urban,4.26
,Female,Smartphone,TRUE,Poor Sleep,Rural,5.5
,Male,Laptop,TRUE,Poor Sleep,Rural,5.41
,Male,TV,TRUE,Poor Sleep,Rural,5.64
,Male,Laptop,TRUE,Poor Sleep,Rural,3.85
,Female,TV,TRUE,Poor Sleep,Urban,4.32
,Female,Laptop,TRUE,Poor Sleep,Rural,5.48
,Female,Laptop,TRUE,Poor Sleep,Rural,4.45
,Female,TV,TRUE,Poor Sleep,Rural,4.78
,Male,Smartphone,TRUE,Poor Sleep,Urban,7.02
,Female,Smartphone,TRUE,Poor Sleep,Urban,4.17
,Female,Smartphone,TRUE,Poor Sleep,Urban,5.68
,Female,Smartphone,TRUE,Poor Sleep,Urban,4.43
,Female,Tablet,TRUE,Poor Sleep,Urban,3.76
,Female,Smartphone,TRUE,Poor Sleep,Urban,4.84
,Male,Smartphone,TRUE,Poor Sleep,Urban,3.93
,Female,Smartphone,TRUE,Poor Sleep,Urban,3.92
,Male,Smartphone,TRUE,Poor Sleep,Urban,4.99
,Female,Smartphone,TRUE,Poor Sleep,Urban,3.55
,Female,Smartphone,TRUE,Poor Sleep,Rural,6.64
,Female,TV,TRUE,Poor Sleep,Urban,4.42
,Female,Smartphone,TRUE,Poor Sleep,Urban,5.58
,Male,Smartphone,TRUE,Poor Sleep,Rural,5.29
,Male,TV,TRUE,Poor Sleep,Rural,4.35
,Male,Tablet,TRUE,Poor Sleep,Urban,4.05
,Male,TV,TRUE,Poor Sleep,Urban,3.69
,Male,Smartphone,TRUE,Poor Sleep,Urban,5.53
,Male,Smartphone,TRUE,Poor Sleep,Rural,4.98
,Male,Smartphone,TRUE,Poor Sleep,Urban,6.49
,Male,Laptop,TRUE,Poor Sleep,Rural,5.97
,Male,Smartphone,TRUE,Poor Sleep,Rural,4.31
,Male,Tablet,TRUE,Poor Sleep,Rural,5.59
,Female,Laptop,TRUE,Poor Sleep,Urban,5.54
,Female,TV,TRUE,Poor Sleep,Rural,3.04
,Female,Smartphone,TRUE,Poor Sleep,Urban,3.56
,Male,TV,TRUE,Poor Sleep,Urban,4.87
,Female,Laptop,TRUE,Poor Sleep,Urban,3.64
,Male,Laptop,TRUE,Poor Sleep,Urban,3.77
,Female,Tablet,TRUE,Poor Sleep,Urban,3.59
,Male,TV,TRUE,Poor Sleep,Urban,3.03
,Female,Smartphone,TRUE,Poor Sleep,Rural,6.89
,Male,Smartphone,TRUE,Poor Sleep,Urban,4.72
,Female,Smartphone,TRUE,Poor Sleep,Rural,3.13
,Male,Smartphone,TRUE,Poor Sleep,Urban,5.3
,Female,Smartphone,TRUE,Poor Sleep,Urban,5.1
,Male,Smartphone,TRUE,Poor Sleep,Urban,4.89
,Male,Smartphone,TRUE,Poor Sleep,Urban,3.6
,Female,TV,TRUE,Poor Sleep,Urban,4.84
,Female,Smartphone,TRUE,Poor Sleep,Rural,5.35
,Male,Smartphone,TRUE,Poor Sleep,Urban,3.06
,Female,Laptop,TRUE,Poor Sleep,Urban,6.87
,Male,Smartphone,TRUE,Poor Sleep,Urban,7.04
,Female,Tablet,TRUE,Poor Sleep,Rural,5.98
,Female,Smartphone,TRUE,Poor Sleep,Rural,3.67
,Female,Smartphone,TRUE,Poor Sleep,Urban,3.11
,Female,Smartphone,TRUE,Poor Sleep,Urban,5.61
,Male,TV,TRUE,Poor Sleep,Urban,3.03
,Female,Laptop,TRUE,Poor Sleep,Rural,6.04
,Female,Smartphone,TRUE,Poor Sleep,Urban,5.49
,Male,Smartphone,TRUE,Poor Sleep,Urban,5.23
,Male,Laptop,TRUE,Poor Sleep,Urban,3.45
,Male,TV,TRUE,Poor Sleep,Urban,5.17
,Male,Laptop,TRUE,Poor Sleep,Urban,5.5
,Male,Smartphone,TRUE,Poor Sleep,Urban,3.85
,Female,Smartphone,TRUE,Poor Sleep,Rural,8.95
,Male,Laptop,TRUE,Poor Sleep,Urban,4.46
,Male,Tablet,TRUE,Poor Sleep,Urban,5.31
,Female,Laptop,TRUE,Poor Sleep,Urban,3.58
,Female,Tablet,TRUE,Poor Sleep,Rural,7.85
,Male,Smartphone,TRUE,Poor Sleep,Rural,4.28
,Female,Smartphone,TRUE,Poor Sleep,Rural,4.84
,Male,TV,TRUE,Poor Sleep,Urban,6.25
,Male,Tablet,TRUE,Poor Sleep,Rural,5.86
,Female,Smartphone,TRUE,Poor Sleep,Urban,6.94
,Male,TV,TRUE,Poor Sleep,Rural,7.05
,Male,Smartphone,TRUE,Poor Sleep,Rural,5.41
,Female,TV,TRUE,Poor Sleep,Urban,4.75
,Male,TV,TRUE,Poor Sleep,Rural,5.33
,Male,Smartphone,TRUE,Poor Sleep,Rural,5.43
,Female,Smartphone,TRUE,Poor Sleep,Urban,3.4
,Male,Smartphone,TRUE,Poor Sleep,Rural,5.85
,Male,Smartphone,TRUE,Poor Sleep,Rural,4.3
,Male,Smartphone,TRUE,Poor Sleep,Urban,3.72
,Male,TV,TRUE,Poor Sleep,Rural,3.05
,Male,Laptop,TRUE,Poor Sleep,Urban,5.01
,Male,Smartphone,TRUE,Poor Sleep,Urban,6.21
,Female,TV,TRUE,Poor Sleep,Urban,5.35
,Male,Laptop,TRUE,Poor Sleep,Urban,3.45
,Female,Smartphone,TRUE,Poor Sleep,Urban,6.14
,Male,Smartphone,TRUE,Poor Sleep,Rural,3.83
,Male,Smartphone,TRUE,Poor Sleep,Urban,5.09
,Male,Laptop,TRUE,Poor Sleep,Urban,5.51
,Female,Smartphone,TRUE,Poor Sleep,Urban,3.11
,Male,Smartphone,TRUE,Poor Sleep,Rural,4.87
,Female,Laptop,TRUE,Poor Sleep,Urban,6.32
,Female,Laptop,TRUE,Poor Sleep,Rural,6.19
,Male,Smartphone,TRUE,Poor Sleep,Urban,7.64
,Male,TV,TRUE,Poor Sleep,Urban,6.81
,Female,TV,TRUE,Poor Sleep,Urban,7.32
,Male,Smartphone,TRUE,Poor Sleep,Urban,4.17
,Male,Tablet,TRUE,Poor Sleep,Urban,8.55
,Female,Smartphone,TRUE,Poor Sleep,Urban,4.76
,Male,Laptop,TRUE,Poor Sleep,Rural,4.11
,Female,Smartphone,TRUE,Poor Sleep,Urban,4.45
,Male,TV,TRUE,Poor Sleep,Urban,8.51
,Male,Tablet,TRUE,Poor Sleep,Rural,5.7
,Male,Smartphone,TRUE,Poor Sleep,Urban,3.44
,Male,Tablet,TRUE,Poor Sleep,Urban,4.26
,Male,Smartphone,TRUE,Poor Sleep,Urban,3.39
,Male,Laptop,TRUE,Poor Sleep,Urban,3.37
,Male,Laptop,TRUE,Poor Sleep,Rural,4.71
,Male,Smartphone,TRUE,Poor Sleep,Urban,4.41
,Male,Laptop,TRUE,Poor Sleep,Urban,3.48
,Female,Smartphone,TRUE,Poor Sleep,Urban,4.11
,Female,Smartphone,TRUE,Poor Sleep,Rural,4.61
,Male,TV,TRUE,Poor Sleep,Rural,3.91
,Male,TV,TRUE,Poor Sleep,Rural,5.92
,Female,TV,TRUE,Poor Sleep,Urban,4.06
,Male,Smartphone,TRUE,Poor Sleep,Urban,4.35
,Male,Smartphone,TRUE,Poor Sleep,Urban,3.71
,Male,Smartphone,TRUE,Poor Sleep,Urban,4.8
,Male,Laptop,TRUE,Poor Sleep,Urban,7.07
,Female,Tablet,TRUE,Poor Sleep,Rural,6.49
,Female,TV,TRUE,Poor Sleep,Rural,4.0
,Male,Smartphone,TRUE,Poor Sleep,Urban,7.12
,Male,Smartphone,TRUE,Poor Sleep,Urban,5.39
,Male,TV,TRUE,Poor Sleep,Urban,7.77
,Male,Smartphone,TRUE,Poor Sleep,Urban,5.08
,Female,Smartphone,TRUE,Poor Sleep,Urban,3.14
,Female,TV,TRUE,Poor Sleep,Urban,4.6
,Male,TV,TRUE,Poor Sleep,Rural,3.64
,Male,Smartphone,TRUE,Poor Sleep,Urban,3.32
,Female,TV,TRUE,Poor Sleep,Urban,3.62
,Female,TV,TRUE,Poor Sleep,Urban,4.02
,Male,Smartphone,TRUE,Poor Sleep,Urban,7.08
,Female,Smartphone,TRUE,Poor Sleep,Rural,4.91
,Female,Laptop,TRUE,Poor Sleep,Urban,5.41
,Female,Smartphone,TRUE,Poor Sleep,Rural,5.84
,Female,TV,TRUE,Poor Sleep,Urban,4.45
,Female,Smartphone,TRUE,Poor Sleep,Urban,4.08
,Male,Smartphone,TRUE,Poor Sleep,Urban,4.21
,Female,Smartphone,TRUE,Poor Sleep,Urban,4.29
,Male,TV,TRUE,Poor Sleep,Urban,3.41
,Male,Smartphone,TRUE,Poor Sleep,Urban,4.33
,Male,Tablet,TRUE,Poor Sleep,Urban,3.25
,Female,Smartphone,TRUE,Poor Sleep,Urban,4.18
,Female,Laptop,TRUE,Poor Sleep,Rural,3.79
,Male,Smartphone,TRUE,Poor Sleep,Urban,4.27
,Female,Laptop,TRUE,Poor Sleep,Urban,5.82
,Female,Laptop,TRUE,Poor Sleep,Rural,6.12
,Female,Smartphone,TRUE,Poor Sleep,Urban,6.42
,Male,Smartphone,TRUE,Poor Sleep,Urban,5.65
,Male,Tablet,TRUE,Poor Sleep,Urban,4.56
,Female,Laptop,TRUE,Poor Sleep,Urban,5.25
,Female,Tablet,TRUE,Poor Sleep,Rural,5.88
,Female,Tablet,TRUE,Poor Sleep,Rural,3.08
,Male,Smartphone,TRUE,Poor Sleep,Urban,4.93
,Female,Tablet,TRUE,Poor Sleep,Urban,3.72
,Male,Smartphone,TRUE,Poor Sleep,Urban,3.81
,Female,TV,TRUE,Poor Sleep,Urban,4.99
,Female,Smartphone,TRUE,Poor Sleep,Rural,4.73
,Female,TV,TRUE,Poor Sleep,Urban,5.11
,Female,Smartphone,TRUE,Poor Sleep,Urban,3.7
,Female,TV,TRUE,Poor Sleep,Urban,3.27
,Female,Smartphone,TRUE,Poor Sleep,Rural,4.19
,Female,Laptop,TRUE,Poor Sleep,Rural,3.99
,Female,Tablet,TRUE,Poor Sleep,Urban,6.32
,Female,TV,TRUE,Poor Sleep,Urban,8.26
,Male,Laptop,TRUE,Poor Sleep,Urban,4.26
,Male,Smartphone,TRUE,Poor Sleep,Rural,4.51
,Female,Smartphone,TRUE,Poor Sleep,Urban,4.1
,Female,Smartphone,TRUE,Poor Sleep,Urban,5.91
,Female,Smartphone,TRUE,Poor Sleep,Rural,7.73
,Female,Smartphone,TRUE,Poor Sleep,Rural,4.17
,Male,TV,TRUE,Poor Sleep,Urban,3.82
,Male,Smartphone,TRUE,Poor Sleep,Urban,5.05
,Male,Laptop,TRUE,Poor Sleep,Urban,5.69
,Male,TV,TRUE,Poor Sleep,Urban,3.21
,Male,Smartphone,TRUE,Poor Sleep,Urban,3.96
,Male,Smartphone,TRUE,Poor Sleep,Urban,3.26
,Male,TV,TRUE,Poor Sleep,Urban,4.87
,Male,Smartphone,TRUE,Poor Sleep,Rural,4.75
,Female,Smartphone,TRUE,Poor Sleep,Rural,5.35
,Female,TV,TRUE,Poor Sleep,Urban,3.39
,Female,Smartphone,TRUE,Poor Sleep,Urban,3.77
,Male,Smartphone,TRUE,Poor Sleep,Urban,5.13
,Female,Tablet,TRUE,Poor Sleep,Urban,5.68
,Female,Laptop,TRUE,Poor Sleep,Rural,5.25
,Female,Smartphone,TRUE,Poor Sleep,Rural,3.31
,Male,Smartphone,TRUE,Poor Sleep,Rural,4.58
,Male,Tablet,TRUE,Poor Sleep,Rural,6.59
,Female,Tablet,TRUE,Poor Sleep,Rural,6.46
,Female,Laptop,TRUE,Poor Sleep,Urban,7.55
,Female,Laptop,TRUE,Poor Sleep,Urban,5.22
,Male,Smartphone,TRUE,Poor Sleep,Urban,4.97
,Male,TV,TRUE,Poor Sleep,Urban,4.19
,Male,TV,TRUE,Poor Sleep,Urban,4.75
,Male,Smartphone,TRUE,Poor Sleep,Rural,5.54
,Female,TV,TRUE,Poor Sleep,Urban,4.27
,Female,Smartphone,TRUE,Poor Sleep,Rural,6.56
,Female,Smartphone,TRUE,Poor Sleep,Urban,3.62
,Male,Smartphone,TRUE,Poor Sleep,Urban,3.94
,Female,Smartphone,TRUE,Poor Sleep,Urban,4.04
,Female,TV,TRUE,Poor Sleep,Urban,4.98
,Male,Smartphone,TRUE,Poor Sleep,Urban,4.9
,Female,Smartphone,TRUE,Poor Sleep,Urban,11.77
,Male,TV,TRUE,Poor Sleep,Urban,4.12
,Male,Smartphone,TRUE,Poor Sleep,Rural,6.64
,Male,TV,TRUE,Poor Sleep,Urban,3.18
,Male,TV,TRUE,Poor Sleep,Urban,5.13
,Female,Smartphone,TRUE,Poor Sleep,Urban,5.55
,Female,TV,TRUE,Poor Sleep,Rural,5.05
,Female,TV,TRUE,Poor Sleep,Urban,3.22
,Female,Smartphone,TRUE,Poor Sleep,Urban,4.0
,Female,Tablet,TRUE,Poor Sleep,Rural,6.9
,Female,TV,TRUE,Poor Sleep,Urban,3.05
,Male,Smartphone,TRUE,Poor Sleep,Urban,4.61
,Female,TV,TRUE,Poor Sleep,Urban,5.62
,Male,Smartphone,TRUE,Poor Sleep,Urban,5.18
,Female,Smartphone,TRUE,Poor Sleep,Urban,3.01
,Male,Tablet,TRUE,Poor Sleep,Urban,3.56
,Male,Smartphone,TRUE,Poor Sleep,Rural,5.15
,Male,Laptop,TRUE,Poor Sleep,Rural,4.15
,Female,Laptop,TRUE,Poor Sleep,Urban,4.75
,Male,Smartphone,TRUE,Poor Sleep,Urban,5.5
,Male,Smartphone,TRUE,Poor Sleep,Urban,5.15
,Female,Smartphone,TRUE,Poor Sleep,Urban,4.53
,Female,Smartphone,TRUE,Poor Sleep,Urban,3.2
,Male,TV,TRUE,Poor Sleep,Urban,5.13
,Male,TV,TRUE,Poor Sleep,Urban,6.44
,Female,Smartphone,TRUE,Poor Sleep,Rural,3.38
,Male,Smartphone,TRUE,Poor Sleep,Rural,6.84
,Female,TV,TRUE,Poor Sleep,Urban,4.57
,Male,Smartphone,TRUE,Poor Sleep,Urban,4.59
,Female,TV,TRUE,Poor Sleep,Urban,3.6
,Female,Tablet,TRUE,Poor Sleep,Urban,5.96
,Male,TV,TRUE,Poor Sleep,Rural,3.55
,Male,TV,TRUE,Poor Sleep,Urban,5.52
,Male,TV,TRUE,Poor Sleep,Urban,5.37
,Female,Smartphone,TRUE,Poor Sleep,Rural,8.08
,Male,Smartphone,TRUE,Poor Sleep,Urban,5.75
,Female,TV,TRUE,Poor Sleep,Urban,6.05
,Female,Smartphone,TRUE,Poor Sleep,Urban,6.79
,Female,Tablet,TRUE,Poor Sleep,Rural,4.64
,Female,TV,TRUE,Poor Sleep,Urban,7.0
,Male,Laptop,TRUE,Poor Sleep,Urban,5.05
,Female,Tablet,TRUE,Poor Sleep,Urban,7.23
,Male,TV,TRUE,Poor Sleep,Rural,4.38
,Female,Laptop,TRUE,Poor Sleep,Rural,5.45
,Female,Smartphone,TRUE,Poor Sleep,Urban,4.27
,Female,Laptop,TRUE,Poor Sleep,Urban,4.05
,Male,Smartphone,TRUE,Poor Sleep,Urban,5.87
,Female,Tablet,TRUE,Poor Sleep,Urban,3.68
,Female,Laptop,TRUE,Poor Sleep,Urban,4.07
,Female,Laptop,TRUE,Poor Sleep,Urban,3.21
,Female,Smartphone,TRUE,Poor Sleep,Rural,3.09
,Male,Smartphone,TRUE,Poor Sleep,Rural,4.21
,Female,Laptop,TRUE,Poor Sleep,Urban,3.27
,Male,Smartphone,TRUE,Poor Sleep,Rural,4.53
,Female,Smartphone,TRUE,Poor Sleep,Rural,4.69
,Male,Smartphone,TRUE,Poor Sleep,Urban,4.98
,Male,TV,TRUE,Poor Sleep,Rural,3.57
,Female,Laptop,TRUE,Poor Sleep,Urban,3.83
,Male,Laptop,TRUE,Poor Sleep,Urban,4.45
,Female,Laptop,TRUE,Poor Sleep,Urban,5.38
,Male,TV,TRUE,Poor Sleep,Urban,5.44
,Male,Tablet,TRUE,Poor Sleep,Urban,4.42
,Female,TV,TRUE,Poor Sleep,Urban,5.18
,Female,Smartphone,TRUE,Poor Sleep,Rural,3.64
,Female,Laptop,TRUE,Poor Sleep,Urban,5.25
,Female,Smartphone,TRUE,Poor Sleep,Urban,4.54
,Female,Laptop,TRUE,Poor Sleep,Urban,4.52
,Male,Smartphone,TRUE,Poor Sleep,Urban,5.18
,Male,Smartphone,TRUE,Poor Sleep,Urban,3.65
,Male,Tablet,TRUE,Poor Sleep,Urban,3.64
,Male,Smartphone,TRUE,Poor Sleep,Urban,4.95
,Male,TV,TRUE,Poor Sleep,Rural,4.54
,Male,Tablet,TRUE,Poor Sleep,Rural,5.75
,Male,Smartphone,TRUE,Poor Sleep,Urban,7.58
,Male,Smartphone,TRUE,Poor Sleep,Rural,4.83
,Female,Smartphone,TRUE,Poor Sleep,Urban,7.54
,Male,TV,TRUE,Poor Sleep,Urban,3.22
,Female,TV,TRUE,Poor Sleep,Urban,5.7
,Female,Tablet,TRUE,Poor Sleep,Urban,5.06
,Female,Smartphone,TRUE,Poor Sleep,Rural,5.25
,Female,TV,TRUE,Poor Sleep,Rural,7.8
,Female,Tablet,TRUE,Poor Sleep,Rural,3.36
,Male,Smartphone,TRUE,Poor Sleep,Rural,5.51
,Male,TV,TRUE,Poor Sleep,Urban,3.55
,Male,Smartphone,TRUE,Poor Sleep,Urban,4.24
,Female,Smartphone,TRUE,Poor Sleep,Urban,3.64
,Male,TV,TRUE,Poor Sleep,Urban,5.31
,Male,Smartphone,TRUE,Poor Sleep,Urban,4.21
,Female,TV,TRUE,Poor Sleep,Rural,5.4
,Female,Smartphone,TRUE,Poor Sleep,Urban,4.98
,Female,Laptop,TRUE,Poor Sleep,Rural,5.05
,Male,Tablet,TRUE,Poor Sleep,Urban,4.95
,Male,Smartphone,TRUE,Poor Sleep,Rural,3.84
,Male,TV,TRUE,Poor Sleep,Urban,5.65
,Male,Laptop,TRUE,Poor Sleep,Rural,3.8
,Female,Smartphone,TRUE,Poor Sleep,Urban,4.68
,Female,Tablet,TRUE,Poor Sleep,Urban,4.52
,Male,Smartphone,TRUE,Poor Sleep,Urban,5.9
,Male,TV,TRUE,Poor Sleep,Rural,3.93
,Male,Laptop,TRUE,Poor Sleep,Urban,4.08
,Female,TV,TRUE,Poor Sleep,Rural,4.66
,Female,Smartphone,TRUE,Poor Sleep,Rural,5.36
,Male,Laptop,TRUE,Poor Sleep,Urban,4.09
,Female,Smartphone,TRUE,Poor Sleep,Rural,5.38
,Male,Smartphone,TRUE,Poor Sleep,Urban,3.33
,Female,TV,TRUE,Poor Sleep,Urban,3.93
,Female,Smartphone,TRUE,Poor Sleep,Rural,6.84
,Female,Smartphone,TRUE,Poor Sleep,Urban,3.57
,Female,Smartphone,TRUE,Poor Sleep,Urban,5.28
,Female,Tablet,TRUE,Poor Sleep,Urban,5.3
,Female,TV,TRUE,Poor Sleep,Urban,3.76
,Female,Tablet,TRUE,Poor Sleep,Urban,5.3
,Male,Smartphone,TRUE,Poor Sleep,Rural,3.92
,Male,TV,TRUE,Poor Sleep,Urban,3.6
,Male,Smartphone,TRUE,Poor Sleep,Rural,4.66
,Male,Smartphone,TRUE,Poor Sleep,Urban,4.41
,Male,TV,TRUE,Poor Sleep,Rural,6.38
,Female,TV,TRUE,Poor Sleep,Rural,4.21
,Male,Tablet,TRUE,Poor Sleep,Urban,6.91
,Male,Tablet,TRUE,Poor Sleep,Urban,6.07
,Male,Smartphone,TRUE,Poor Sleep,Urban,4.04
,Female,Laptop,TRUE,Poor Sleep,Rural,5.7
,Male,Smartphone,TRUE,Poor Sleep,Rural,7.09
,Male,TV,TRUE,Poor Sleep,Urban,4.45
,Female,Tablet,TRUE,Poor Sleep,Urban,7.85
,Female,TV,TRUE,Poor Sleep,Urban,5.19
,Female,Laptop,TRUE,Poor Sleep,Rural,6.0
,Female,Laptop,TRUE,Poor Sleep,Urban,4.84
,Male,TV,TRUE,Poor Sleep,Urban,4.96
,Male,Smartphone,TRUE,Poor Sleep,Urban,3.93
,Female,Smartphone,TRUE,Poor Sleep,Rural,5.78
,Male,Laptop,TRUE,Poor Sleep,Urban,4.3
,Male,TV,TRUE,Poor Sleep,Rural,4.72
,Male,Laptop,TRUE,Poor Sleep,Urban,3.37
,Female,TV,TRUE,Poor Sleep,Rural,9.19
,Female,TV,TRUE,Poor Sleep,Rural,4.51
,Female,Smartphone,TRUE,Poor Sleep,Rural,5.29
,Male,Smartphone,TRUE,Poor Sleep,Urban,6.07
,Female,Smartphone,TRUE,Poor Sleep,Rural,4.84
,Female,Laptop,TRUE,Poor Sleep,Urban,5.34
,Female,TV,TRUE,Poor Sleep,Urban,6.56
