Product,Market Size,State,Profit,Sales
Colombian,Small Market,Iowa,5,64
Colombian,Small Market,Iowa,8,69
Colombian,Small Market,Iowa,8,69
Colombian,Small Market,Iowa,9,67
Colombian,Small Market,Iowa,9,67
Colombian,Small Market,Iowa,4,65
Colombian,Small Market,Iowa,10,67
Colombian,Small Market,Iowa,11,69
Colombian,Small Market,Iowa,12,74
Colombian,Small Market,Iowa,21,89
Colombian,Small Market,Iowa,10,77
Colombian,Small Market,Iowa,10,72
Colombian,Small Market,Iowa,7,68
Colombian,Small Market,Iowa,12,74
Caffe Mocha,Small Market,Iowa,11,43
Caffe Mocha,Small Market,Iowa,11,47
Caffe Mocha,Small Market,Iowa,9,41
Caffe Mocha,Small Market,Iowa,10,43
Caffe Mocha,Small Market,Iowa,12,49
Caffe Mocha,Small Market,Iowa,15,53
Caffe Mocha,Small Market,Iowa,13,49
Caffe Mocha,Small Market,Iowa,18,58
Caffe Mocha,Small Market,Iowa,18,58
Caffe Mocha,Small Market,Iowa,18,58
Caffe Mocha,Small Market,Iowa,16,56
Caffe Mocha,Small Market,Iowa,17,58
Caffe Mocha,Small Market,Iowa,17,48
Caffe Mocha,Small Market,Iowa,16,50
Caffe Mocha,Small Market,Iowa,13,44
Caffe Mocha,Small Market,Iowa,15,46
Caffe Mocha,Small Market,Iowa,17,49
Caffe Mocha,Small Market,Iowa,21,53
Caffe Mocha,Small Market,Iowa,18,49
Caffe Mocha,Small Market,Iowa,25,57
Caffe Mocha,Small Market,Iowa,27,62
Caffe Mocha,Small Market,Iowa,27,62
Caffe Mocha,Small Market,Iowa,24,60
Caffe Mocha,Small Market,Iowa,25,62
Decaf Espresso,Small Market,Iowa,10,43
Decaf Espresso,Small Market,Iowa,32,43
Decaf Espresso,Small Market,Iowa,32,43
Decaf Espresso,Small Market,Iowa,32,43
Decaf Espresso,Small Market,Iowa,31,43
Decaf Espresso,Small Market,Iowa,31,43
Decaf Espresso,Small Market,Iowa,31,43
Decaf Espresso,Small Market,Iowa,31,43
Decaf Espresso,Small Market,Iowa,32,43
Decaf Espresso,Small Market,Iowa,31,43
Decaf Espresso,Small Market,Iowa,31,43
Decaf Espresso,Small Market,Iowa,32,43
Decaf Espresso,Small Market,Iowa,16,48
Decaf Espresso,Small Market,Iowa,47,46
Decaf Espresso,Small Market,Iowa,47,46
Decaf Espresso,Small Market,Iowa,47,46
Decaf Espresso,Small Market,Iowa,43,43
Decaf Espresso,Small Market,Iowa,43,43
Decaf Espresso,Small Market,Iowa,43,43
Decaf Espresso,Small Market,Iowa,43,43
Decaf Espresso,Small Market,Iowa,47,46
Decaf Espresso,Small Market,Iowa,46,46
Decaf Espresso,Small Market,Iowa,46,46
Decaf Espresso,Small Market,Iowa,47,46
Chamomile,Small Market,Iowa,202,546
Chamomile,Small Market,Iowa,201,545
Chamomile,Small Market,Iowa,212,567
Chamomile,Small Market,Iowa,220,587
Chamomile,Small Market,Iowa,231,612
Chamomile,Small Market,Iowa,241,634
Chamomile,Small Market,Iowa,258,678
Chamomile,Small Market,Iowa,262,687
Chamomile,Small Market,Iowa,220,589
Chamomile,Small Market,Iowa,224,598
Chamomile,Small Market,Iowa,196,532
Chamomile,Small Market,Iowa,216,576
Chamomile,Small Market,Iowa,315,611
Chamomile,Small Market,Iowa,298,581
Chamomile,Small Market,Iowa,315,604
Chamomile,Small Market,Iowa,326,626
Chamomile,Small Market,Iowa,319,607
Chamomile,Small Market,Iowa,333,628
Chamomile,Small Market,Iowa,356,672
Chamomile,Small Market,Iowa,362,681
Chamomile,Small Market,Iowa,326,628
Chamomile,Small Market,Iowa,332,637
Chamomile,Small Market,Iowa,291,567
Chamomile,Small Market,Iowa,321,614
Lemon,Small Market,Iowa,86,234
Lemon,Small Market,Iowa,95,254
Lemon,Small Market,Iowa,102,267
Lemon,Small Market,Iowa,115,301
Lemon,Small Market,Iowa,122,312
Lemon,Small Market,Iowa,136,345
Lemon,Small Market,Iowa,150,376
Lemon,Small Market,Iowa,151,376
Lemon,Small Market,Iowa,115,298
Lemon,Small Market,Iowa,114,298
Lemon,Small Market,Iowa,107,278
Lemon,Small Market,Iowa,123,312
Lemon,Small Market,Iowa,134,262
Lemon,Small Market,Iowa,141,271
Lemon,Small Market,Iowa,151,285
Lemon,Small Market,Iowa,171,321
Lemon,Small Market,Iowa,168,309
Lemon,Small Market,Iowa,188,342
Lemon,Small Market,Iowa,207,373
Lemon,Small Market,Iowa,208,373
Lemon,Small Market,Iowa,171,318
Lemon,Small Market,Iowa,169,318
Lemon,Small Market,Iowa,159,296
Lemon,Small Market,Iowa,183,332
Earl Grey,Small Market,Iowa,175,546
Earl Grey,Small Market,Iowa,169,534
Earl Grey,Small Market,Iowa,175,546
Earl Grey,Small Market,Iowa,186,578
Earl Grey,Small Market,Iowa,190,589
Earl Grey,Small Market,Iowa,197,603
Earl Grey,Small Market,Iowa,197,602
Earl Grey,Small Market,Iowa,207,632
Earl Grey,Small Market,Iowa,223,672
Earl Grey,Small Market,Iowa,183,567
Earl Grey,Small Market,Iowa,173,545
Earl Grey,Small Market,Iowa,216,654
Earl Grey,Small Market,Iowa,273,611
Earl Grey,Small Market,Iowa,251,569
Earl Grey,Small Market,Iowa,260,582
Earl Grey,Small Market,Iowa,276,616
Earl Grey,Small Market,Iowa,262,584
Earl Grey,Small Market,Iowa,272,598
Earl Grey,Small Market,Iowa,272,597
Earl Grey,Small Market,Iowa,286,626
Earl Grey,Small Market,Iowa,331,716
Earl Grey,Small Market,Iowa,272,604
Earl Grey,Small Market,Iowa,257,581
Earl Grey,Small Market,Iowa,321,697
Amaretto,Major Market,Ohio,34,140
Amaretto,Major Market,Ohio,33,140
Amaretto,Major Market,Ohio,32,134
Amaretto,Major Market,Ohio,28,129
Amaretto,Major Market,Ohio,27,123
Amaretto,Major Market,Ohio,24,118
Amaretto,Major Market,Ohio,20,110
Amaretto,Major Market,Ohio,19,108
Amaretto,Major Market,Ohio,28,125
Amaretto,Major Market,Ohio,26,123
Amaretto,Major Market,Ohio,33,138
Amaretto,Major Market,Ohio,29,127
Amaretto,Major Market,Ohio,53,157
Amaretto,Major Market,Ohio,49,149
Amaretto,Major Market,Ohio,47,143
Amaretto,Major Market,Ohio,42,137
Amaretto,Major Market,Ohio,37,122
Amaretto,Major Market,Ohio,33,117
Amaretto,Major Market,Ohio,28,109
Amaretto,Major Market,Ohio,26,107
Amaretto,Major Market,Ohio,42,133
Amaretto,Major Market,Ohio,39,131
Amaretto,Major Market,Ohio,49,147
Amaretto,Major Market,Ohio,43,135
Colombian,Major Market,Ohio,42,140
Colombian,Major Market,Ohio,38,128
Colombian,Major Market,Ohio,35,121
Colombian,Major Market,Ohio,27,107
Colombian,Major Market,Ohio,24,103
Colombian,Major Market,Ohio,19,93
Colombian,Major Market,Ohio,18,85
Colombian,Major Market,Ohio,19,85
Colombian,Major Market,Ohio,29,107
Colombian,Major Market,Ohio,28,107
Colombian,Major Market,Ohio,32,114
Colombian,Major Market,Ohio,24,101
Colombian,Major Market,Ohio,65,157
Colombian,Major Market,Ohio,56,136
Colombian,Major Market,Ohio,52,129
Colombian,Major Market,Ohio,40,114
Colombian,Major Market,Ohio,33,102
Colombian,Major Market,Ohio,26,92
Colombian,Major Market,Ohio,25,84
Colombian,Major Market,Ohio,26,84
Colombian,Major Market,Ohio,43,114
Colombian,Major Market,Ohio,42,114
Colombian,Major Market,Ohio,47,121
Colombian,Major Market,Ohio,36,108
Caffe Mocha,Major Market,Ohio,99,341
Caffe Mocha,Major Market,Ohio,98,340
Caffe Mocha,Major Market,Ohio,94,325
Caffe Mocha,Major Market,Ohio,93,325
Caffe Mocha,Major Market,Ohio,84,298
Caffe Mocha,Major Market,Ohio,83,298
Caffe Mocha,Major Market,Ohio,81,291
Caffe Mocha,Major Market,Ohio,81,291
Caffe Mocha,Major Market,Ohio,87,310
Caffe Mocha,Major Market,Ohio,92,322
Caffe Mocha,Major Market,Ohio,107,363
Caffe Mocha,Major Market,Ohio,87,306
Caffe Mocha,Major Market,Ohio,154,382
Caffe Mocha,Major Market,Ohio,145,362
Caffe Mocha,Major Market,Ohio,140,346
Caffe Mocha,Major Market,Ohio,138,346
Caffe Mocha,Major Market,Ohio,116,295
Caffe Mocha,Major Market,Ohio,115,295
Caffe Mocha,Major Market,Ohio,112,288
Caffe Mocha,Major Market,Ohio,112,288
Caffe Mocha,Major Market,Ohio,129,330
Caffe Mocha,Major Market,Ohio,137,343
Caffe Mocha,Major Market,Ohio,159,387
Caffe Mocha,Major Market,Ohio,129,326
Decaf Espresso,Major Market,Ohio,16,130
Decaf Espresso,Major Market,Ohio,18,132
Decaf Espresso,Major Market,Ohio,15,129
Decaf Espresso,Major Market,Ohio,13,121
Decaf Espresso,Major Market,Ohio,11,118
Decaf Espresso,Major Market,Ohio,12,115
Decaf Espresso,Major Market,Ohio,11,115
Decaf Espresso,Major Market,Ohio,8,109
Decaf Espresso,Major Market,Ohio,6,102
Decaf Espresso,Major Market,Ohio,12,120
Decaf Espresso,Major Market,Ohio,16,124
Decaf Espresso,Major Market,Ohio,6,103
Decaf Espresso,Major Market,Ohio,25,145
Decaf Espresso,Major Market,Ohio,27,141
Decaf Espresso,Major Market,Ohio,22,137
Decaf Espresso,Major Market,Ohio,19,129
Decaf Espresso,Major Market,Ohio,15,117
Decaf Espresso,Major Market,Ohio,17,114
Decaf Espresso,Major Market,Ohio,15,114
Decaf Espresso,Major Market,Ohio,11,108
Decaf Espresso,Major Market,Ohio,9,109
Decaf Espresso,Major Market,Ohio,18,128
Decaf Espresso,Major Market,Ohio,24,132
Decaf Espresso,Major Market,Ohio,9,110
Chamomile,Major Market,Ohio,29,80
Chamomile,Major Market,Ohio,17,56
Chamomile,Major Market,Ohio,15,53
Chamomile,Major Market,Ohio,16,53
Chamomile,Major Market,Ohio,12,49
Chamomile,Major Market,Ohio,9,44
Chamomile,Major Market,Ohio,9,44
Chamomile,Major Market,Ohio,9,41
Chamomile,Major Market,Ohio,14,50
Chamomile,Major Market,Ohio,16,53
Chamomile,Major Market,Ohio,29,80
Chamomile,Major Market,Ohio,25,73
Chamomile,Major Market,Ohio,45,90
Chamomile,Major Market,Ohio,25,60
Chamomile,Major Market,Ohio,22,56
Chamomile,Major Market,Ohio,24,56
Chamomile,Major Market,Ohio,17,49
Chamomile,Major Market,Ohio,12,44
Chamomile,Major Market,Ohio,12,44
Chamomile,Major Market,Ohio,12,41
Chamomile,Major Market,Ohio,21,53
Chamomile,Major Market,Ohio,24,56
Chamomile,Major Market,Ohio,43,85
Chamomile,Major Market,Ohio,37,78
Lemon,Major Market,Ohio,29,80
Lemon,Major Market,Ohio,28,80
Lemon,Major Market,Ohio,28,79
Lemon,Major Market,Ohio,26,75
Lemon,Major Market,Ohio,23,71
Lemon,Major Market,Ohio,18,60
Lemon,Major Market,Ohio,16,57
Lemon,Major Market,Ohio,16,55
Lemon,Major Market,Ohio,23,72
Lemon,Major Market,Ohio,20,66
Lemon,Major Market,Ohio,30,88
Lemon,Major Market,Ohio,29,82
Lemon,Major Market,Ohio,45,90
Lemon,Major Market,Ohio,42,85
Lemon,Major Market,Ohio,42,84
Lemon,Major Market,Ohio,39,80
Lemon,Major Market,Ohio,32,70
Lemon,Major Market,Ohio,25,59
Lemon,Major Market,Ohio,22,56
Lemon,Major Market,Ohio,22,55
Lemon,Major Market,Ohio,34,77
Lemon,Major Market,Ohio,30,70
Lemon,Major Market,Ohio,45,94
Lemon,Major Market,Ohio,43,87
Earl Grey,Major Market,Ohio,67,200
Earl Grey,Major Market,Ohio,71,206
Earl Grey,Major Market,Ohio,74,214
Earl Grey,Major Market,Ohio,97,267
Earl Grey,Major Market,Ohio,101,273
Earl Grey,Major Market,Ohio,105,282
Earl Grey,Major Market,Ohio,128,336
Earl Grey,Major Market,Ohio,103,277
Earl Grey,Major Market,Ohio,81,230
Earl Grey,Major Market,Ohio,76,218
Earl Grey,Major Market,Ohio,89,245
Earl Grey,Major Market,Ohio,121,320
Earl Grey,Major Market,Ohio,104,224
Earl Grey,Major Market,Ohio,105,220
Earl Grey,Major Market,Ohio,110,228
Earl Grey,Major Market,Ohio,144,285
Earl Grey,Major Market,Ohio,139,271
Earl Grey,Major Market,Ohio,145,279
Earl Grey,Major Market,Ohio,177,333
Earl Grey,Major Market,Ohio,142,275
Earl Grey,Major Market,Ohio,120,245
Earl Grey,Major Market,Ohio,113,232
Earl Grey,Major Market,Ohio,132,261
Earl Grey,Major Market,Ohio,180,341
Amaretto,Small Market,Utah,47,170
Amaretto,Small Market,Utah,46,165
Amaretto,Small Market,Utah,45,163
Amaretto,Small Market,Utah,47,167
Amaretto,Small Market,Utah,38,148
Amaretto,Small Market,Utah,36,142
Amaretto,Small Market,Utah,32,132
Amaretto,Small Market,Utah,24,110
Amaretto,Small Market,Utah,33,136
Amaretto,Small Market,Utah,36,142
Amaretto,Small Market,Utah,39,150
Amaretto,Small Market,Utah,36,139
Amaretto,Small Market,Utah,73,190
Amaretto,Small Market,Utah,68,176
Amaretto,Small Market,Utah,67,174
Amaretto,Small Market,Utah,70,178
Amaretto,Small Market,Utah,52,147
Amaretto,Small Market,Utah,50,141
Amaretto,Small Market,Utah,44,131
Amaretto,Small Market,Utah,33,109
Amaretto,Small Market,Utah,49,145
Amaretto,Small Market,Utah,53,151
Amaretto,Small Market,Utah,58,160
Amaretto,Small Market,Utah,53,148
Colombian,Small Market,Utah,30,130
Colombian,Small Market,Utah,30,130
Colombian,Small Market,Utah,26,124
Colombian,Small Market,Utah,25,119
Colombian,Small Market,Utah,22,113
Colombian,Small Market,Utah,19,108
Colombian,Small Market,Utah,16,100
Colombian,Small Market,Utah,15,98
Colombian,Small Market,Utah,22,113
Colombian,Small Market,Utah,22,111
Colombian,Small Market,Utah,27,124
Colombian,Small Market,Utah,21,114
Colombian,Small Market,Utah,47,145
Colombian,Small Market,Utah,45,139
Colombian,Small Market,Utah,39,132
Colombian,Small Market,Utah,37,127
Colombian,Small Market,Utah,30,112
Colombian,Small Market,Utah,26,107
Colombian,Small Market,Utah,22,99
Colombian,Small Market,Utah,21,97
Colombian,Small Market,Utah,33,120
Colombian,Small Market,Utah,33,118
Colombian,Small Market,Utah,40,132
Colombian,Small Market,Utah,31,121
Green Tea,Small Market,Utah,-9,65
Green Tea,Small Market,Utah,-6,68
Green Tea,Small Market,Utah,-4,75
Green Tea,Small Market,Utah,-8,65
Green Tea,Small Market,Utah,-3,76
Green Tea,Small Market,Utah,-3,78
Green Tea,Small Market,Utah,1,89
Green Tea,Small Market,Utah,-9,65
Green Tea,Small Market,Utah,-13,54
Green Tea,Small Market,Utah,-12,56
Green Tea,Small Market,Utah,-3,76
Green Tea,Small Market,Utah,-15,45
Green Tea,Small Market,Utah,-14,73
Green Tea,Small Market,Utah,-9,72
Green Tea,Small Market,Utah,-6,80
Green Tea,Small Market,Utah,-12,69
Green Tea,Small Market,Utah,-4,75
Green Tea,Small Market,Utah,-4,77
Green Tea,Small Market,Utah,1,88
Green Tea,Small Market,Utah,-12,64
Green Tea,Small Market,Utah,-19,58
Green Tea,Small Market,Utah,-18,60
Green Tea,Small Market,Utah,-4,81
Green Tea,Small Market,Utah,-22,48
Caffe Mocha,Small Market,Utah,34,112
Caffe Mocha,Small Market,Utah,35,112
Caffe Mocha,Small Market,Utah,34,110
Caffe Mocha,Small Market,Utah,37,119
Caffe Mocha,Small Market,Utah,36,111
Caffe Mocha,Small Market,Utah,35,111
Caffe Mocha,Small Market,Utah,32,106
Caffe Mocha,Small Market,Utah,62,176
Caffe Mocha,Small Market,Utah,56,159
Caffe Mocha,Small Market,Utah,87,236
Caffe Mocha,Small Market,Utah,85,231
Caffe Mocha,Small Market,Utah,77,214
Caffe Mocha,Small Market,Utah,53,125
Caffe Mocha,Small Market,Utah,52,119
Caffe Mocha,Small Market,Utah,50,117
Caffe Mocha,Small Market,Utah,55,127
Caffe Mocha,Small Market,Utah,50,110
Caffe Mocha,Small Market,Utah,48,110
Caffe Mocha,Small Market,Utah,44,105
Caffe Mocha,Small Market,Utah,86,174
Caffe Mocha,Small Market,Utah,83,169
Caffe Mocha,Small Market,Utah,129,251
Caffe Mocha,Small Market,Utah,126,246
Caffe Mocha,Small Market,Utah,114,228
Decaf Espresso,Small Market,Utah,47,123
Decaf Espresso,Small Market,Utah,48,123
Decaf Espresso,Small Market,Utah,47,121
Decaf Espresso,Small Market,Utah,43,115
Decaf Espresso,Small Market,Utah,42,109
Decaf Espresso,Small Market,Utah,34,92
Decaf Espresso,Small Market,Utah,31,87
Decaf Espresso,Small Market,Utah,28,83
Decaf Espresso,Small Market,Utah,40,108
Decaf Espresso,Small Market,Utah,37,99
Decaf Espresso,Small Market,Utah,52,132
Decaf Espresso,Small Market,Utah,47,123
Decaf Espresso,Small Market,Utah,73,138
Decaf Espresso,Small Market,Utah,71,131
Decaf Espresso,Small Market,Utah,70,129
Decaf Espresso,Small Market,Utah,64,123
Decaf Espresso,Small Market,Utah,58,108
Decaf Espresso,Small Market,Utah,47,91
Decaf Espresso,Small Market,Utah,43,86
Decaf Espresso,Small Market,Utah,39,82
Decaf Espresso,Small Market,Utah,59,115
Decaf Espresso,Small Market,Utah,55,106
Decaf Espresso,Small Market,Utah,77,141
Decaf Espresso,Small Market,Utah,70,131
Chamomile,Small Market,Utah,21,93
Chamomile,Small Market,Utah,24,101
Chamomile,Small Market,Utah,28,107
Chamomile,Small Market,Utah,34,121
Chamomile,Small Market,Utah,34,125
Chamomile,Small Market,Utah,42,138
Chamomile,Small Market,Utah,48,151
Chamomile,Small Market,Utah,49,151
