Gender,Primary_Device,Exceeded_Recommended_Limit,Health_Impacts,Avg_Daily_Screen_Time_hr
Male,TV,TRUE,Poor Sleep,6.25
Male,Tablet,TRUE,Poor Sleep,5.86
Female,Smartphone,TRUE,Poor Sleep,6.94
Male,TV,TRUE,Poor Sleep,7.05
Male,Smartphone,TRUE,Poor Sleep,5.41
Female,TV,TRUE,Poor Sleep,4.75
Male,TV,TRUE,Poor Sleep,5.33
Male,Smartphone,TRUE,Poor Sleep,5.43
Female,Smartphone,TRUE,Poor Sleep,3.4
Male,Smartphone,TRUE,Poor Sleep,5.85
Male,Smartphone,TRUE,Poor Sleep,4.3
Male,Smartphone,TRUE,Poor Sleep,3.72
Male,TV,TRUE,Poor Sleep,3.05
Male,Laptop,TRUE,Poor Sleep,5.01
Male,Smartphone,TRUE,Poor Sleep,6.21
Female,TV,TRUE,Poor Sleep,5.35
Male,Laptop,TRUE,Poor Sleep,3.45
Female,Smartphone,TRUE,Poor Sleep,6.14
Male,Smartphone,TRUE,Poor Sleep,3.83
Male,Smartphone,TRUE,Poor Sleep,5.09
Male,Laptop,TRUE,Poor Sleep,5.51
Female,Smartphone,TRUE,Poor Sleep,3.11
Male,Smartphone,TRUE,Poor Sleep,4.87
Female,Laptop,TRUE,Poor Sleep,6.32
Female,Laptop,TRUE,Poor Sleep,6.19
Male,Smartphone,TRUE,Poor Sleep,7.64
Male,TV,TRUE,Poor Sleep,6.81
Female,TV,TRUE,Poor Sleep,7.32
Male,Smartphone,TRUE,Poor Sleep,4.17
Male,Tablet,TRUE,Poor Sleep,8.55
Female,Smartphone,TRUE,Poor Sleep,4.76
Male,Laptop,TRUE,Poor Sleep,4.11
Female,Smartphone,TRUE,Poor Sleep,4.45
Male,TV,TRUE,Poor Sleep,8.51
Male,Tablet,TRUE,Poor Sleep,5.7
Male,Smartphone,TRUE,Poor Sleep,3.44
Male,Tablet,TRUE,Poor Sleep,4.26
Male,Smartphone,TRUE,Poor Sleep,3.39
Male,Laptop,TRUE,Poor Sleep,3.37
Male,Laptop,TRUE,Poor Sleep,4.71
Male,Smartphone,TRUE,Poor Sleep,4.41
Male,Laptop,TRUE,Poor Sleep,3.48
Female,Smartphone,TRUE,Poor Sleep,4.11
Female,Smartphone,TRUE,Poor Sleep,4.61
Male,TV,TRUE,Poor Sleep,3.91
Male,TV,TRUE,Poor Sleep,5.92
Female,TV,TRUE,Poor Sleep,4.06
Male,Smartphone,TRUE,Poor Sleep,4.35
Male,Smartphone,TRUE,Poor Sleep,3.71
Male,Smartphone,TRUE,Poor Sleep,4.8
Male,Laptop,TRUE,Poor Sleep,7.07
Female,Tablet,TRUE,Poor Sleep,6.49
Female,TV,TRUE,Poor Sleep,4.0
Male,Smartphone,TRUE,Poor Sleep,7.12
Male,Smartphone,TRUE,Poor Sleep,5.39
Male,TV,TRUE,Poor Sleep,7.77
Male,Smartphone,TRUE,Poor Sleep,5.08
Female,Smartphone,TRUE,Poor Sleep,3.14
Female,TV,TRUE,Poor Sleep,4.6
Male,TV,TRUE,Poor Sleep,3.64
Male,Smartphone,TRUE,Poor Sleep,3.32
Female,TV,TRUE,Poor Sleep,3.62
Female,TV,TRUE,Poor Sleep,4.02
Male,Smartphone,TRUE,Poor Sleep,7.08
Female,Smartphone,TRUE,Poor Sleep,4.91
Female,Laptop,TRUE,Poor Sleep,5.41
Female,Smartphone,TRUE,Poor Sleep,5.84
Female,TV,TRUE,Poor Sleep,4.45
Female,Smartphone,TRUE,Poor Sleep,4.08
Male,Smartphone,TRUE,Poor Sleep,4.21
Female,Smartphone,TRUE,Poor Sleep,4.29
Male,TV,TRUE,Poor Sleep,3.41
Male,Smartphone,TRUE,Poor Sleep,4.33
Male,Tablet,TRUE,Poor Sleep,3.25
Female,Smartphone,TRUE,Poor Sleep,4.18
Female,Laptop,TRUE,Poor Sleep,3.79
Male,Smartphone,TRUE,Poor Sleep,4.27
Female,Laptop,TRUE,Poor Sleep,5.82
Female,Laptop,TRUE,Poor Sleep,6.12
Female,Smartphone,TRUE,Poor Sleep,6.42
Male,Smartphone,TRUE,Poor Sleep,5.65
Male,Tablet,TRUE,Poor Sleep,4.56
Female,Laptop,TRUE,Poor Sleep,5.25
Female,Tablet,TRUE,Poor Sleep,5.88
Female,Tablet,TRUE,Poor Sleep,3.08
Male,Smartphone,TRUE,Poor Sleep,4.93
Female,Tablet,TRUE,Poor Sleep,3.72
Male,Smartphone,TRUE,Poor Sleep,3.81
Female,TV,TRUE,Poor Sleep,4.99
Female,Smartphone,TRUE,Poor Sleep,4.73
Female,TV,TRUE,Poor Sleep,5.11
Female,Smartphone,TRUE,Poor Sleep,3.7
Female,TV,TRUE,Poor Sleep,3.27
Female,Smartphone,TRUE,Poor Sleep,4.19
Female,Laptop,TRUE,Poor Sleep,3.99
Female,Tablet,TRUE,Poor Sleep,6.32
Female,TV,TRUE,Poor Sleep,8.26
Male,Laptop,TRUE,Poor Sleep,4.26
Male,Smartphone,TRUE,Poor Sleep,4.51
Female,Smartphone,TRUE,Poor Sleep,4.1
Female,Smartphone,TRUE,Poor Sleep,5.91
Female,Smartphone,TRUE,Poor Sleep,7.73
Female,Smartphone,TRUE,Poor Sleep,4.17
Male,TV,TRUE,Poor Sleep,3.82
Male,Smartphone,TRUE,Poor Sleep,5.05
Male,Laptop,TRUE,Poor Sleep,5.69
Male,TV,TRUE,Poor Sleep,3.21
Male,Smartphone,TRUE,Poor Sleep,3.96
Male,Smartphone,TRUE,Poor Sleep,3.26
Male,TV,TRUE,Poor Sleep,4.87
Male,Smartphone,TRUE,Poor Sleep,4.75
Female,Smartphone,TRUE,Poor Sleep,5.35
Female,TV,TRUE,Poor Sleep,3.39
Female,Smartphone,TRUE,Poor Sleep,3.77
Male,Smartphone,TRUE,Poor Sleep,5.13
Female,Tablet,TRUE,Poor Sleep,5.68
Female,Laptop,TRUE,Poor Sleep,5.25
Female,Smartphone,TRUE,Poor Sleep,3.31
Male,Smartphone,TRUE,Poor Sleep,4.58
Male,Tablet,TRUE,Poor Sleep,6.59
Female,Tablet,TRUE,Poor Sleep,6.46
Female,Laptop,TRUE,Poor Sleep,7.55
Female,Laptop,TRUE,Poor Sleep,5.22
Male,Smartphone,TRUE,Poor Sleep,4.97
Male,TV,TRUE,Poor Sleep,4.19
Male,TV,TRUE,Poor Sleep,4.75
Male,Smartphone,TRUE,Poor Sleep,5.54
Female,TV,TRUE,Poor Sleep,4.27
Female,Smartphone,TRUE,Poor Sleep,6.56
Female,Smartphone,TRUE,Poor Sleep,3.62
Male,Smartphone,TRUE,Poor Sleep,3.94
Female,Smartphone,TRUE,Poor Sleep,4.04
Female,TV,TRUE,Poor Sleep,4.98
Male,Smartphone,TRUE,Poor Sleep,4.9
Female,Smartphone,TRUE,Poor Sleep,11.77
Male,TV,TRUE,Poor Sleep,4.12
Male,Smartphone,TRUE,Poor Sleep,6.64
Male,TV,TRUE,Poor Sleep,3.18
Male,TV,TRUE,Poor Sleep,5.13
Female,Smartphone,TRUE,Poor Sleep,5.55
Female,TV,TRUE,Poor Sleep,5.05
Female,TV,TRUE,Poor Sleep,3.22
Female,Smartphone,TRUE,Poor Sleep,4.0
Female,Tablet,TRUE,Poor Sleep,6.9
Female,TV,TRUE,Poor Sleep,3.05
Male,Smartphone,TRUE,Poor Sleep,4.61
Female,TV,TRUE,Poor Sleep,5.62
Male,Smartphone,TRUE,Poor Sleep,5.18
Female,Smartphone,TRUE,Poor Sleep,3.01
Male,Tablet,TRUE,Poor Sleep,3.56
Male,Smartphone,TRUE,Poor Sleep,5.15
Male,Laptop,TRUE,Poor Sleep,4.15
Female,Laptop,TRUE,Poor Sleep,4.75
Male,Smartphone,TRUE,Poor Sleep,5.5
Male,Smartphone,TRUE,Poor Sleep,5.15
Female,Smartphone,TRUE,Poor Sleep,4.53
Female,Smartphone,TRUE,Poor Sleep,3.2
Male,TV,TRUE,Poor Sleep,5.13
Male,TV,TRUE,Poor Sleep,6.44
Female,Smartphone,TRUE,Poor Sleep,3.38
Male,Smartphone,TRUE,Poor Sleep,6.84
Female,TV,TRUE,Poor Sleep,4.57
Male,Smartphone,TRUE,Poor Sleep,4.59
Female,TV,TRUE,Poor Sleep,3.6
Female,Tablet,TRUE,Poor Sleep,5.96
Male,TV,TRUE,Poor Sleep,3.55
Male,TV,TRUE,Poor Sleep,5.52
Male,TV,TRUE,Poor Sleep,5.37
Female,Smartphone,TRUE,Poor Sleep,8.08
Male,Smartphone,TRUE,Poor Sleep,5.75
Female,TV,TRUE,Poor Sleep,6.05
Female,Smartphone,TRUE,Poor Sleep,6.79
Female,Tablet,TRUE,Poor Sleep,4.64
Female,TV,TRUE,Poor Sleep,7.0
Male,Laptop,TRUE,Poor Sleep,5.05
Female,Tablet,TRUE,Poor Sleep,7.23
Male,TV,TRUE,Poor Sleep,4.38
Female,Laptop,TRUE,Poor Sleep,5.45
Female,Smartphone,TRUE,Poor Sleep,4.27
Female,Laptop,TRUE,Poor Sleep,4.05
Male,Smartphone,TRUE,Poor Sleep,5.87
Female,Tablet,TRUE,Poor Sleep,3.68
Female,Laptop,TRUE,Poor Sleep,4.07
Female,Laptop,TRUE,Poor Sleep,3.21
Female,Smartphone,TRUE,Poor Sleep,3.09
Male,Smartphone,TRUE,Poor Sleep,4.21
Female,Laptop,TRUE,Poor Sleep,3.27
Male,Smartphone,TRUE,Poor Sleep,4.53
Female,Smartphone,TRUE,Poor Sleep,4.69
Male,Smartphone,TRUE,Poor Sleep,4.98
Male,TV,TRUE,Poor Sleep,3.57
Female,Laptop,TRUE,Poor Sleep,3.83
Male,Laptop,TRUE,Poor Sleep,4.45
Female,Laptop,TRUE,Poor Sleep,5.38
Male,TV,TRUE,Poor Sleep,5.44
Male,Tablet,TRUE,Poor Sleep,4.42
Female,TV,TRUE,Poor Sleep,5.18
Female,Smartphone,TRUE,Poor Sleep,3.64
Female,Laptop,TRUE,Poor Sleep,5.25
Female,Smartphone,TRUE,Poor Sleep,4.54
Female,Laptop,TRUE,Poor Sleep,4.52
Male,Smartphone,TRUE,Poor Sleep,5.18
Male,Smartphone,TRUE,Poor Sleep,3.65
Male,Tablet,TRUE,Poor Sleep,3.64
Male,Smartphone,TRUE,Poor Sleep,4.95
Male,TV,TRUE,Poor Sleep,4.54
Male,Tablet,TRUE,Poor Sleep,5.75
Male,Smartphone,TRUE,Poor Sleep,7.58
Male,Smartphone,TRUE,Poor Sleep,4.83
Female,Smartphone,TRUE,Poor Sleep,7.54
Male,TV,TRUE,Poor Sleep,3.22
Female,TV,TRUE,Poor Sleep,5.7
Female,Tablet,TRUE,Poor Sleep,5.06
Female,Smartphone,TRUE,Poor Sleep,5.25
Female,TV,TRUE,Poor Sleep,7.8
Female,Tablet,TRUE,Poor Sleep,3.36
Male,Smartphone,TRUE,Poor Sleep,5.51
Male,TV,TRUE,Poor Sleep,3.55
Male,Smartphone,TRUE,Poor Sleep,4.24
Female,Smartphone,TRUE,Poor Sleep,3.64
Male,TV,TRUE,Poor Sleep,5.31
Male,Smartphone,TRUE,Poor Sleep,4.21
Female,TV,TRUE,Poor Sleep,5.4
Female,Smartphone,TRUE,Poor Sleep,4.98
Female,Laptop,TRUE,Poor Sleep,5.05
Male,Tablet,TRUE,Poor Sleep,4.95
Male,Smartphone,TRUE,Poor Sleep,3.84
Male,TV,TRUE,Poor Sleep,5.65
Male,Laptop,TRUE,Poor Sleep,3.8
Female,Smartphone,TRUE,Poor Sleep,4.68
Female,Tablet,TRUE,Poor Sleep,4.52
Male,Smartphone,TRUE,Poor Sleep,5.9
Male,TV,TRUE,Poor Sleep,3.93
Male,Laptop,TRUE,Poor Sleep,4.08
Female,TV,TRUE,Poor Sleep,4.66
Female,Smartphone,TRUE,Poor Sleep,5.36
Male,Laptop,TRUE,Poor Sleep,4.09
Female,Smartphone,TRUE,Poor Sleep,5.38
Male,Smartphone,TRUE,Poor Sleep,3.33
Female,TV,TRUE,Poor Sleep,3.93
Female,Smartphone,TRUE,Poor Sleep,6.84
Female,Smartphone,TRUE,Poor Sleep,3.57
Female,Smartphone,TRUE,Poor Sleep,5.28
Female,Tablet,TRUE,Poor Sleep,5.3
Female,TV,TRUE,Poor Sleep,3.76
Female,Tablet,TRUE,Poor Sleep,5.3
Male,Smartphone,TRUE,Poor Sleep,3.92
Male,TV,TRUE,Poor Sleep,3.6
Male,Smartphone,TRUE,Poor Sleep,4.66
Male,Smartphone,TRUE,Poor Sleep,4.41
Male,TV,TRUE,Poor Sleep,6.38
Female,TV,TRUE,Poor Sleep,4.21
Male,Tablet,TRUE,Poor Sleep,6.91
Male,Tablet,TRUE,Poor Sleep,6.07
Male,Smartphone,TRUE,Poor Sleep,4.04
Female,Laptop,TRUE,Poor Sleep,5.7
Male,Smartphone,TRUE,Poor Sleep,7.09
Male,TV,TRUE,Poor Sleep,4.45
Female,Tablet,TRUE,Poor Sleep,7.85
Female,TV,TRUE,Poor Sleep,5.19
Female,Laptop,TRUE,Poor Sleep,6.0
Female,Laptop,TRUE,Poor Sleep,4.84
Male,TV,TRUE,Poor Sleep,4.96
Male,Smartphone,TRUE,Poor Sleep,3.93
Female,Smartphone,TRUE,Poor Sleep,5.78
Male,Laptop,TRUE,Poor Sleep,4.3
Male,TV,TRUE,Poor Sleep,4.72
Male,Laptop,TRUE,Poor Sleep,3.37
Female,TV,TRUE,Poor Sleep,9.19
Female,TV,TRUE,Poor Sleep,4.51
Female,Smartphone,TRUE,Poor Sleep,5.29
Male,Smartphone,TRUE,Poor Sleep,6.07
Female,Smartphone,TRUE,Poor Sleep,4.84
Female,Laptop,TRUE,Poor Sleep,5.34
Female,TV,TRUE,Poor Sleep,6.56
Male,Laptop,TRUE,Poor Sleep,4.63
Female,Tablet,TRUE,Poor Sleep,8.92
Male,Smartphone,TRUE,Poor Sleep,9.8
Male,Smartphone,TRUE,Poor Sleep,3.17
Male,Tablet,TRUE,Poor Sleep,7.57
Female,Smartphone,TRUE,Poor Sleep,4.03
Female,Laptop,TRUE,Poor Sleep,4.91
Male,Smartphone,TRUE,Poor Sleep,4.51
Female,Laptop,TRUE,Poor Sleep,5.66
Female,Smartphone,TRUE,Poor Sleep,3.12
Female,Smartphone,TRUE,Poor Sleep,4.44
Female,TV,TRUE,Poor Sleep,4.33
Male,Tablet,TRUE,Poor Sleep,5.91
Female,TV,TRUE,Poor Sleep,7.3
Male,Smartphone,TRUE,Poor Sleep,4.65
Male,Tablet,TRUE,Poor Sleep,5.01
Male,Laptop,TRUE,Poor Sleep,3.99
Male,Smartphone,TRUE,Poor Sleep,3.64
Female,Smartphone,TRUE,Poor Sleep,5.42
Female,TV,TRUE,Poor Sleep,4.48
Male,TV,TRUE,Poor Sleep,4.75
Male,TV,TRUE,Poor Sleep,4.84
Male,Smartphone,TRUE,Poor Sleep,5.44
Male,Laptop,TRUE,Poor Sleep,4.32
Male,TV,TRUE,Poor Sleep,4.77
Female,Smartphone,TRUE,Poor Sleep,4.93
Female,TV,TRUE,Poor Sleep,5.11
Male,TV,TRUE,Poor Sleep,5.83
Female,TV,TRUE,Poor Sleep,8.0
Male,Tablet,TRUE,Poor Sleep,4.69
Male,Smartphone,TRUE,Poor Sleep,3.47
Female,Smartphone,TRUE,Poor Sleep,5.87
Female,Smartphone,TRUE,Poor Sleep,6.77
Male,Smartphone,TRUE,Poor Sleep,4.32
Female,Laptop,TRUE,Poor Sleep,3.82
Male,Smartphone,TRUE,Poor Sleep,4.46
Male,Laptop,TRUE,Poor Sleep,5.66
Male,Smartphone,TRUE,Poor Sleep,5.72
Female,Tablet,TRUE,Poor Sleep,3.44
Male,TV,TRUE,Poor Sleep,3.2
Female,Laptop,TRUE,Poor Sleep,4.1
Female,TV,TRUE,Poor Sleep,6.47
Female,Smartphone,TRUE,Poor Sleep,3.73
Female,Laptop,TRUE,Poor Sleep,3.81
Male,Smartphone,TRUE,Poor Sleep,3.37
Female,Smartphone,TRUE,Poor Sleep,6.16
Female,Tablet,TRUE,Poor Sleep,5.16
Male,Smartphone,TRUE,Poor Sleep,5.18
Female,Tablet,TRUE,Poor Sleep,7.07
Female,Smartphone,TRUE,Poor Sleep,5.66
Male,TV,TRUE,Poor Sleep,4.96
Male,TV,TRUE,Poor Sleep,6.27
Male,TV,TRUE,Poor Sleep,3.8
Male,Smartphone,TRUE,Poor Sleep,7.9
Male,TV,TRUE,Poor Sleep,4.59
Male,Smartphone,TRUE,Poor Sleep,4.19
Female,TV,TRUE,Poor Sleep,3.39
Male,Laptop,TRUE,Poor Sleep,5.35
Female,TV,TRUE,Poor Sleep,4.99
Female,Smartphone,TRUE,Poor Sleep,5.13
Female,TV,TRUE,Poor Sleep,7.33
Female,Smartphone,TRUE,Poor Sleep,4.41
Female,TV,TRUE,Poor Sleep,4.75
Male,Tablet,TRUE,Poor Sleep,4.54
Female,TV,TRUE,Poor Sleep,5.2
Female,Tablet,TRUE,Poor Sleep,4.97
Male,TV,TRUE,Poor Sleep,3.04
Male,TV,TRUE,Poor Sleep,6.04
Male,TV,TRUE,Poor Sleep,4.99
Male,Laptop,TRUE,Poor Sleep,5.87
Male,Smartphone,TRUE,Poor Sleep,4.7
Male,TV,TRUE,Poor Sleep,3.49
Female,Smartphone,TRUE,Poor Sleep,6.34
Female,TV,TRUE,Poor Sleep,3.57
Male,Smartphone,TRUE,Poor Sleep,5.09
Male,TV,TRUE,Poor Sleep,3.62
Male,Smartphone,TRUE,Poor Sleep,6.84
Female,TV,TRUE,Poor Sleep,3.71
Male,Laptop,TRUE,Poor Sleep,3.42
Male,Smartphone,TRUE,Poor Sleep,6.36
Female,Smartphone,TRUE,Poor Sleep,4.34
Female,Smartphone,TRUE,Poor Sleep,9.6
Male,Laptop,TRUE,Poor Sleep,7.41
Female,Smartphone,TRUE,Poor Sleep,5.97
Male,TV,TRUE,Poor Sleep,4.24
Female,Smartphone,TRUE,Poor Sleep,6.86
Male,Smartphone,TRUE,Poor Sleep,4.85
Female,TV,TRUE,Poor Sleep,6.9
Male,Smartphone,TRUE,Poor Sleep,6.02
Female,Laptop,TRUE,Poor Sleep,3.05
Female,Smartphone,TRUE,Poor Sleep,3.44
Female,Tablet,TRUE,Poor Sleep,4.69
Male,Laptop,TRUE,Poor Sleep,6.4
Female,Smartphone,TRUE,Poor Sleep,4.72
