Income,Cars,Commute Distance,Age,Purchased Bike
10000,1,0-1 Miles,52,Yes
10000,1,0-1 Miles,39,Yes
60000,1,2-5 Miles,37,No
90000,3,5-10 Miles,56,Yes
40000,0,0-1 Miles,40,Yes
40000,2,5-10 Miles,65,Yes
30000,2,0-1 Miles,42,No
10000,1,2-5 Miles,52,No
10000,1,5-10 Miles,35,Yes
20000,2,0-1 Miles,42,No
20000,2,5-10 Miles,55,Yes
30000,2,5-10 Miles,60,Yes
40000,0,0-1 Miles,40,Yes
10000,1,0-1 Miles,26,Yes
40000,0,0-1 Miles,42,Yes
80000,3,10+ Miles,32,No
30000,0,1-2 Miles,37,Yes
40000,1,0-1 Miles,34,No
40000,0,0-1 Miles,37,Yes
40000,0,0-1 Miles,40,Yes
20000,2,5-10 Miles,60,No
30000,1,1-2 Miles,27,No
60000,1,5-10 Miles,43,Yes
100000,3,0-1 Miles,48,No
20000,2,1-2 Miles,32,No
100000,3,2-5 Miles,47,No
80000,3,0-1 Miles,40,No
10000,2,0-1 Miles,41,Yes
130000,4,0-1 Miles,59,No
10000,0,0-1 Miles,50,No
20000,1,0-1 Miles,54,Yes
10000,0,0-1 Miles,48,No
60000,1,5-10 Miles,44,Yes
20000,0,0-1 Miles,40,Yes
60000,1,0-1 Miles,38,Yes
40000,2,1-2 Miles,52,No
10000,1,2-5 Miles,25,Yes
10000,1,0-1 Miles,25,No
90000,1,2-5 Miles,47,Yes
100000,3,10+ Miles,35,No
70000,1,5-10 Miles,41,Yes
30000,0,0-1 Miles,47,No
130000,4,5-10 Miles,61,Yes
80000,2,2-5 Miles,61,No
10000,2,0-1 Miles,33,No
10000,1,2-5 Miles,27,No
50000,0,0-1 Miles,37,Yes
80000,2,5-10 Miles,52,Yes
20000,0,0-1 Miles,29,Yes
110000,3,5-10 Miles,48,No
160000,2,10+ Miles,55,Yes
10000,0,0-1 Miles,37,Yes
10000,0,0-1 Miles,44,No
30000,2,1-2 Miles,55,Yes
10000,1,0-1 Miles,38,No
40000,2,5-10 Miles,66,Yes
130000,4,10+ Miles,58,No
90000,1,2-5 Miles,47,Yes
30000,2,1-2 Miles,56,Yes
80000,2,10+ Miles,59,No
70000,4,10+ Miles,32,Yes
30000,1,0-1 Miles,44,Yes
30000,2,5-10 Miles,55,No
10000,0,0-1 Miles,36,Yes
80000,2,10+ Miles,62,No
70000,4,10+ Miles,41,No
10000,2,0-1 Miles,32,No
20000,0,0-1 Miles,25,Yes
50000,0,1-2 Miles,36,No
60000,1,0-1 Miles,67,Yes
100000,1,1-2 Miles,39,Yes
80000,3,10+ Miles,33,Yes
60000,3,2-5 Miles,31,No
10000,0,2-5 Miles,27,Yes
40000,0,1-2 Miles,33,Yes
60000,1,5-10 Miles,46,Yes
90000,1,2-5 Miles,51,No
30000,0,0-1 Miles,46,Yes
90000,2,10+ Miles,62,No
20000,2,1-2 Miles,26,Yes
40000,0,0-1 Miles,37,Yes
30000,0,0-1 Miles,42,Yes
80000,1,0-1 Miles,36,No
50000,0,0-1 Miles,36,Yes
30000,1,2-5 Miles,30,No
70000,4,10+ Miles,31,Yes
30000,0,0-1 Miles,65,Yes
80000,2,2-5 Miles,54,Yes
20000,3,5-10 Miles,54,No
20000,2,0-1 Miles,25,No
10000,0,0-1 Miles,48,No
10000,1,1-2 Miles,26,Yes
60000,1,5-10 Miles,43,Yes
10000,2,1-2 Miles,35,No
30000,0,0-1 Miles,42,No
70000,4,10+ Miles,39,No
30000,2,0-1 Miles,67,No
20000,0,1-2 Miles,63,No
20000,1,0-1 Miles,42,Yes
10000,2,0-1 Miles,43,No
20000,0,0-1 Miles,45,No
80000,3,10+ Miles,57,No
120000,3,10+ Miles,56,No
40000,0,0-1 Miles,38,Yes
30000,0,0-1 Miles,45,No
20000,0,0-1 Miles,27,Yes
90000,4,10+ Miles,35,Yes
10000,0,0-1 Miles,70,Yes
30000,0,0-1 Miles,44,Yes
10000,1,0-1 Miles,26,Yes
70000,3,5-10 Miles,46,No
30000,1,2-5 Miles,34,Yes
10000,0,0-1 Miles,37,No
30000,2,0-1 Miles,27,No
30000,1,0-1 Miles,39,Yes
20000,1,2-5 Miles,29,No
120000,2,10+ Miles,52,Yes
110000,4,2-5 Miles,48,Yes
130000,3,0-1 Miles,51,Yes
100000,4,10+ Miles,34,Yes
10000,3,1-2 Miles,62,No
70000,1,5-10 Miles,37,Yes
100000,1,1-2 Miles,78,Yes
130000,3,0-1 Miles,55,No
60000,4,2-5 Miles,31,No
100000,0,10+ Miles,59,Yes
20000,2,5-10 Miles,57,No
30000,0,0-1 Miles,47,Yes
20000,0,0-1 Miles,43,No
50000,0,0-1 Miles,36,Yes
100000,4,10+ Miles,56,No
150000,4,0-1 Miles,37,Yes
30000,0,0-1 Miles,43,No
40000,1,1-2 Miles,33,Yes
10000,0,1-2 Miles,51,No
70000,3,10+ Miles,39,No
40000,0,0-1 Miles,37,Yes
30000,2,0-1 Miles,42,No
20000,2,0-1 Miles,27,No
100000,1,5-10 Miles,47,Yes
70000,3,5-10 Miles,45,No
50000,0,0-1 Miles,37,Yes
10000,0,0-1 Miles,51,Yes
20000,1,1-2 Miles,28,No
10000,1,0-1 Miles,40,Yes
20000,1,2-5 Miles,30,No
30000,0,0-1 Miles,36,Yes
90000,0,0-1 Miles,37,Yes
10000,0,1-2 Miles,49,No
10000,0,0-1 Miles,37,Yes
100000,3,10+ Miles,35,Yes
30000,0,0-1 Miles,38,Yes
10000,2,0-1 Miles,43,No
20000,0,0-1 Miles,37,No
10000,2,0-1 Miles,34,No
70000,3,5-10 Miles,46,No
10000,0,0-1 Miles,49,No
60000,1,5-10 Miles,45,No
100000,4,2-5 Miles,48,No
30000,0,0-1 Miles,46,Yes
130000,0,5-10 Miles,48,No
30000,2,5-10 Miles,54,Yes
60000,1,0-1 Miles,46,Yes
40000,0,0-1 Miles,38,Yes
40000,0,0-1 Miles,42,Yes
10000,1,2-5 Miles,46,Yes
20000,1,2-5 Miles,36,Yes
110000,3,10+ Miles,32,Yes
60000,1,0-1 Miles,39,Yes
100000,0,2-5 Miles,36,Yes
90000,2,2-5 Miles,54,Yes
30000,2,5-10 Miles,69,No
10000,2,1-2 Miles,62,No
20000,0,0-1 Miles,28,Yes
30000,0,0-1 Miles,62,Yes
30000,2,0-1 Miles,40,No
80000,1,0-1 Miles,36,Yes
10000,2,5-10 Miles,58,No
90000,0,1-2 Miles,40,Yes
10000,1,0-1 Miles,66,No
40000,1,1-2 Miles,35,Yes
20000,1,2-5 Miles,47,Yes
120000,1,2-5 Miles,47,No
60000,1,5-10 Miles,46,No
20000,2,5-10 Miles,58,Yes
40000,2,5-10 Miles,52,Yes
80000,1,0-1 Miles,47,Yes
70000,1,5-10 Miles,41,No
50000,1,5-10 Miles,64,Yes
30000,0,0-1 Miles,35,Yes
130000,3,10+ Miles,54,No
30000,0,0-1 Miles,45,No
100000,0,2-5 Miles,40,Yes
160000,3,0-1 Miles,47,Yes
10000,2,0-1 Miles,41,Yes
40000,0,0-1 Miles,37,Yes
90000,0,1-2 Miles,38,Yes
40000,2,0-1 Miles,36,Yes
20000,0,0-1 Miles,26,Yes
30000,2,0-1 Miles,40,No
40000,2,1-2 Miles,36,No
90000,2,10+ Miles,59,No
80000,3,10+ Miles,32,No
10000,2,0-1 Miles,30,No
20000,2,1-2 Miles,35,Yes
130000,4,5-10 Miles,51,Yes
90000,1,5-10 Miles,47,No
80000,2,0-1 Miles,39,No
20000,2,0-1 Miles,34,No
10000,2,0-1 Miles,32,No
120000,4,5-10 Miles,50,Yes
20000,0,0-1 Miles,66,No
30000,1,2-5 Miles,30,No
30000,1,2-5 Miles,32,Yes
10000,2,1-2 Miles,35,No
30000,1,2-5 Miles,32,No
30000,1,2-5 Miles,31,Yes
20000,0,0-1 Miles,50,Yes
40000,0,0-1 Miles,43,Yes
60000,1,0-1 Miles,45,Yes
20000,2,0-1 Miles,42,No
30000,1,0-1 Miles,29,Yes
20000,0,0-1 Miles,28,Yes
10000,0,0-1 Miles,37,Yes
80000,2,2-5 Miles,53,No
40000,0,0-1 Miles,38,Yes
30000,1,1-2 Miles,39,No
80000,3,10+ Miles,32,No
150000,3,0-1 Miles,51,Yes
10000,2,1-2 Miles,33,No
90000,3,5-10 Miles,58,Yes
80000,3,10+ Miles,30,No
130000,0,2-5 Miles,48,Yes
30000,2,0-1 Miles,27,Yes
40000,1,0-1 Miles,33,Yes
40000,2,0-1 Miles,66,Yes
10000,1,0-1 Miles,38,Yes
40000,0,0-1 Miles,38,Yes
60000,1,0-1 Miles,45,Yes
130000,3,5-10 Miles,50,Yes
30000,2,5-10 Miles,60,Yes
20000,1,0-1 Miles,53,Yes
100000,1,10+ Miles,46,No
80000,3,0-1 Miles,40,No
40000,1,0-1 Miles,43,Yes
20000,1,2-5 Miles,30,No
80000,4,1-2 Miles,38,No
40000,1,0-1 Miles,89,No
20000,0,0-1 Miles,64,Yes
130000,3,5-10 Miles,51,Yes
30000,2,5-10 Miles,56,No
60000,2,5-10 Miles,43,No
70000,3,10+ Miles,30,Yes
30000,2,5-10 Miles,69,No
80000,2,10+ Miles,53,No
40000,0,0-1 Miles,37,Yes
10000,1,0-1 Miles,28,Yes
30000,0,0-1 Miles,43,No
120000,4,10+ Miles,34,Yes
20000,2,1-2 Miles,34,Yes
30000,0,0-1 Miles,64,No
80000,1,1-2 Miles,41,Yes
70000,1,5-10 Miles,38,No
70000,1,0-1 Miles,41,Yes
20000,0,0-1 Miles,51,No
10000,2,1-2 Miles,32,No
40000,0,0-1 Miles,38,Yes
30000,0,0-1 Miles,38,Yes
60000,1,2-5 Miles,38,Yes
10000,2,5-10 Miles,58,No
30000,1,1-2 Miles,39,Yes
40000,1,5-10 Miles,53,Yes
110000,4,10+ Miles,53,No
40000,0,0-1 Miles,80,No
10000,0,0-1 Miles,44,No
20000,0,0-1 Miles,44,No
30000,2,5-10 Miles,54,Yes
30000,0,0-1 Miles,37,Yes
40000,0,0-1 Miles,41,No
90000,0,0-1 Miles,36,Yes
40000,0,0-1 Miles,33,No
130000,4,0-1 Miles,52,No
20000,1,0-1 Miles,46,Yes
70000,2,5-10 Miles,43,No
40000,0,0-1 Miles,34,No
30000,2,5-10 Miles,67,No
40000,0,0-1 Miles,35,Yes
80000,3,0-1 Miles,40,No
60000,1,0-1 Miles,37,Yes
30000,2,5-10 Miles,67,No
30000,2,0-1 Miles,41,Yes
10000,1,0-1 Miles,51,Yes
100000,4,10+ Miles,59,No
10000,0,1-2 Miles,51,No
110000,3,10+ Miles,32,Yes
30000,1,2-5 Miles,34,Yes
10000,2,0-1 Miles,43,No
40000,2,0-1 Miles,67,No
30000,1,2-5 Miles,28,No
90000,0,0-1 Miles,36,Yes
110000,3,2-5 Miles,48,No
30000,1,2-5 Miles,31,No
30000,2,5-10 Miles,55,No
20000,0,0-1 Miles,28,Yes
110000,3,10+ Miles,34,Yes
30000,1,0-1 Miles,26,No
30000,2,5-10 Miles,53,Yes
10000,1,2-5 Miles,68,No
80000,2,5-10 Miles,50,Yes
30000,2,0-1 Miles,28,Yes
80000,0,0-1 Miles,40,Yes
70000,2,0-1 Miles,44,No
90000,3,10+ Miles,34,Yes
80000,2,5-10 Miles,52,Yes
80000,0,0-1 Miles,36,Yes
40000,1,0-1 Miles,43,Yes
30000,1,1-2 Miles,32,No
40000,1,1-2 Miles,32,Yes
130000,1,10+ Miles,48,No
40000,0,1-2 Miles,32,Yes
30000,0,0-1 Miles,46,No
40000,0,0-1 Miles,42,No
10000,0,0-1 Miles,36,Yes
40000,0,0-1 Miles,41,No
30000,2,0-1 Miles,69,No
70000,2,5-10 Miles,45,No
30000,1,2-5 Miles,34,No
80000,1,2-5 Miles,53,Yes
120000,4,5-10 Miles,50,No
20000,0,0-1 Miles,65,No
120000,4,10+ Miles,32,Yes
80000,3,10+ Miles,33,No
20000,2,1-2 Miles,31,Yes
120000,2,0-1 Miles,46,Yes
40000,0,0-1 Miles,39,Yes
20000,1,0-1 Miles,40,No
30000,0,0-1 Miles,46,Yes
40000,2,0-1 Miles,65,No
30000,0,0-1 Miles,47,Yes
100000,3,0-1 Miles,46,Yes
80000,3,0-1 Miles,40,No
30000,0,0-1 Miles,65,No
30000,1,1-2 Miles,28,No
70000,2,5-10 Miles,43,Yes
40000,0,0-1 Miles,38,Yes
30000,0,0-1 Miles,47,Yes
90000,0,0-1 Miles,36,Yes
20000,2,1-2 Miles,60,No
70000,1,5-10 Miles,42,Yes
70000,2,1-2 Miles,50,Yes
30000,0,0-1 Miles,35,Yes
40000,1,0-1 Miles,32,Yes
90000,1,5-10 Miles,46,No
40000,0,1-2 Miles,33,Yes
40000,0,0-1 Miles,36,Yes
10000,0,0-1 Miles,70,No
30000,1,2-5 Miles,31,Yes
30000,2,0-1 Miles,42,No
90000,4,10+ Miles,58,No
40000,0,0-1 Miles,39,No
10000,2,1-2 Miles,34,No
20000,2,0-1 Miles,32,No
60000,0,2-5 Miles,46,No
70000,2,5-10 Miles,48,No
40000,1,1-2 Miles,31,Yes
70000,3,10+ Miles,60,Yes
70000,0,5-10 Miles,51,No
60000,2,10+ Miles,56,No
60000,1,2-5 Miles,40,Yes
70000,0,2-5 Miles,34,Yes
80000,1,2-5 Miles,48,Yes
40000,2,1-2 Miles,31,Yes
60000,1,2-5 Miles,47,No
50000,0,0-1 Miles,34,No
40000,1,5-10 Miles,29,No
130000,4,2-5 Miles,44,Yes
70000,1,2-5 Miles,38,Yes
100000,4,0-1 Miles,40,No
70000,2,2-5 Miles,42,Yes
40000,1,1-2 Miles,51,Yes
60000,2,1-2 Miles,29,No
60000,1,2-5 Miles,48,Yes
70000,1,2-5 Miles,37,Yes
80000,2,5-10 Miles,66,Yes
60000,1,0-1 Miles,45,Yes
60000,2,10+ Miles,61,Yes
40000,1,2-5 Miles,45,No
70000,2,2-5 Miles,47,No
60000,2,5-10 Miles,49,No
60000,0,0-1 Miles,47,Yes
80000,1,1-2 Miles,34,Yes
80000,2,1-2 Miles,64,No
100000,3,1-2 Miles,44,No
40000,2,10+ Miles,62,Yes
60000,1,0-1 Miles,47,Yes
80000,2,0-1 Miles,49,Yes
80000,2,5-10 Miles,67,No
60000,3,10+ Miles,59,Yes
110000,2,1-2 Miles,44,No
50000,0,0-1 Miles,36,No
30000,1,5-10 Miles,28,No
60000,1,10+ Miles,57,Yes
60000,1,5-10 Miles,27,Yes
30000,2,5-10 Miles,28,No
60000,1,0-1 Miles,44,Yes
60000,2,10+ Miles,66,No
40000,2,10+ Miles,64,No
50000,3,10+ Miles,41,No
80000,1,0-1 Miles,41,Yes
40000,1,1-2 Miles,49,Yes
80000,0,0-1 Miles,42,No
70000,1,2-5 Miles,37,Yes
70000,2,1-2 Miles,52,No
50000,0,1-2 Miles,34,No
40000,2,5-10 Miles,29,No
70000,2,2-5 Miles,53,No
120000,4,1-2 Miles,40,No
60000,2,1-2 Miles,29,No
60000,2,2-5 Miles,43,Yes
60000,2,2-5 Miles,55,Yes
80000,0,0-1 Miles,48,No
130000,3,0-1 Miles,45,Yes
70000,1,0-1 Miles,42,Yes
50000,2,10+ Miles,63,No
60000,2,10+ Miles,54,Yes
40000,2,5-10 Miles,73,Yes
60000,0,2-5 Miles,36,Yes
50000,1,2-5 Miles,39,Yes
80000,0,1-2 Miles,42,No
40000,0,1-2 Miles,31,No
50000,2,0-1 Miles,41,No
60000,0,10+ Miles,58,No
60000,0,0-1 Miles,40,No
20000,2,0-1 Miles,48,No
70000,0,2-5 Miles,34,Yes
30000,1,5-10 Miles,28,No
30000,1,5-10 Miles,27,No
40000,2,5-10 Miles,54,Yes
60000,2,5-10 Miles,70,No
40000,1,1-2 Miles,48,Yes
70000,1,2-5 Miles,44,Yes
50000,2,10+ Miles,69,No
70000,2,5-10 Miles,52,No
40000,2,2-5 Miles,55,No
30000,2,5-10 Miles,30,No
60000,2,1-2 Miles,63,No
80000,1,1-2 Miles,34,Yes
60000,1,10+ Miles,56,No
40000,1,5-10 Miles,31,No
120000,4,0-1 Miles,38,No
60000,2,2-5 Miles,59,No
40000,2,0-1 Miles,32,No
60000,2,10+ Miles,69,No
40000,1,5-10 Miles,28,No
80000,0,1-2 Miles,47,No
60000,2,10+ Miles,66,No
70000,1,0-1 Miles,37,Yes
120000,3,0-1 Miles,39,Yes
60000,2,1-2 Miles,51,No
130000,3,1-2 Miles,40,No
90000,1,10+ Miles,51,Yes
60000,0,10+ Miles,57,No
60000,0,0-1 Miles,35,Yes
40000,2,10+ Miles,61,Yes
80000,2,5-10 Miles,44,No
70000,0,5-10 Miles,49,Yes
80000,2,5-10 Miles,70,No
20000,2,2-5 Miles,78,No
90000,1,1-2 Miles,45,No
40000,1,2-5 Miles,58,Yes
130000,4,0-1 Miles,41,No
60000,1,2-5 Miles,57,Yes
30000,2,0-1 Miles,49,No
80000,2,0-1 Miles,43,No
60000,2,5-10 Miles,52,Yes
60000,0,0-1 Miles,35,Yes
40000,2,5-10 Miles,27,No
70000,0,5-10 Miles,52,Yes
40000,0,2-5 Miles,36,No
70000,3,10+ Miles,46,Yes
60000,2,5-10 Miles,52,Yes
70000,1,0-1 Miles,43,No
60000,1,2-5 Miles,44,No
80000,1,1-2 Miles,34,Yes
30000,2,5-10 Miles,27,No
110000,4,5-10 Miles,45,Yes
100000,4,1-2 Miles,45,No
60000,0,0-1 Miles,47,Yes
80000,0,1-2 Miles,47,No
40000,2,2-5 Miles,44,Yes
20000,2,0-1 Miles,49,No
40000,1,5-10 Miles,30,No
100000,4,2-5 Miles,41,Yes
70000,1,1-2 Miles,58,No
60000,1,2-5 Miles,47,No
70000,1,1-2 Miles,55,No
70000,2,0-1 Miles,27,Yes
60000,2,1-2 Miles,67,No
60000,2,5-10 Miles,29,No
60000,2,1-2 Miles,67,No
80000,1,1-2 Miles,51,Yes
50000,0,0-1 Miles,35,No
40000,2,1-2 Miles,30,No
70000,3,2-5 Miles,44,No
80000,0,1-2 Miles,48,No
130000,2,0-1 Miles,45,Yes
60000,2,1-2 Miles,66,No
30000,2,0-1 Miles,49,No
120000,3,5-10 Miles,43,Yes
40000,2,1-2 Miles,30,No
70000,2,5-10 Miles,74,Yes
100000,3,1-2 Miles,65,No
60000,2,2-5 Miles,56,Yes
50000,2,10+ Miles,64,No
70000,2,5-10 Miles,50,Yes
70000,0,2-5 Miles,35,Yes
60000,3,10+ Miles,41,No
60000,0,0-1 Miles,39,No
60000,0,1-2 Miles,47,No
40000,2,5-10 Miles,31,No
70000,1,2-5 Miles,58,Yes
70000,1,2-5 Miles,38,Yes
70000,2,10+ Miles,67,Yes
60000,2,1-2 Miles,32,Yes
70000,3,5-10 Miles,45,No
30000,2,1-2 Miles,31,Yes
40000,2,1-2 Miles,31,Yes
40000,1,0-1 Miles,31,No
60000,2,5-10 Miles,50,No
70000,1,0-1 Miles,44,No
50000,1,2-5 Miles,38,Yes
60000,2,10+ Miles,63,No
60000,0,2-5 Miles,36,Yes
40000,2,0-1 Miles,28,Yes
100000,3,1-2 Miles,44,No
70000,1,0-1 Miles,47,No
80000,0,1-2 Miles,40,Yes
130000,4,0-1 Miles,40,No
60000,1,2-5 Miles,46,Yes
40000,2,10+ Miles,61,No
60000,0,0-1 Miles,40,No
60000,2,5-10 Miles,50,No
70000,1,10+ Miles,59,No
60000,0,2-5 Miles,36,Yes
40000,2,5-10 Miles,30,No
70000,0,2-5 Miles,35,Yes
30000,2,1-2 Miles,48,No
100000,4,0-1 Miles,41,No
40000,1,0-1 Miles,47,No
60000,0,0-1 Miles,47,No
80000,2,2-5 Miles,62,No
60000,2,10+ Miles,60,No
60000,1,1-2 Miles,33,No
80000,0,0-1 Miles,47,No
20000,2,0-1 Miles,52,No
90000,3,2-5 Miles,40,No
60000,2,0-1 Miles,42,No
60000,2,5-10 Miles,53,Yes
40000,1,1-2 Miles,51,Yes
30000,2,5-10 Miles,30,No
60000,2,0-1 Miles,43,No
30000,2,5-10 Miles,26,No
130000,1,2-5 Miles,45,No
50000,0,0-1 Miles,34,Yes
70000,1,2-5 Miles,44,Yes
60000,2,0-1 Miles,41,Yes
80000,0,0-1 Miles,36,Yes
80000,2,0-1 Miles,44,No
60000,2,1-2 Miles,30,No
30000,2,0-1 Miles,28,No
20000,2,1-2 Miles,49,No
90000,2,0-1 Miles,43,Yes
70000,1,1-2 Miles,59,No
30000,2,5-10 Miles,26,No
120000,4,5-10 Miles,46,Yes
50000,0,1-2 Miles,33,No
40000,1,2-5 Miles,42,Yes
70000,1,10+ Miles,59,No
60000,1,1-2 Miles,33,Yes
70000,1,0-1 Miles,44,Yes
70000,4,10+ Miles,60,No
70000,1,10+ Miles,59,No
60000,2,5-10 Miles,32,Yes
70000,1,10+ Miles,58,No
40000,2,2-5 Miles,59,No
70000,1,2-5 Miles,38,No
40000,2,5-10 Miles,28,Yes
60000,0,2-5 Miles,37,Yes
80000,0,0-1 Miles,40,No
90000,1,1-2 Miles,38,Yes
70000,0,2-5 Miles,36,Yes
70000,2,0-1 Miles,37,No
40000,3,2-5 Miles,60,Yes
110000,4,5-10 Miles,42,Yes
70000,2,1-2 Miles,53,No
80000,2,5-10 Miles,49,No
30000,2,1-2 Miles,49,No
130000,3,0-1 Miles,42,Yes
20000,2,0-1 Miles,53,No
70000,1,0-1 Miles,46,Yes
40000,2,5-10 Miles,27,No
60000,1,0-1 Miles,48,Yes
60000,2,2-5 Miles,41,Yes
60000,2,1-2 Miles,49,Yes
60000,1,2-5 Miles,38,Yes
130000,4,0-1 Miles,44,No
130000,3,0-1 Miles,45,Yes
30000,1,5-10 Miles,26,No
40000,1,5-10 Miles,31,No
70000,2,1-2 Miles,49,No
40000,1,1-2 Miles,47,Yes
60000,1,10+ Miles,55,No
40000,0,0-1 Miles,30,No
40000,1,1-2 Miles,48,Yes
30000,2,5-10 Miles,30,No
110000,3,5-10 Miles,45,No
70000,1,10+ Miles,56,No
60000,0,1-2 Miles,47,Yes
60000,0,10+ Miles,56,No
70000,1,0-1 Miles,44,No
130000,3,2-5 Miles,69,No
70000,1,2-5 Miles,59,No
30000,2,1-2 Miles,50,No
60000,0,2-5 Miles,36,No
60000,2,5-10 Miles,32,No
40000,1,1-2 Miles,27,No
40000,2,5-10 Miles,59,Yes
60000,2,2-5 Miles,53,No
40000,1,0-1 Miles,36,Yes
30000,2,1-2 Miles,51,Yes
80000,0,0-1 Miles,47,No
60000,0,2-5 Miles,43,Yes
20000,2,0-1 Miles,50,No
60000,3,10+ Miles,59,No
50000,0,2-5 Miles,37,Yes
50000,0,0-1 Miles,33,Yes
60000,1,1-2 Miles,27,No
70000,2,5-10 Miles,34,Yes
50000,3,10+ Miles,42,No
60000,2,2-5 Miles,57,Yes
120000,4,2-5 Miles,45,No
100000,4,0-1 Miles,40,No
60000,0,0-1 Miles,35,No
80000,1,0-1 Miles,47,Yes
60000,0,1-2 Miles,47,Yes
60000,0,0-1 Miles,34,No
80000,0,0-1 Miles,36,Yes
70000,2,10+ Miles,54,No
70000,1,2-5 Miles,59,Yes
40000,2,5-10 Miles,27,No
90000,3,0-1 Miles,41,No
80000,2,2-5 Miles,50,Yes
60000,1,10+ Miles,55,No
